seed,policy,experiment_condition,weather_scenario,weather_type,day_type,agent_count,planned_activities,completed_activities,activity_completion_rate,planned_necessary_activities,completed_necessary_activities,necessary_activity_completion_rate,weather_cancelled_activities,transport_unmet_activities,necessary_transport_unmet_activities,planned_legs,successful_legs,transport_unmet_legs,transport_success_rate,walking_legs,bus_legs,metro_legs,ride_hailing_legs,walking_mode_share,bus_mode_share,metro_mode_share,ride_hailing_mode_share,ride_hailing_requests,successful_ride_hailing_requests,failed_ride_hailing_requests,ride_hailing_failed,fallback_attempts,fallback_successes,fallback_succeeded,fallback_failed,late_but_reached,reached_but_activity_incomplete,transport_unmet,mandatory_activity_incomplete,mean_bus_wait_minutes,mean_metro_wait_minutes,bus_metro_transfer_legs,bus_metro_transfer_share_of_metro,mean_feeder_bus_time_minutes,mean_ride_hailing_wait_minutes,mean_total_travel_time,mean_fare_yuan,on_time_arrivals,on_time_arrival_rate,bus_activity_arrivals,bus_late_arrivals,bus_late_arrival_rate,interzonal_metro_legs,interzonal_metro_share,scheduled_bus_vehicle_trips,bus_demand,bus_feeder_boardings,total_bus_passenger_boardings,successful_ride_hailing_vehicle_trips,road_vehicle_volume,mean_volume_capacity_ratio,mean_road_speed_kmh,intrazonal_successful_legs,interzonal_successful_legs,initial_ride_hailing_vehicles,end_idle_vehicles,end_busy_vehicles,end_idle_by_zone,feedback_flow_is_first_round_successful_rides,metro_enabled,weather_exposed_activities,remote_work,travel_required_activities,transport_related_unmet,necessary_transport_related_unmet,total_outdoor_exposure_minutes,total_heat_hazard_dose_c_min,total_heat_risk_burden,necessary_heat_risk_burden,heat_risk_per_completed_travel_required_necessary_activity,heat_risk_per_planned_travel_required_necessary_activity,total_rain_exposure_minutes,total_system_wait_minutes,vehicle_total,mean_ride_hailing_wait_minutes_per_request,max_ride_hailing_wait_minutes,no_vehicle_failures,wait_limit_failures,non_capacity_failures,competition_event,collapse_event
50,P0_no_policy,fleet_6,W0,normal,workday,50,60,57,0.95,35,34,0.971429,0,0,0,106,106,0,1.0,2,55,44,5,0.018868,0.518868,0.415094,0.04717,7,5,2,2,2,2,2,0,2,3,0,1,7.342,8.829,23,0.522727,28.443,8.933,64.695,4.635,58,0.966667,27,0,0.0,35,0.555556,706.941,55,28,83,5,711.941,0.693821,17.208,43,63,6,6,0,"{""Z1"": 1, ""Z2"": 1, ""Z3"": 1, ""Z4"": 0, ""Z5"": 0, ""Z6"": 1, ""Z7"": 1, ""Z8"": 0, ""Z9"": 1}",True,True,0,0,60,0,0,2375.13,0.0,0.0,0.0,0.0,0.0,0.0,876.929,6,12.095286,20.0,2,0,0,True,False
50,P0_no_policy,fleet_6,W2,heavy_rain,workday,50,60,54,0.9,35,33,0.942857,3,0,0,97,97,0,1.0,2,35,53,7,0.020619,0.360825,0.546392,0.072165,10,7,3,3,3,3,3,0,3,3,0,2,7.877,9.169,31,0.584906,31.09,9.81,66.579,5.893,51,0.944444,15,1,0.066667,42,0.736842,718.941,35,40,75,7,725.941,0.753243,16.185,40,57,6,6,0,"{""Z1"": 1, ""Z2"": 1, ""Z3"": 1, ""Z4"": 0, ""Z5"": 0, ""Z6"": 1, ""Z7"": 1, ""Z8"": 0, ""Z9"": 1}",True,True,40,3,54,0,0,2351.522,0.0,0.0,0.0,0.0,0.0,1333.062668,890.321,6,12.8667,20.0,3,0,0,True,False
51,P0_no_policy,fleet_16,W0,normal,workday,50,48,47,0.979167,37,36,0.972973,0,0,0,90,90,0,1.0,2,42,41,5,0.022222,0.466667,0.455556,0.055556,5,5,0,0,0,0,0,0,1,1,0,1,6.608,8.706,24,0.585366,25.825,10.0,61.052,5.195,47,0.979167,22,0,0.0,38,0.730769,646.941,42,28,70,5,651.941,0.722556,17.518,38,52,16,16,0,"{""Z1"": 3, ""Z2"": 2, ""Z3"": 2, ""Z4"": 1, ""Z5"": 1, ""Z6"": 2, ""Z7"": 3, ""Z8"": 1, ""Z9"": 1}",True,True,0,0,48,0,0,1930.081,0.0,0.0,0.0,0.0,0.0,0.0,684.481,16,10.0002,10.667,0,0,0,False,False
51,P0_no_policy,fleet_16,W2,heavy_rain,workday,50,48,45,0.9375,37,36,0.972973,2,0,0,88,88,0,1.0,0,26,48,14,0.0,0.295455,0.545455,0.159091,14,14,0,0,0,0,0,0,1,1,0,1,7.013,8.91,29,0.604167,29.148,10.694,62.094,8.23,45,0.978261,13,0,0.0,43,0.826923,646.941,26,35,61,14,660.941,0.813758,17.723,36,52,16,16,0,"{""Z1"": 3, ""Z2"": 2, ""Z3"": 2, ""Z4"": 1, ""Z5"": 1, ""Z6"": 2, ""Z7"": 3, ""Z8"": 1, ""Z9"": 1}",True,True,37,0,46,0,0,1881.766,0.0,0.0,0.0,0.0,0.0,1323.581164,759.766,16,10.694429,14.667,0,0,0,False,False
51,P0_no_policy,fleet_12,W0,normal,workday,50,48,47,0.979167,37,36,0.972973,0,0,0,90,90,0,1.0,2,42,41,5,0.022222,0.466667,0.455556,0.055556,5,5,0,0,0,0,0,0,1,1,0,1,6.608,8.706,24,0.585366,25.825,10.0,61.052,5.195,47,0.979167,22,0,0.0,38,0.730769,646.941,42,28,70,5,651.941,0.722556,17.518,38,52,12,12,0,"{""Z1"": 2, ""Z2"": 2, ""Z3"": 1, ""Z4"": 1, ""Z5"": 1, ""Z6"": 1, ""Z7"": 2, ""Z8"": 1, ""Z9"": 1}",True,True,0,0,48,0,0,1930.081,0.0,0.0,0.0,0.0,0.0,0.0,684.481,12,10.0002,10.667,0,0,0,False,False
51,P0_no_policy,fleet_12,W2,heavy_rain,workday,50,48,45,0.9375,37,36,0.972973,2,0,0,88,88,0,1.0,0,26,48,14,0.0,0.295455,0.545455,0.159091,14,14,0,0,0,0,0,0,2,1,0,1,7.013,8.91,29,0.604167,29.148,12.694,62.412,8.23,44,0.956522,13,0,0.0,43,0.826923,646.941,26,35,61,14,660.941,0.813758,17.723,36,52,12,12,0,"{""Z1"": 2, ""Z2"": 2, ""Z3"": 1, ""Z4"": 1, ""Z5"": 1, ""Z6"": 1, ""Z7"": 2, ""Z8"": 1, ""Z9"": 1}",True,True,37,0,46,0,0,1909.76,0.0,0.0,0.0,0.0,0.0,1351.575164,787.76,12,12.694034,32.855112,0,0,0,False,False
51,P0_no_policy,fleet_10,W0,normal,workday,50,48,46,0.958333,37,35,0.945946,0,0,0,90,90,0,1.0,2,44,41,3,0.022222,0.488889,0.455556,0.033333,5,3,2,2,2,2,2,0,2,2,0,2,6.821,8.706,24,0.585366,25.825,9.778,62.07,4.58,46,0.958333,23,1,0.043478,38,0.730769,646.941,44,28,72,3,649.941,0.722509,16.987,38,52,10,10,0,"{""Z1"": 2, ""Z2"": 1, ""Z3"": 1, ""Z4"": 1, ""Z5"": 0, ""Z6"": 1, ""Z7"": 2, ""Z8"": 1, ""Z9"": 1}",True,True,0,0,48,0,0,1995.985,0.0,0.0,0.0,0.0,0.0,0.0,726.385,10,13.8668,20.0,2,0,0,True,False
51,P0_no_policy,fleet_10,W2,heavy_rain,workday,50,48,43,0.895833,37,35,0.945946,2,0,0,88,88,0,1.0,0,29,48,11,0.0,0.329545,0.545455,0.125,14,11,3,3,3,3,3,0,4,3,0,2,7.608,8.91,29,0.604167,29.148,13.307,64.058,7.34,42,0.913043,15,2,0.133333,43,0.826923,646.941,29,35,64,11,657.941,0.813163,16.822,36,52,10,10,0,"{""Z1"": 2, ""Z2"": 1, ""Z3"": 1, ""Z4"": 1, ""Z5"": 0, ""Z6"": 1, ""Z7"": 2, ""Z8"": 1, ""Z9"": 1}",True,True,37,0,46,0,0,2012.711,0.0,0.0,0.0,0.0,0.0,1352.651078,854.711,10,14.741605,32.855112,3,0,0,True,False
51,P0_no_policy,fleet_8,W0,normal,workday,50,48,44,0.916667,37,35,0.945946,0,0,0,90,90,0,1.0,3,46,41,0,0.033333,0.511111,0.455556,0.0,5,0,5,5,5,5,5,0,4,4,0,2,7.207,8.706,24,0.585366,25.825,,63.827,3.867,44,0.916667,24,2,0.083333,38,0.730769,646.941,46,28,74,0,646.941,0.72778,15.988,38,52,8,8,0,"{""Z1"": 2, ""Z2"": 1, ""Z3"": 1, ""Z4"": 0, ""Z5"": 0, ""Z6"": 1, ""Z7"": 2, ""Z8"": 0, ""Z9"": 1}",True,True,0,0,48,0,0,2143.566,0.0,0.0,0.0,0.0,0.0,0.0,788.479,8,20.0,20.0,5,0,0,True,False
51,P0_no_policy,fleet_8,W2,heavy_rain,workday,50,48,40,0.833333,37,34,0.918919,2,0,0,88,88,0,1.0,0,33,48,7,0.0,0.375,0.545455,0.079545,14,7,7,7,7,7,7,0,7,6,0,3,8.114,8.91,29,0.604167,29.148,14.816,66.257,6.22,39,0.847826,18,5,0.277778,43,0.826923,646.941,33,35,68,7,653.941,0.813008,15.545,36,52,8,8,0,"{""Z1"": 2, ""Z2"": 1, ""Z3"": 1, ""Z4"": 0, ""Z5"": 0, ""Z6"": 1, ""Z7"": 2, ""Z8"": 0, ""Z9"": 1}",True,True,37,0,46,0,0,2145.186,0.0,0.0,0.0,0.0,0.0,1377.032078,939.186,8,17.408248,32.855112,7,0,0,True,False
