seed,preference_scenario,weather_scenario,group,agent_count,successful_legs,ride_hailing_requests,successful_ride_hailing_requests,failed_ride_hailing_requests,ride_hailing_requests_per_100_agents,ride_hailing_mode_share,mean_ride_hailing_wait_minutes,necessary_activity_completion_rate,transport_related_unmet,total_outdoor_exposure_minutes,total_heat_risk_burden,metro_legs,bus_metro_transfer_legs,bus_metro_transfer_share_of_metro,exposed_travel_required_necessary_activities,completed_exposed_travel_required_necessary_activities,exposed_travel_required_necessary_completion_rate,exposed_necessary_ride_hailing_legs,exposed_necessary_ride_hailing_mode_share,exposed_necessary_outdoor_exposure_minutes,exposed_necessary_heat_risk_burden,exposed_necessary_rain_exposure_minutes,exposed_necessary_bus_metro_transfer_legs,exposed_necessary_bus_metro_transfer_share
54,J_final_candidate,W2,60+_nondigital_assisted,18,21,1,1,0,5.555556,0.047619,13.333,1.0,0,400.618,0.0,1,0,0.0,1,1,1.0,1,0.5,35.333,0.0,13.333,0,0.0
54,J_final_candidate,W2,60+_nondigital_unassisted,10,18,0,0,0,0.0,0.0,,,0,303.071,0.0,2,0,0.0,0,0,,0,,0,0,0,0,
54,J_final_candidate,W2,60+_medical_low,23,24,1,1,0,4.347826,0.041667,7.5,1.0,0,459.188,0.0,4,3,0.75,1,1,1.0,0,0.0,34.8,0.0,34.8,1,0.5
54,J_final_candidate,W2,60+_medical_standard,27,37,2,2,0,7.407407,0.054054,11.6665,1.0,0,669.189,0.0,4,0,0.0,2,2,1.0,2,0.5,62.333,0.0,23.333,0,0.0
54,J_final_candidate,W2,60+_medical_high,4,9,0,0,0,0.0,0.0,,1.0,0,180.142,0.0,0,0,,0,0,,0,,0,0,0,0,
54,J_final_candidate,W2,60+_digital_medical_low,13,17,1,1,0,7.692308,0.058824,7.5,1.0,0,330.474,0.0,4,3,0.75,1,1,1.0,0,0.0,34.8,0.0,34.8,1,0.5
54,J_final_candidate,W2,60+_digital_medical_standard,12,12,1,1,0,8.333333,0.083333,10.0,1.0,0,212.785,0.0,1,0,0.0,1,1,1.0,1,0.5,27.0,0.0,10.0,0,0.0
54,J_final_candidate,W2,60+_digital_medical_high,1,2,0,0,0,0.0,0.0,,,0,61.571,0.0,0,0,,0,0,,0,,0,0,0,0,
55,J_final_candidate,W0,18-39,80,182,12,12,0,15.0,0.065934,10.504333,0.972603,0,3423.731,0.0,83,36,0.433735,0,0,,0,,0,0,0,0,
55,J_final_candidate,W0,40-59,66,136,5,5,0,7.575758,0.036765,8.7056,0.904762,0,2629.923,0.0,65,36,0.553846,0,0,,0,,0,0,0,0,
55,J_final_candidate,W0,60+,54,73,1,1,0,1.851852,0.013699,10.0,1.0,0,1272.842,0.0,10,4,0.4,0,0,,0,,0,0,0,0,
55,J_final_candidate,W0,60+_digital,26,35,1,1,0,3.846154,0.028571,10.0,1.0,0,642.163,0.0,6,3,0.5,0,0,,0,,0,0,0,0,
55,J_final_candidate,W0,60+_nondigital_assisted,17,24,0,0,0,0.0,0.0,,1.0,0,390.065,0.0,2,0,0.0,0,0,,0,,0,0,0,0,
55,J_final_candidate,W0,60+_nondigital_unassisted,11,14,0,0,0,0.0,0.0,,1.0,0,240.614,0.0,2,1,0.5,0,0,,0,,0,0,0,0,
55,J_final_candidate,W0,60+_medical_low,15,23,0,0,0,0.0,0.0,,1.0,0,382.234,0.0,3,1,0.333333,0,0,,0,,0,0,0,0,
55,J_final_candidate,W0,60+_medical_standard,34,44,1,1,0,2.941176,0.022727,10.0,1.0,0,793.608,0.0,7,3,0.428571,0,0,,0,,0,0,0,0,
55,J_final_candidate,W0,60+_medical_high,5,6,0,0,0,0.0,0.0,,1.0,0,97.0,0.0,0,0,,0,0,,0,,0,0,0,0,
55,J_final_candidate,W0,60+_digital_medical_low,3,4,0,0,0,0.0,0.0,,,0,74.769,0.0,0,0,,0,0,,0,,0,0,0,0,
55,J_final_candidate,W0,60+_digital_medical_standard,22,29,1,1,0,4.545455,0.034483,10.0,1.0,0,530.394,0.0,6,3,0.5,0,0,,0,,0,0,0,0,
55,J_final_candidate,W0,60+_digital_medical_high,1,2,0,0,0,0.0,0.0,,1.0,0,37.0,0.0,0,0,,0,0,,0,,0,0,0,0,
55,J_final_candidate,W1,18-39,80,178,17,17,0,21.25,0.095506,10.454059,0.972603,0,3263.492,20966.447166,81,36,0.444444,0,0,,0,,0,0,0,0,
