preference_scenario,weather_scenario,metric,seed_count,mean,std_dev,minimum,maximum,group
J_final_candidate,W0,exposed_necessary_bus_metro_transfer_legs,10,0.0,0.0,0.0,0.0,60+_digital
J_final_candidate,W0,agent_count,10,2.0,1.699673,0.0,5.0,60+_digital_medical_high
J_final_candidate,W0,successful_legs,10,3.6,3.098387,0.0,10.0,60+_digital_medical_high
J_final_candidate,W0,ride_hailing_requests,10,0.1,0.316228,0.0,1.0,60+_digital_medical_high
J_final_candidate,W0,successful_ride_hailing_requests,10,0.1,0.316228,0.0,1.0,60+_digital_medical_high
J_final_candidate,W0,failed_ride_hailing_requests,10,0.0,0.0,0.0,0.0,60+_digital_medical_high
J_final_candidate,W0,ride_hailing_requests_per_100_agents,9,2.777778,8.333333,0.0,25.0,60+_digital_medical_high
J_final_candidate,W0,ride_hailing_mode_share,9,0.013889,0.041667,0.0,0.125,60+_digital_medical_high
J_final_candidate,W0,mean_ride_hailing_wait_minutes,1,6.0,0.0,6.0,6.0,60+_digital_medical_high
J_final_candidate,W0,necessary_activity_completion_rate,8,1.0,0.0,1.0,1.0,60+_digital_medical_high
J_final_candidate,W0,transport_related_unmet,10,0.0,0.0,0.0,0.0,60+_digital_medical_high
J_final_candidate,W0,total_outdoor_exposure_minutes,10,66.8422,60.499741,0.0,207.765,60+_digital_medical_high
J_final_candidate,W0,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,60+_digital_medical_high
J_final_candidate,W0,exposed_travel_required_necessary_activities,10,0.0,0.0,0.0,0.0,60+_digital_medical_high
J_final_candidate,W0,completed_exposed_travel_required_necessary_activities,10,0.0,0.0,0.0,0.0,60+_digital_medical_high
J_final_candidate,W0,exposed_necessary_ride_hailing_legs,10,0.0,0.0,0.0,0.0,60+_digital_medical_high
J_final_candidate,W0,exposed_necessary_outdoor_exposure_minutes,10,0.0,0.0,0.0,0.0,60+_digital_medical_high
J_final_candidate,W0,exposed_necessary_heat_risk_burden,10,0.0,0.0,0.0,0.0,60+_digital_medical_high
J_final_candidate,W0,exposed_necessary_rain_exposure_minutes,10,0.0,0.0,0.0,0.0,60+_digital_medical_high
J_final_candidate,W0,metro_legs,10,0.5,0.707107,0.0,2.0,60+_digital_medical_high
J_final_candidate,W0,bus_metro_transfer_legs,10,0.1,0.316228,0.0,1.0,60+_digital_medical_high
J_final_candidate,W0,bus_metro_transfer_share_of_metro,4,0.25,0.5,0.0,1.0,60+_digital_medical_high
J_final_candidate,W0,exposed_necessary_bus_metro_transfer_legs,10,0.0,0.0,0.0,0.0,60+_digital_medical_high
J_final_candidate,W0,agent_count,10,9.2,4.315347,3.0,15.0,60+_digital_medical_low
J_final_candidate,W0,successful_legs,10,12.8,8.534896,2.0,27.0,60+_digital_medical_low
J_final_candidate,W0,ride_hailing_requests,10,0.3,0.483046,0.0,1.0,60+_digital_medical_low
J_final_candidate,W0,successful_ride_hailing_requests,10,0.3,0.483046,0.0,1.0,60+_digital_medical_low
J_final_candidate,W0,failed_ride_hailing_requests,10,0.0,0.0,0.0,0.0,60+_digital_medical_low
J_final_candidate,W0,ride_hailing_requests_per_100_agents,10,4.166667,8.136566,0.0,25.0,60+_digital_medical_low
J_final_candidate,W0,ride_hailing_mode_share,10,0.022989,0.04594,0.0,0.142857,60+_digital_medical_low
J_final_candidate,W0,mean_ride_hailing_wait_minutes,3,9.333333,2.309401,8.0,12.0,60+_digital_medical_low
J_final_candidate,W0,necessary_activity_completion_rate,8,1.0,0.0,1.0,1.0,60+_digital_medical_low
J_final_candidate,W0,transport_related_unmet,10,0.0,0.0,0.0,0.0,60+_digital_medical_low
J_final_candidate,W0,total_outdoor_exposure_minutes,10,224.2641,158.231243,28.0,503.571,60+_digital_medical_low
J_final_candidate,W0,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,60+_digital_medical_low
J_final_candidate,W0,exposed_travel_required_necessary_activities,10,0.0,0.0,0.0,0.0,60+_digital_medical_low
J_final_candidate,W0,completed_exposed_travel_required_necessary_activities,10,0.0,0.0,0.0,0.0,60+_digital_medical_low
J_final_candidate,W0,exposed_necessary_ride_hailing_legs,10,0.0,0.0,0.0,0.0,60+_digital_medical_low
J_final_candidate,W0,exposed_necessary_outdoor_exposure_minutes,10,0.0,0.0,0.0,0.0,60+_digital_medical_low
J_final_candidate,W0,exposed_necessary_heat_risk_burden,10,0.0,0.0,0.0,0.0,60+_digital_medical_low
J_final_candidate,W0,exposed_necessary_rain_exposure_minutes,10,0.0,0.0,0.0,0.0,60+_digital_medical_low
J_final_candidate,W0,metro_legs,10,1.8,1.686548,0.0,5.0,60+_digital_medical_low
J_final_candidate,W0,bus_metro_transfer_legs,10,0.7,0.823273,0.0,2.0,60+_digital_medical_low
J_final_candidate,W0,bus_metro_transfer_share_of_metro,8,0.358333,0.369792,0.0,1.0,60+_digital_medical_low
J_final_candidate,W0,exposed_necessary_bus_metro_transfer_legs,10,0.0,0.0,0.0,0.0,60+_digital_medical_low
J_final_candidate,W0,agent_count,10,14.8,3.794733,10.0,22.0,60+_digital_medical_standard
J_final_candidate,W0,successful_legs,10,21.3,5.034327,14.0,29.0,60+_digital_medical_standard
