leg_id,agent_id,date,day,leg_role,activity_id,purpose,origin_zone,destination_zone,departure_time,final_attempt_departure_time,primary_mode,primary_failed,primary_failure_reason,fallback_attempted,fallback_succeeded,final_mode,transport_succeeded,wait_minutes,failed_attempt_consumed_minutes,cumulative_wait_minutes,access_time_min,transfer_time_min,in_vehicle_time_min,total_travel_time_min,fare_yuan,final_speed_kmh,scenario_vc,weather_type_at_departure,weather_scenario,day_type,policy,outdoor_exposure_minutes,heat_hazard_dose_c_min,age_vulnerability_weight,heat_risk_burden,rain_exposure_minutes
13-2026-07-07-L02,13,2026-07-07,Tuesday,between_activities,activity-13-2026-07-07-003,shopping,Z2,Z2,2026-07-07 19:35:00,2026-07-07 19:35:00,ride_hailing,False,,False,False,ride_hailing,True,8.0,0.0,8.0,2.0,0.0,13.614,23.614,22.99,27.893,0.682484,normal,W0,workday,P0_no_policy,8.0,0.0,1.0,0.0,0.0
13-2026-07-07-L03,13,2026-07-07,Tuesday,return_home,activity-13-2026-07-07-003,return_home,Z2,Z2,2026-07-07 21:00:00,2026-07-07 21:00:00,ride_hailing,False,,False,False,ride_hailing,True,8.0,0.0,8.0,2.0,0.0,8.273,18.273,18.18,32.992,0.313889,normal,W0,workday,P0_no_policy,8.0,0.0,1.0,0.0,0.0
14-2026-07-07-L01,14,2026-07-07,Tuesday,outbound,activity-14-2026-07-07-003,work,Z6,Z6,2026-07-07 09:25:00,2026-07-07 09:25:00,bus,False,,False,False,bus,True,6.857,0.0,6.857,18.0,0.0,41.32,66.178,2.0,15.264,0.684444,normal,W0,workday,P0_no_policy,24.857,0.0,1.0,0.0,0.0
14-2026-07-07-L02,14,2026-07-07,Tuesday,return_home,activity-14-2026-07-07-003,return_home,Z6,Z6,2026-07-07 18:30:00,2026-07-07 18:30:00,bus,False,,False,False,bus,True,5.714,0.0,5.714,18.0,0.0,41.617,65.332,2.0,15.155,0.944444,normal,W0,workday,P0_no_policy,23.714,0.0,1.0,0.0,0.0
15-2026-07-07-L01,15,2026-07-07,Tuesday,outbound,activity-15-2026-07-07-002,work,Z7,Z1,2026-07-07 09:00:00,2026-07-07 09:00:00,metro,False,,False,False,metro,True,4.5,0.0,4.5,10.0,0.0,30.0,44.5,5.0,35.0,,normal,W0,workday,P0_no_policy,14.5,0.0,1.0,0.0,0.0
15-2026-07-07-L02,15,2026-07-07,Tuesday,return_home,activity-15-2026-07-07-002,return_home,Z1,Z7,2026-07-07 18:30:00,2026-07-07 18:30:00,metro,False,,False,False,metro,True,4.5,0.0,4.5,10.0,0.0,30.0,44.5,5.0,35.0,,normal,W0,workday,P0_no_policy,14.5,0.0,1.0,0.0,0.0
16-2026-07-07-L01,16,2026-07-07,Tuesday,outbound,activity-16-2026-07-07-002,work,Z1,Z3,2026-07-07 09:00:00,2026-07-07 09:00:00,metro,False,,False,False,metro,True,4.5,0.0,4.5,10.0,0.0,13.092,27.592,4.0,35.0,,normal,W0,workday,P0_no_policy,14.5,0.0,1.0,0.0,0.0
16-2026-07-07-L02,16,2026-07-07,Tuesday,between_activities,activity-16-2026-07-07-003,visit,Z3,Z5,2026-07-07 18:35:00,2026-07-07 18:35:00,metro,False,,False,False,metro,True,4.5,0.0,4.5,13.0,0.0,43.122,60.622,5.0,35.0,,normal,W0,workday,P0_no_policy,17.5,0.0,1.0,0.0,0.0
16-2026-07-07-L03,16,2026-07-07,Tuesday,return_home,activity-16-2026-07-07-003,return_home,Z5,Z1,2026-07-07 22:00:00,2026-07-07 22:00:00,metro,False,,False,False,metro,True,7.2,0.0,7.2,13.0,9.0,56.214,85.414,6.0,35.0,,normal,W0,workday,P0_no_policy,20.2,0.0,1.0,0.0,0.0
17-2026-07-07-L01,17,2026-07-07,Tuesday,outbound,activity-17-2026-07-07-003,work,Z8,Z2,2026-07-07 08:55:00,2026-07-07 08:55:00,metro,False,,False,False,metro,True,5.4,0.0,5.4,13.0,0.0,17.408,35.808,4.0,35.0,,normal,W0,workday,P0_no_policy,18.4,0.0,1.0,0.0,0.0
