behavior_scenario,weather_scenario,metric,seed_count,mean,std_dev,minimum,maximum
A2_strong_exposure_disutility,W0,mean_ride_hailing_wait_minutes,3,10.873333,0.213786,10.63,11.031
A2_strong_exposure_disutility,W0,mean_total_travel_time,3,63.331,2.029191,61.147,65.158
A2_strong_exposure_disutility,W0,activity_completion_rate,3,0.98425,0.002479,0.981395,0.985849
A2_strong_exposure_disutility,W0,necessary_activity_completion_rate,3,0.982117,0.010188,0.973154,0.993197
A2_strong_exposure_disutility,W0,total_outdoor_exposure_minutes,3,7326.790333,169.029603,7149.564,7486.214
A2_strong_exposure_disutility,W0,total_heat_risk_burden,3,0.0,0.0,0.0,0.0
A2_strong_exposure_disutility,W1,walking_mode_share,3,0.015576,0.01117,0.007653,0.028351
A2_strong_exposure_disutility,W1,bus_mode_share,3,0.562939,0.007701,0.554124,0.568365
A2_strong_exposure_disutility,W1,metro_mode_share,3,0.351453,0.01762,0.332474,0.367292
A2_strong_exposure_disutility,W1,ride_hailing_mode_share,3,0.070033,0.015763,0.053619,0.085052
A2_strong_exposure_disutility,W1,ride_hailing_requests,3,27.0,6.557439,20.0,33.0
A2_strong_exposure_disutility,W1,successful_ride_hailing_requests,3,27.0,6.557439,20.0,33.0
A2_strong_exposure_disutility,W1,failed_ride_hailing_requests,3,0.0,0.0,0.0,0.0
A2_strong_exposure_disutility,W1,mean_ride_hailing_wait_minutes,3,10.918,0.239502,10.717,11.183
A2_strong_exposure_disutility,W1,mean_total_travel_time,3,63.469333,2.337549,60.826,65.264
A2_strong_exposure_disutility,W1,activity_completion_rate,3,0.966733,0.013205,0.951691,0.976415
A2_strong_exposure_disutility,W1,necessary_activity_completion_rate,3,0.982117,0.010188,0.973154,0.993197
A2_strong_exposure_disutility,W1,total_outdoor_exposure_minutes,3,7185.703333,232.293599,6950.064,7414.5
A2_strong_exposure_disutility,W1,total_heat_risk_burden,3,56719.542663,2189.958595,54611.740347,58983.318069
A2_strong_exposure_disutility,W2,walking_mode_share,3,0.007253,0.003262,0.005348,0.011019
A2_strong_exposure_disutility,W2,bus_mode_share,3,0.399779,0.005753,0.396226,0.406417
A2_strong_exposure_disutility,W2,metro_mode_share,3,0.436874,0.006196,0.431267,0.443526
A2_strong_exposure_disutility,W2,ride_hailing_mode_share,3,0.156094,0.009718,0.14876,0.167116
A2_strong_exposure_disutility,W2,ride_hailing_requests,3,57.666667,4.041452,54.0,62.0
A2_strong_exposure_disutility,W2,successful_ride_hailing_requests,3,57.666667,4.041452,54.0,62.0
A2_strong_exposure_disutility,W2,failed_ride_hailing_requests,3,0.0,0.0,0.0,0.0
A2_strong_exposure_disutility,W2,mean_ride_hailing_wait_minutes,3,11.335333,0.379887,10.918,11.661
A2_strong_exposure_disutility,W2,mean_total_travel_time,3,65.757,2.029537,63.954,67.955
A2_strong_exposure_disutility,W2,activity_completion_rate,3,0.933841,0.011603,0.92093,0.943396
A2_strong_exposure_disutility,W2,necessary_activity_completion_rate,3,0.970871,0.01546,0.95302,0.98
A2_strong_exposure_disutility,W2,total_outdoor_exposure_minutes,3,7411.296,181.519942,7241.19,7602.403
A2_strong_exposure_disutility,W2,total_heat_risk_burden,3,0.0,0.0,0.0,0.0
