seed,day_type,vehicle_id,current_zone,status,busy_until,destination_zone,weather_scenario,policy,experiment_condition
47,workday,N9RH-workday-Z7-006,Z7,idle,0.0,,W2,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z7-007,Z7,idle,0.0,,W2,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z7-008,Z7,idle,0.0,,W2,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z8-001,Z8,idle,0.0,,W2,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z8-002,Z8,idle,0.0,,W2,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z8-003,Z8,idle,0.0,,W2,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z8-004,Z8,idle,0.0,,W2,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z9-001,Z6,idle,500.000355,,W2,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z9-002,Z9,idle,1387.338358,,W2,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z9-003,Z9,idle,500.35549333333336,,W2,P0_no_policy,P0_baseline
47,workday,N9RH-workday-Z9-004,Z9,idle,501.02830700000004,,W2,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z1-001,Z3,idle,1251.889776,,W0,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z1-002,Z2,idle,1368.526752,,W0,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z1-003,Z1,idle,0.0,,W0,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z1-004,Z1,idle,0.0,,W0,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z1-005,Z1,idle,0.0,,W0,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z1-006,Z1,idle,0.0,,W0,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z1-007,Z1,idle,0.0,,W0,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z1-008,Z1,idle,0.0,,W0,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z2-001,Z1,idle,530.0019396666667,,W0,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z2-002,Z8,idle,1226.467446,,W0,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z2-003,Z1,idle,1279.9953856666666,,W0,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z2-004,Z2,idle,0.0,,W0,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z2-005,Z2,idle,0.0,,W0,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z2-006,Z2,idle,0.0,,W0,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z2-007,Z2,idle,0.0,,W0,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z2-008,Z2,idle,0.0,,W0,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z3-001,Z1,idle,590.1360986666667,,W0,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z3-002,Z3,idle,0.0,,W0,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z3-003,Z3,idle,0.0,,W0,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z3-004,Z3,idle,0.0,,W0,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z4-001,Z4,idle,1370.440555,,W0,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z4-002,Z4,idle,0.0,,W0,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z4-003,Z4,idle,0.0,,W0,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z4-004,Z4,idle,0.0,,W0,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z5-001,Z5,idle,1367.7778589999998,,W0,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z5-002,Z5,idle,0.0,,W0,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z5-003,Z5,idle,0.0,,W0,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z5-004,Z5,idle,0.0,,W0,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z6-001,Z6,idle,1191.358569,,W0,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z6-002,Z6,idle,469.99287400000003,,W0,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z6-003,Z6,idle,0.0,,W0,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z6-004,Z6,idle,0.0,,W0,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z7-001,Z7,idle,0.0,,W0,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z7-002,Z7,idle,0.0,,W0,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z7-003,Z7,idle,0.0,,W0,P0_no_policy,P0_baseline
