day_type,vehicle_id,current_zone,status,busy_until,destination_zone,weather_scenario,policy,experiment_condition
workday,N9RH-workday-Z6-007,Z6,idle,1219.9998606666666,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z6-008,Z6,idle,1240.8728173333332,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z6-009,Z6,idle,620.8687863333333,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z6-010,Z6,idle,593.3223613333332,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z6-011,Z6,idle,620.490846,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z6-012,Z6,idle,1048.3582626666666,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z6-013,Z6,idle,620.6737583333334,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z6-014,Z6,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z6-015,Z6,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z6-016,Z6,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z6-017,Z6,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z6-018,Z6,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z6-019,Z6,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z6-020,Z6,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z7-001,Z4,idle,420.8832473333333,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z7-002,Z7,idle,1338.066399,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z7-003,Z1,idle,474.9074126666667,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z7-004,Z5,idle,526.043814,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z7-005,Z4,idle,551.4286823333333,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z7-006,Z7,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
