agent_id,day_type,age_group,digital_access,family_assistance,nondigital_unassisted,coupon_policy,coupon_eligible,coupon_reached,coupon_participated,coupon_awarded,public_coupon_participated,elder_reserve_reached,coupon_pool_type,coupon_allocation_rank,coupon_access_channel,public_participation_probability,public_participation_draw,public_dispatch_rank,elder_reserve_rank,community_phone_covered,community_phone_coverage_draw,pg_official_parent_agent_class,pg_adapter_agent_class,pg_num_rounds,pg_initial_endowment,pg_public_pool_multiplier,pg_round_contributions,pg_final_contribution,pg_total_contribution,pg_cumulative_payoff,pg_need_score,pg_cooperation_score,pg_priority_score,pg_peer_feedback_source_count,pg_peer_signal_round_2,pg_peer_signal_round_3,pg_linked_decision,pg_physical_coupon_pool,pg_coupons_created_by_multiplier,pg_allocation_reason,pg_api_round_one_called,pg_api_round_one_succeeded,pg_api_contribution_tokens,pg_api_response_source
519,workday,40-59,True,False,False,C4_public_goods,True,True,True,False,True,False,,,digital_self,0.65,0.08716122403860183,0.6884797666140455,,False,0.9438360947010138,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,12|14|14,14,40,84.725402,0.25,0.666667,0.395833,621,0.807484,0.848473,True,200,0,below_priority_cutoff,True,True,12,live_api
520,workday,40-59,True,False,False,C4_public_goods,True,True,True,False,True,False,,,digital_self,0.65,0.2027369377008729,0.8176264531368358,,False,0.4649073215957135,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,12|14|14,14,40,84.725402,0.25,0.666667,0.395833,621,0.807484,0.848473,True,200,0,below_priority_cutoff,True,True,12,live_api
521,workday,40-59,True,False,False,C4_public_goods,True,True,False,False,False,False,,,digital_self,0.65,0.7536057907987425,,,False,0.12364458670020442,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,,0,0,0,0.0,0.0,0.0,0,,,False,200,0,did_not_participate,False,False,,not_selected_test_only
522,workday,40-59,True,False,False,C4_public_goods,True,True,True,False,True,False,,,digital_self,0.65,0.04435698076136288,0.6224057900513201,,False,0.5657874766275374,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,12|14|14,14,40,84.725402,0.25,0.666667,0.395833,621,0.807484,0.848473,True,200,0,below_priority_cutoff,True,True,12,live_api
523,workday,40-59,True,False,False,C4_public_goods,True,True,True,True,True,False,public_goods,132,digital_self,0.65,0.3151242043540328,0.1703181001020406,,False,0.7496196844317872,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,12|14|14,14,40,84.725402,0.25,0.666667,0.395833,621,0.807484,0.848473,True,200,0,need_and_cooperation_priority,True,True,12,live_api
524,workday,40-59,True,False,False,C4_public_goods,True,True,False,False,False,False,,,digital_self,0.65,0.88015191503656,,,False,0.3370497533605357,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,,0,0,0,0.0,0.0,0.0,0,,,False,200,0,did_not_participate,False,False,,not_selected_test_only
525,workday,40-59,True,False,False,C4_public_goods,True,True,False,False,False,False,,,digital_self,0.65,0.6778194164792561,,,False,0.8213598947068833,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,,0,0,0,0.0,0.0,0.0,0,,,False,200,0,did_not_participate,False,False,,not_selected_test_only
526,workday,40-59,True,False,False,C4_public_goods,True,True,False,False,False,False,,,digital_self,0.65,0.8410415377106688,,,False,0.13075751051261456,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,,0,0,0,0.0,0.0,0.0,0,,,False,200,0,did_not_participate,False,False,,not_selected_test_only
527,workday,40-59,True,False,False,C4_public_goods,True,True,True,False,True,False,,,digital_self,0.65,0.5590212514901691,0.5418520235048134,,False,0.8988635280955223,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,12|14|14,14,40,84.725402,0.25,0.666667,0.395833,621,0.807484,0.848473,True,200,0,below_priority_cutoff,True,True,12,live_api
528,workday,40-59,True,False,False,C4_public_goods,True,True,False,False,False,False,,,digital_self,0.65,0.9877758890590139,,,False,0.8191068432798856,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,,0,0,0,0.0,0.0,0.0,0,,,False,200,0,did_not_participate,False,False,,not_selected_test_only
529,workday,40-59,True,False,False,C4_public_goods,True,True,True,True,True,False,public_goods,110,digital_self,0.65,0.3379668715055721,0.07258479388252329,,False,0.6406567505350387,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,12|14|14,14,40,84.725402,0.25,0.666667,0.395833,621,0.807484,0.848473,True,200,0,need_and_cooperation_priority,True,True,12,live_api
530,workday,40-59,True,False,False,C4_public_goods,True,True,True,True,True,False,public_goods,119,digital_self,0.65,0.18071620143150768,0.0929801730003601,,False,0.7750880561363389,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,12|14|14,14,40,84.725402,0.25,0.666667,0.395833,621,0.807484,0.848473,True,200,0,need_and_cooperation_priority,True,True,12,live_api
531,workday,40-59,True,False,False,C4_public_goods,True,True,True,True,True,False,public_goods,153,digital_self,0.65,0.1392486075883474,0.2693991109797637,,False,0.42790862668000307,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,12|14|14,14,40,84.725402,0.25,0.666667,0.395833,621,0.807484,0.848473,True,200,0,need_and_cooperation_priority,True,True,12,live_api
532,workday,40-59,True,False,False,C4_public_goods,True,True,True,True,True,False,public_goods,144,digital_self,0.65,0.28331616719697184,0.2246844221133013,,False,0.7373325460161938,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,12|14|14,14,40,84.725402,0.25,0.666667,0.395833,621,0.807484,0.848473,True,200,0,need_and_cooperation_priority,True,True,12,live_api
533,workday,40-59,True,False,False,C4_public_goods,True,True,True,True,True,False,public_goods,152,digital_self,0.65,0.26770801397818983,0.26143161507682655,,False,0.7472602943172256,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,12|14|14,14,40,84.725402,0.25,0.666667,0.395833,621,0.807484,0.848473,True,200,0,need_and_cooperation_priority,True,True,12,live_api
