leg_id,agent_id,date,day,leg_role,activity_id,purpose,origin_zone,destination_zone,departure_time,planned_activity_start_time,earliest_feasible_departure,unconcentrated_departure_time,departure_time_concentrated,reliability_buffer_min,expected_arrival_time,actual_arrival_time,arrival_delay_minutes,on_time_arrival,activity_completed,late_but_reached,maximum_commute_time_exceeded,maximum_lateness_exceeded,completion_failure_reason,metro_origin_accessible,metro_destination_accessible,origin_feeder_mode,destination_feeder_mode,bus_metro_transfer_count,feeder_bus_time_minutes,feeder_bus_wait_minutes,feeder_bus_access_minutes,feeder_bus_in_vehicle_minutes,feeder_bus_fare_yuan,metro_main_time_minutes,origin_feeder_total_time_minutes,origin_feeder_access_minutes,origin_feeder_wait_minutes,origin_metro_walk_access_minutes,destination_feeder_total_time_minutes,destination_feeder_access_minutes,destination_feeder_wait_minutes,destination_metro_walk_access_minutes,final_attempt_departure_time,primary_mode,primary_failed,primary_failure_reason,fallback_attempted,fallback_succeeded,final_mode,itinerary_pattern,transport_succeeded,wait_minutes,failed_attempt_consumed_minutes,cumulative_wait_minutes,access_time_min,transfer_time_min,in_vehicle_time_min,total_travel_time_min,fare_yuan,primary_network_distance_km,final_network_distance_km,primary_fare_before_coupon_yuan,primary_fare_after_coupon_yuan,fare_before_coupon_yuan,coupon_bound,coupon_scheme_id,coupon_pricing_type,coupon_fare_eligible,coupon_ineligibility_reason,coupon_redeemed,coupon_expired_after_failed_request,coupon_subsidy_yuan,final_speed_kmh,scenario_vc,weather_type_at_departure,expected_outdoor_exposure_minutes_at_choice,weather_exposure_age_weight,weather_exposure_disutility,weather_scenario,policy,experiment_condition,day_type
691-2026-07-07-L01,691,2026-07-07,Tuesday,outbound,activity-691-2026-07-07-002,work,Z3,Z6,2026-07-07 06:43:38.640000,2026-07-07 08:30:00,2026-07-07 06:30:00,2026-07-07 06:43:38.640000,False,10.0,2026-07-07 08:25:18.659700,2026-07-07 08:25:18.659700,0.0,True,True,False,False,False,,False,True,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 06:43:38.640000,bus,False,,False,False,bus,walk-bus-walk,True,8.256,0.0,8.256,10.0,0.0,83.411,101.667,2.0,17.499,17.499,2.0,2.0,2.0,False,percentage,percentage,False,coupon_unavailable,False,False,0.0,12.012,0.847059,normal,18.256,1.2,0.0,W2,C4_public_goods,API_interdependent_city_mobility_1000,workday
691-2026-07-07-L02,691,2026-07-07,Tuesday,between_activities,activity-691-2026-07-07-003,shopping,Z6,Z1,2026-07-07 18:30:00,2026-07-07 20:00:00,2026-07-07 18:30:00,2026-07-07 18:30:00,False,5.0,2026-07-07 19:59:44.817780,2026-07-07 19:59:44.817780,0.0,True,True,False,False,False,,False,True,bus,walk,1,31.791,5.714,12.0,14.077,2.0,52.956,31.791,12.0,5.714,0.0,0.0,0.0,0.0,10.0,2026-07-07 18:30:00,metro,False,,False,False,metro,walk-bus-walk-metro-walk,True,9.554,0.0,9.554,22.0,5.0,53.193,89.747,7.0,27.168,27.168,7.0,7.0,7.0,False,percentage,percentage,False,coupon_unavailable,False,False,0.0,28.84,,heavy_rain,27.714,1.2,1.163988,W2,C4_public_goods,API_interdependent_city_mobility_1000,workday
691-2026-07-07-L03,691,2026-07-07,Tuesday,return_home,activity-691-2026-07-07-003,return_home,Z1,Z3,2026-07-07 20:30:00,,,,False,8.0,,,,,,False,False,False,,False,True,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 20:30:00,ride_hailing,False,,False,False,ride_hailing,walk-ride_hailing-walk,True,8.0,0.0,8.0,2.0,0.0,15.462,25.462,26.52,7.637,7.637,26.52,26.52,26.52,False,percentage,percentage,False,coupon_unavailable,False,False,0.0,29.635,0.4,normal,8.0,1.2,0.0,W2,C4_public_goods,API_interdependent_city_mobility_1000,workday
692-2026-07-07-L01,692,2026-07-07,Tuesday,outbound,activity-692-2026-07-07-002,work,Z3,Z6,2026-07-07 06:43:38.640000,2026-07-07 08:30:00,2026-07-07 06:30:00,2026-07-07 06:43:38.640000,False,10.0,2026-07-07 08:25:18.659700,2026-07-07 08:25:18.659700,0.0,True,True,False,False,False,,False,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 06:43:38.640000,bus,False,,False,False,bus,walk-bus-walk,True,8.256,0.0,8.256,10.0,0.0,83.411,101.667,2.0,17.499,17.499,2.0,2.0,2.0,False,percentage,percentage,False,coupon_unavailable,False,False,0.0,12.012,0.847059,normal,18.256,1.2,0.0,W2,C4_public_goods,API_interdependent_city_mobility_1000,workday
692-2026-07-07-L02,692,2026-07-07,Tuesday,return_home,activity-692-2026-07-07-002,return_home,Z6,Z3,2026-07-07 17:00:00,,,,False,5.0,,,,,,False,False,False,,False,True,bus,walk,1,32.271,6.429,12.0,13.843,2.0,41.425,32.271,12.0,6.429,0.0,0.0,0.0,0.0,10.0,2026-07-07 17:00:00,metro,False,,False,False,metro,walk-bus-walk-metro-walk,True,11.829,0.0,11.829,22.0,5.0,39.867,78.696,6.0,19.531,19.531,6.0,6.0,6.0,False,percentage,percentage,False,coupon_unavailable,False,False,0.0,26.986,,heavy_rain,28.429,1.2,1.194018,W2,C4_public_goods,API_interdependent_city_mobility_1000,workday
693-2026-07-07-L01,693,2026-07-07,Tuesday,outbound,activity-693-2026-07-07-002,work,Z3,Z7,2026-07-07 08:07:24.480000,2026-07-07 09:30:00,2026-07-07 07:30:00,2026-07-07 08:07:24.480000,False,5.0,2026-07-07 09:25:00,2026-07-07 09:25:00,0.0,True,True,False,False,False,,True,True,walk,walk,0,0.0,0.0,0.0,0.0,0.0,77.592,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,2026-07-07 08:07:24.480000,metro,False,,False,False,metro,walk-metro-walk,True,4.5,0.0,4.5,20.0,10.0,43.092,77.592,5.0,26.417,26.417,5.0,5.0,5.0,False,percentage,percentage,False,coupon_unavailable,False,False,0.0,35.0,,heavy_rain,20.0,1.2,0.84,W2,C4_public_goods,API_interdependent_city_mobility_1000,workday
693-2026-07-07-L02,693,2026-07-07,Tuesday,return_home,activity-693-2026-07-07-002,return_home,Z7,Z3,2026-07-07 19:00:00,,,,False,5.0,,,,,,False,False,False,,False,False,bus,bus,2,46.305,15.8,16.0,14.505,4.0,54.767,21.174,8.0,4.8,0.0,25.131,8.0,11.0,0.0,2026-07-07 19:00:00,metro,False,,False,False,metro,walk-bus-walk-metro-walk-bus-walk,True,19.0,0.0,19.0,16.0,18.475,57.597,111.072,9.0,29.717,29.717,9.0,9.0,9.0,False,percentage,percentage,False,coupon_unavailable,False,False,0.0,29.623,,heavy_rain,31.8,1.2,1.3356,W2,C4_public_goods,API_interdependent_city_mobility_1000,workday
694-2026-07-07-L01,694,2026-07-07,Tuesday,outbound,activity-694-2026-07-07-002,work,Z2,Z1,2026-07-07 08:17:36.360000,2026-07-07 09:00:00,2026-07-07 07:00:00,2026-07-07 08:17:36.360000,False,5.0,2026-07-07 08:55:00,2026-07-07 08:55:00,0.0,True,True,False,False,False,,True,True,walk,walk,0,0.0,0.0,0.0,0.0,0.0,37.394,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,2026-07-07 08:17:36.360000,metro,False,,False,False,metro,walk-metro-walk,True,4.5,0.0,4.5,20.0,0.0,12.894,37.394,4.0,8.801,8.801,4.0,4.0,4.0,False,percentage,percentage,False,coupon_unavailable,False,False,0.0,34.998,,heavy_rain,20.0,1.2,0.84,W2,C4_public_goods,API_interdependent_city_mobility_1000,workday
694-2026-07-07-L02,694,2026-07-07,Tuesday,return_home,activity-694-2026-07-07-002,return_home,Z1,Z2,2026-07-07 17:30:00,,,,False,5.0,,,,,,False,False,False,,True,True,walk,walk,0,0.0,0.0,0.0,0.0,0.0,37.394,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,2026-07-07 17:30:00,metro,False,,False,False,metro,walk-metro-walk,True,4.5,0.0,4.5,20.0,0.0,12.894,37.394,4.0,8.801,8.801,4.0,4.0,4.0,False,percentage,percentage,False,coupon_unavailable,False,False,0.0,34.998,,heavy_rain,20.0,1.2,0.84,W2,C4_public_goods,API_interdependent_city_mobility_1000,workday
695-2026-07-07-L01,695,2026-07-07,Tuesday,outbound,activity-695-2026-07-07-002,work,Z2,Z2,2026-07-07 08:22:09.180000,2026-07-07 09:00:00,2026-07-07 07:00:00,2026-07-07 08:22:09.180000,False,8.0,2026-07-07 08:53:42.747600,2026-07-07 08:53:42.747600,0.0,True,True,False,False,False,,False,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 08:22:09.180000,ride_hailing,False,,False,False,ride_hailing,walk-ride_hailing-walk,True,10.0,0.0,10.0,2.0,0.0,19.559,31.559,19.14,6.675,6.675,23.92,19.14,23.92,True,percentage,percentage,True,,True,False,4.78,20.475,1.173856,heavy_rain,10.0,1.2,0.42,W2,C4_public_goods,API_interdependent_city_mobility_1000,workday
695-2026-07-07-L02,695,2026-07-07,Tuesday,return_home,activity-695-2026-07-07-002,return_home,Z2,Z2,2026-07-07 18:00:00,,,,False,5.0,,,,,,False,False,False,,True,True,walk,walk,0,0.0,0.0,0.0,0.0,0.0,35.943,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,2026-07-07 18:00:00,metro,False,,False,False,metro,walk-metro-walk,True,4.5,0.0,4.5,20.0,0.0,11.443,35.943,4.0,7.955,7.955,4.0,4.0,4.0,False,percentage,percentage,False,coupon_unavailable,False,False,0.0,35.0,,heavy_rain,20.0,1.2,0.84,W2,C4_public_goods,API_interdependent_city_mobility_1000,workday
696-2026-07-07-L01,696,2026-07-07,Tuesday,outbound,activity-696-2026-07-07-002,work,Z9,Z6,2026-07-07 07:47:51.420000,2026-07-07 09:30:00,2026-07-07 07:30:00,2026-07-07 07:47:51.420000,False,8.0,2026-07-07 09:25:48.972000,2026-07-07 09:25:48.972000,0.0,True,True,False,False,False,,False,True,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 07:47:51.420000,ride_hailing,False,,False,False,ride_hailing,walk-ride_hailing-walk,True,18.653,0.0,18.653,2.0,0.0,77.306,97.959,57.73,24.539,24.539,72.16,57.73,72.16,True,percentage,percentage,True,,True,False,14.43,19.046,1.34902,heavy_rain,18.653,1.2,0.783426,W2,C4_public_goods,API_interdependent_city_mobility_1000,workday
696-2026-07-07-L02,696,2026-07-07,Tuesday,return_home,activity-696-2026-07-07-002,return_home,Z6,Z9,2026-07-07 19:00:00,,,,False,10.0,,,,,,False,False,False,,False,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 19:00:00,bus,False,,False,False,bus,walk-bus-walk,True,6.4,0.0,6.4,14.0,0.0,112.638,133.038,2.0,28.113,28.113,2.0,2.0,2.0,False,percentage,percentage,False,coupon_unavailable,False,False,0.0,14.379,1.346713,heavy_rain,20.4,1.2,0.8568,W2,C4_public_goods,API_interdependent_city_mobility_1000,workday
697-2026-07-07-L01,697,2026-07-07,Tuesday,outbound,activity-697-2026-07-07-002,work,Z9,Z9,2026-07-07 08:14:47.460000,2026-07-07 10:00:00,2026-07-07 08:00:00,2026-07-07 08:14:47.460000,False,10.0,2026-07-07 10:01:08.734800,2026-07-07 10:01:08.734800,1.146,True,True,False,False,False,,False,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 08:14:47.460000,bus,False,,False,False,bus,walk-bus-walk,True,10.286,0.0,10.286,16.0,0.0,80.07,106.355,2.0,16.853,16.853,2.0,2.0,2.0,False,percentage,percentage,False,coupon_unavailable,False,False,0.0,11.669,1.134641,heavy_rain,26.286,1.2,1.104012,W2,C4_public_goods,API_interdependent_city_mobility_1000,workday
697-2026-07-07-L02,697,2026-07-07,Tuesday,return_home,activity-697-2026-07-07-002,return_home,Z9,Z9,2026-07-07 18:30:00,,,,False,10.0,,,,,,False,False,False,,True,True,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 18:30:00,bus,False,,False,False,bus,walk-bus-walk,True,10.286,0.0,10.286,16.0,0.0,74.673,100.959,2.0,16.853,16.853,2.0,2.0,2.0,False,percentage,percentage,False,coupon_unavailable,False,False,0.0,12.513,1.150327,heavy_rain,26.286,1.2,1.104012,W2,C4_public_goods,API_interdependent_city_mobility_1000,workday
698-2026-07-07-L01,698,2026-07-07,Tuesday,outbound,activity-698-2026-07-07-002,work,Z9,Z6,2026-07-07 08:30:00,2026-07-07 10:30:00,2026-07-07 08:30:00,2026-07-07 08:30:00,False,8.0,2026-07-07 10:02:22.780860,2026-07-07 10:02:22.780860,0.0,True,True,False,False,False,,False,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 08:30:00,ride_hailing,False,,False,False,ride_hailing,walk-ride_hailing-walk,True,23.0,0.0,23.0,2.0,0.0,67.38,92.38,72.16,24.539,24.539,72.16,72.16,72.16,False,percentage,percentage,False,coupon_unavailable,False,False,0.0,21.852,1.291503,heavy_rain,23.0,1.2,0.966,W2,C4_public_goods,API_interdependent_city_mobility_1000,workday
698-2026-07-07-L02,698,2026-07-07,Tuesday,return_home,activity-698-2026-07-07-002,return_home,Z6,Z9,2026-07-07 19:30:00,,,,False,10.0,,,,,,False,False,False,,False,True,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 19:30:00,bus,False,,False,False,bus,walk-bus-walk,True,7.131,0.0,7.131,14.0,0.0,102.739,123.871,2.0,28.113,28.113,2.0,2.0,2.0,False,percentage,percentage,False,coupon_unavailable,False,False,0.0,15.764,0.907497,heavy_rain,21.131,1.2,0.887502,W2,C4_public_goods,API_interdependent_city_mobility_1000,workday
699-2026-07-07-L01,699,2026-07-07,Tuesday,outbound,activity-699-2026-07-07-002,work,Z7,Z1,2026-07-07 08:15:24.720000,2026-07-07 09:30:00,2026-07-07 07:30:00,2026-07-07 08:15:24.720000,False,5.0,2026-07-07 09:25:34.469940,2026-07-07 09:25:34.469940,0.0,True,True,False,False,False,,False,True,bus,walk,1,20.662,4.0,8.0,8.662,2.0,44.5,20.662,8.0,4.0,0.0,0.0,0.0,0.0,10.0,2026-07-07 08:15:24.720000,metro,False,,False,False,metro,walk-bus-walk-metro-walk,True,8.5,0.0,8.5,18.0,5.0,38.662,70.162,7.0,20.43,20.43,7.0,7.0,7.0,False,percentage,percentage,False,coupon_unavailable,False,False,0.0,29.719,,heavy_rain,22.0,1.2,0.924,W2,C4_public_goods,API_interdependent_city_mobility_1000,workday
699-2026-07-07-L02,699,2026-07-07,Tuesday,return_home,activity-699-2026-07-07-002,return_home,Z1,Z7,2026-07-07 19:30:00,,,,False,5.0,,,,,,False,False,False,,True,True,walk,walk,0,0.0,0.0,0.0,0.0,0.0,52.089,0.0,0.0,0.0,10.0,0.0,0.0,0.0,8.889,2026-07-07 19:30:00,metro,False,,False,False,metro,walk-metro-walk,True,3.2,0.0,3.2,18.889,0.0,30.0,52.089,5.0,18.78,18.78,5.0,5.0,5.0,False,percentage,percentage,False,coupon_unavailable,False,False,0.0,35.0,,heavy_rain,18.888889,1.2,0.793333,W2,C4_public_goods,API_interdependent_city_mobility_1000,workday
7-2026-07-07-L01,7,2026-07-07,Tuesday,outbound,activity-7-2026-07-07-002,work,Z1,Z1,2026-07-07 08:53:25.500000,2026-07-07 09:30:00,2026-07-07 07:30:00,2026-07-07 08:53:25.500000,False,5.0,2026-07-07 09:28:33.120000,2026-07-07 09:28:33.120000,0.0,True,True,False,False,False,,True,True,walk,walk,0,0.0,0.0,0.0,0.0,0.0,35.127,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,2026-07-07 08:53:25.500000,metro,False,,False,False,metro,walk-metro-walk,True,4.5,0.0,4.5,20.0,0.0,10.627,35.127,4.0,7.479,7.479,4.0,4.0,4.0,False,percentage,percentage,False,coupon_unavailable,False,False,0.0,35.0,,heavy_rain,20.0,1.0,0.7,W2,C4_public_goods,API_interdependent_city_mobility_1000,workday
7-2026-07-07-L02,7,2026-07-07,Tuesday,return_home,activity-7-2026-07-07-002,return_home,Z1,Z1,2026-07-07 18:00:00,,,,False,5.0,,,,,,False,False,False,,True,True,walk,walk,0,0.0,0.0,0.0,0.0,0.0,35.127,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,2026-07-07 18:00:00,metro,False,,False,False,metro,walk-metro-walk,True,4.5,0.0,4.5,20.0,0.0,10.627,35.127,4.0,7.479,7.479,4.0,4.0,4.0,False,percentage,percentage,False,coupon_unavailable,False,False,0.0,35.0,,heavy_rain,20.0,1.0,0.7,W2,C4_public_goods,API_interdependent_city_mobility_1000,workday
70-2026-07-07-L01,70,2026-07-07,Tuesday,outbound,activity-70-2026-07-07-002,work,Z6,Z6,2026-07-07 09:44:44.340000,2026-07-07 10:30:00,2026-07-07 08:30:00,2026-07-07 09:44:44.340000,False,8.0,2026-07-07 10:22:52.467180,2026-07-07 10:22:52.467180,0.0,True,True,False,False,False,,False,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 09:44:44.340000,ride_hailing,False,,False,False,ride_hailing,walk-ride_hailing-walk,True,10.0,0.0,10.0,2.0,0.0,26.135,38.135,34.6,10.629,10.629,34.6,34.6,34.6,False,percentage,percentage,False,coupon_unavailable,False,False,0.0,24.401,0.844752,heavy_rain,10.0,1.0,0.35,W2,C4_public_goods,API_interdependent_city_mobility_1000,workday
