policy,weather_scenario,metric,seed_count,mean,std_dev,median,minimum,maximum
C2_elder_limited,W0,ride_hailing_failed,10,0.2,0.632456,0.0,0.0,2.0
C2_elder_limited,W0,mean_ride_hailing_wait_minutes_per_request,10,10.314456,1.644659,9.97235,8.0,13.200514
C2_elder_limited,W0,fallback_attempts,10,0.2,0.632456,0.0,0.0,2.0
C2_elder_limited,W0,fallback_succeeded,10,0.2,0.632456,0.0,0.0,2.0
C2_elder_limited,W0,transport_unmet,10,0.0,0.0,0.0,0.0,0.0
C2_elder_limited,W0,mandatory_activity_incomplete,10,1.5,0.971825,1.0,1.0,4.0
C2_elder_limited,W0,activity_completion_rate,10,0.96851,0.017958,0.972917,0.923077,0.981818
C2_elder_limited,W0,necessary_activity_completion_rate,10,0.960009,0.025457,0.972598,0.894737,0.974359
C2_elder_limited,W0,walking_mode_share,10,0.016357,0.009945,0.01477,0.0,0.030612
C2_elder_limited,W0,bus_mode_share,10,0.536523,0.054945,0.538829,0.466667,0.618557
C2_elder_limited,W0,metro_mode_share,10,0.389297,0.05507,0.39898,0.307692,0.464646
C2_elder_limited,W0,ride_hailing_mode_share,10,0.057822,0.021138,0.061856,0.019048,0.094737
C2_elder_limited,W0,mean_total_travel_time,10,63.0522,2.355268,63.0305,60.45,68.898
C2_elder_limited,W0,mean_road_speed_kmh,10,17.4104,0.476344,17.573,16.626,18.022
C2_elder_limited,W0,total_outdoor_exposure_minutes,10,2033.8492,128.462852,2072.2835,1836.614,2256.495
C2_elder_limited,W0,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,0.0
C2_elder_limited,W2,coupon_reached,10,10.9,1.197219,11.0,9.0,13.0
C2_elder_limited,W2,coupon_participated,10,0.0,0.0,0.0,0.0,0.0
C2_elder_limited,W2,coupon_awarded,10,9.9,0.316228,10.0,9.0,10.0
C2_elder_limited,W2,coupon_redeemed,10,0.1,0.316228,0.0,0.0,1.0
C2_elder_limited,W2,coupon_induced_requests,10,0.3,0.948683,0.0,0.0,3.0
C2_elder_limited,W2,coupon_subsidy_yuan,10,0.411,1.299696,0.0,0.0,4.11
C2_elder_limited,W2,ride_hailing_requests,10,13.3,3.198958,13.5,7.0,18.0
C2_elder_limited,W2,successful_ride_hailing_requests,10,11.6,2.951459,12.0,7.0,17.0
C2_elder_limited,W2,ride_hailing_failed,10,1.7,2.359378,0.5,0.0,6.0
C2_elder_limited,W2,mean_ride_hailing_wait_minutes_per_request,10,12.18665,1.670814,12.434648,9.6667,14.478067
C2_elder_limited,W2,fallback_attempts,10,1.7,2.359378,0.5,0.0,6.0
C2_elder_limited,W2,fallback_succeeded,10,1.7,2.359378,0.5,0.0,6.0
