seed,policy,weather_scenario,day_type,group,agent_count,coupon_reached,coupon_participated,coupon_awarded,coupon_redeemed,coupon_induced_requests,coupon_subsidy_yuan,ride_hailing_requests,successful_ride_hailing_requests,failed_ride_hailing_requests,mean_ride_hailing_wait_minutes_per_request,fallback_attempts,transport_unmet,mandatory_activity_incomplete,necessary_activity_completion_rate,walking_legs,bus_legs,metro_legs,ride_hailing_legs,total_outdoor_exposure_minutes,total_heat_risk_burden
49,C1_public_limited,W2,workday,60+_nondigital_assisted,5,5,3,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,4,0,0,78.5,0.0
49,C1_public_limited,W2,workday,60+_nondigital_unassisted,2,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,2,0,0,68.0,0.0
49,C2_elder_limited,W0,workday,18-39,20,0,0,0,0,0,0.0,3,3,0,9.787,0,0,0,1.0,2,26,18,3,1042.321,0.0
49,C2_elder_limited,W0,workday,40-59,17,0,0,0,0,0,0.0,4,4,0,9.96175,0,0,1,0.9375,0,21,12,4,707.972,0.0
49,C2_elder_limited,W0,workday,60+_digital,6,6,0,5,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,10,2,0,215.869,0.0
49,C2_elder_limited,W0,workday,60+_nondigital_assisted,5,5,0,5,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,4,0,0,78.5,0.0
49,C2_elder_limited,W0,workday,60+_nondigital_unassisted,2,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,2,0,0,68.0,0.0
49,C2_elder_limited,W2,workday,18-39,20,0,0,0,0,0,0.0,9,4,5,15.391778,5,0,2,0.888889,1,21,21,4,1118.759,0.0
49,C2_elder_limited,W2,workday,40-59,17,0,0,0,0,0,0.0,6,6,0,13.1075,0,0,0,1.0,0,10,20,6,834.655,0.0
49,C2_elder_limited,W2,workday,60+_digital,6,6,0,5,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,10,2,0,215.869,0.0
49,C2_elder_limited,W2,workday,60+_nondigital_assisted,5,5,0,5,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,4,0,0,78.5,0.0
49,C2_elder_limited,W2,workday,60+_nondigital_unassisted,2,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,2,0,0,68.0,0.0
49,C3_mixed,W0,workday,18-39,20,20,13,3,2,1,11.86,4,4,0,9.6735,0,0,0,1.0,2,25,18,4,1033.206,0.0
49,C3_mixed,W0,workday,40-59,17,17,10,3,1,0,6.19,4,4,0,9.96175,0,0,1,0.9375,0,21,12,4,707.972,0.0
49,C3_mixed,W0,workday,60+_digital,6,6,5,3,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,10,2,0,215.869,0.0
49,C3_mixed,W0,workday,60+_nondigital_assisted,5,5,3,1,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,4,0,0,78.5,0.0
49,C3_mixed,W0,workday,60+_nondigital_unassisted,2,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,2,0,0,68.0,0.0
49,C3_mixed,W2,workday,18-39,20,20,13,3,2,0,11.86,9,4,5,15.391778,5,0,2,0.888889,1,21,21,4,1118.759,0.0
