policy,weather_scenario,group,metric,seed_count,mean,std_dev,median,minimum,maximum
C0_no_coupon,W2,40-59,total_outdoor_exposure_minutes,10,709.6142,76.009691,695.205,609.176,834.655
C0_no_coupon,W2,40-59,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,60+_digital,coupon_awarded,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,60+_digital,coupon_redeemed,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,60+_digital,coupon_induced_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,60+_digital,ride_hailing_requests,10,0.1,0.316228,0.0,0.0,1.0
C0_no_coupon,W2,60+_digital,successful_ride_hailing_requests,10,0.1,0.316228,0.0,0.0,1.0
C0_no_coupon,W2,60+_digital,failed_ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,60+_digital,mean_ride_hailing_wait_minutes_per_request,10,1.1,3.478505,0.0,0.0,11.0
C0_no_coupon,W2,60+_digital,fallback_attempts,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,60+_digital,transport_unmet,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,60+_digital,mandatory_activity_incomplete,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,60+_digital,necessary_activity_completion_rate,10,1.0,0.0,1.0,1.0,1.0
C0_no_coupon,W2,60+_digital,total_outdoor_exposure_minutes,10,175.1337,61.545174,189.097,88.3,276.02
C0_no_coupon,W2,60+_digital,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,60+_nondigital_assisted,coupon_awarded,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,60+_nondigital_assisted,coupon_redeemed,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,60+_nondigital_assisted,coupon_induced_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,60+_nondigital_assisted,ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,60+_nondigital_assisted,successful_ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,60+_nondigital_assisted,failed_ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,60+_nondigital_assisted,mean_ride_hailing_wait_minutes_per_request,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,60+_nondigital_assisted,fallback_attempts,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,60+_nondigital_assisted,transport_unmet,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,60+_nondigital_assisted,mandatory_activity_incomplete,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,60+_nondigital_assisted,necessary_activity_completion_rate,10,1.0,0.0,1.0,1.0,1.0
C0_no_coupon,W2,60+_nondigital_assisted,total_outdoor_exposure_minutes,10,123.1488,74.191519,132.853,0.0,218.625
C0_no_coupon,W2,60+_nondigital_assisted,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,60+_nondigital_unassisted,coupon_awarded,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,60+_nondigital_unassisted,coupon_redeemed,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,60+_nondigital_unassisted,coupon_induced_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,60+_nondigital_unassisted,ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,60+_nondigital_unassisted,successful_ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,60+_nondigital_unassisted,failed_ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,60+_nondigital_unassisted,mean_ride_hailing_wait_minutes_per_request,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,60+_nondigital_unassisted,fallback_attempts,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,60+_nondigital_unassisted,transport_unmet,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,60+_nondigital_unassisted,mandatory_activity_incomplete,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,60+_nondigital_unassisted,necessary_activity_completion_rate,10,1.0,0.0,1.0,1.0,1.0
C0_no_coupon,W2,60+_nondigital_unassisted,total_outdoor_exposure_minutes,10,74.8913,50.121461,63.5,0.0,167.368
C0_no_coupon,W2,60+_nondigital_unassisted,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,0.0
C1_public_limited,W0,18-39,coupon_awarded,10,5.0,1.699673,5.0,1.0,7.0
C1_public_limited,W0,18-39,coupon_redeemed,10,2.0,1.414214,2.5,0.0,4.0
C1_public_limited,W0,18-39,coupon_induced_requests,10,1.1,1.100505,1.0,0.0,3.0
C1_public_limited,W0,18-39,ride_hailing_requests,10,5.2,1.47573,5.0,3.0,8.0
C1_public_limited,W0,18-39,successful_ride_hailing_requests,10,5.1,1.449138,5.0,3.0,8.0
C1_public_limited,W0,18-39,failed_ride_hailing_requests,10,0.1,0.316228,0.0,0.0,1.0
C1_public_limited,W0,18-39,mean_ride_hailing_wait_minutes_per_request,10,10.558822,2.006654,10.000225,7.5,14.51765
C1_public_limited,W0,18-39,fallback_attempts,10,0.1,0.316228,0.0,0.0,1.0
C1_public_limited,W0,18-39,transport_unmet,10,0.0,0.0,0.0,0.0,0.0
C1_public_limited,W0,18-39,mandatory_activity_incomplete,10,0.5,0.527046,0.5,0.0,1.0
C1_public_limited,W0,18-39,necessary_activity_completion_rate,10,0.972222,0.029281,0.972222,0.944444,1.0
C1_public_limited,W0,18-39,total_outdoor_exposure_minutes,10,973.5599,87.743686,975.679,842.06,1159.848
C1_public_limited,W0,18-39,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,0.0
C1_public_limited,W0,40-59,coupon_awarded,10,3.3,1.888562,3.0,0.0,7.0
C1_public_limited,W0,40-59,coupon_redeemed,10,0.4,0.516398,0.0,0.0,1.0
C1_public_limited,W0,40-59,coupon_induced_requests,10,0.3,0.483046,0.0,0.0,1.0
C1_public_limited,W0,40-59,ride_hailing_requests,10,2.0,1.632993,2.0,0.0,5.0
C1_public_limited,W0,40-59,successful_ride_hailing_requests,10,1.8,1.47573,1.5,0.0,4.0
C1_public_limited,W0,40-59,failed_ride_hailing_requests,10,0.2,0.421637,0.0,0.0,1.0
C1_public_limited,W0,40-59,mean_ride_hailing_wait_minutes_per_request,10,9.675388,5.537052,10.888917,0.0,17.35
C1_public_limited,W0,40-59,fallback_attempts,10,0.2,0.421637,0.0,0.0,1.0
C1_public_limited,W0,40-59,transport_unmet,10,0.0,0.0,0.0,0.0,0.0
C1_public_limited,W0,40-59,mandatory_activity_incomplete,10,0.9,0.875595,1.0,0.0,3.0
C1_public_limited,W0,40-59,necessary_activity_completion_rate,10,0.944853,0.05182,0.9375,0.823529,1.0
C1_public_limited,W0,40-59,total_outdoor_exposure_minutes,10,670.4139,40.570943,673.6175,606.302,743.694
C1_public_limited,W0,40-59,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,0.0
