leg_id,agent_id,date,day,leg_role,activity_id,purpose,origin_zone,destination_zone,departure_time,planned_activity_start_time,earliest_feasible_departure,reliability_buffer_min,expected_arrival_time,actual_arrival_time,arrival_delay_minutes,on_time_arrival,activity_completed,metro_origin_accessible,metro_destination_accessible,origin_feeder_mode,destination_feeder_mode,bus_metro_transfer_count,feeder_bus_time_minutes,feeder_bus_wait_minutes,feeder_bus_access_minutes,feeder_bus_in_vehicle_minutes,feeder_bus_fare_yuan,metro_main_time_minutes,origin_feeder_total_time_minutes,origin_feeder_access_minutes,origin_feeder_wait_minutes,destination_feeder_total_time_minutes,destination_feeder_access_minutes,destination_feeder_wait_minutes,final_attempt_departure_time,primary_mode,primary_failed,primary_failure_reason,fallback_attempted,fallback_succeeded,final_mode,transport_succeeded,wait_minutes,failed_attempt_consumed_minutes,cumulative_wait_minutes,access_time_min,transfer_time_min,in_vehicle_time_min,total_travel_time_min,fare_yuan,final_speed_kmh,scenario_vc,weather_type_at_departure,weather_scenario,day_type,policy,outdoor_exposure_minutes,heat_hazard_dose_c_min,age_vulnerability_weight,heat_risk_burden,rain_exposure_minutes
32-2026-07-11-L02,32,2026-07-11,Saturday,return_home,activity-32-2026-07-11-006,return_home,Z3,Z3,2026-07-11 19:30:00,,,8.0,,,,,,True,True,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-11 19:30:00,ride_hailing,False,,False,False,ride_hailing,True,8.0,0.0,8.0,2.0,0.0,9.584,19.584,17.93,27.896,0.681928,normal,W0,rest_day,P0_no_policy,8.0,0.0,1.1,0.0,0.0
33-2026-07-11-L01,33,2026-07-11,Saturday,outbound,activity-33-2026-07-11-006,out_of_home_family_care,Z4,Z4,2026-07-11 12:23:16.022820,2026-07-11 13:00:00,2026-07-11 11:00:00,8.0,2026-07-11 12:52:00,2026-07-11 12:52:00,0.0,True,True,True,True,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-11 12:23:16.022820,ride_hailing,False,,False,False,ride_hailing,True,8.0,0.0,8.0,2.0,0.0,18.733,28.733,33.67,32.945,0.477778,normal,W0,rest_day,P0_no_policy,8.0,0.0,1.1,0.0,0.0
33-2026-07-11-L02,33,2026-07-11,Saturday,return_home,activity-33-2026-07-11-006,return_home,Z4,Z4,2026-07-11 19:00:00,,,10.0,,,,,,True,True,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-11 19:00:00,bus,False,,False,False,bus,True,6.857,0.0,6.857,12.0,0.0,44.08,62.938,2.0,15.401,0.681928,normal,W0,rest_day,P0_no_policy,18.857,0.0,1.1,0.0,0.0
34-2026-07-11-L01,34,2026-07-11,Saturday,outbound,activity-34-2026-07-11-006,social_leisure,Z7,Z7,2026-07-11 08:45:07.620000,2026-07-11 09:30:00,2026-07-11 07:30:00,5.0,2026-07-11 09:25:00,2026-07-11 09:25:00,0.0,True,True,True,True,walk,walk,0,0.0,0.0,0.0,0.0,0.0,39.873,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-11 08:45:07.620000,metro,False,,False,False,metro,True,4.5,0.0,4.5,16.0,0.0,19.373,39.873,4.0,35.0,,normal,W0,rest_day,P0_no_policy,20.5,0.0,1.1,0.0,0.0
34-2026-07-11-L02,34,2026-07-11,Saturday,between_activities,activity-34-2026-07-11-007,shopping,Z7,Z7,2026-07-11 16:16:49.236900,2026-07-11 17:00:00,2026-07-11 15:00:00,10.0,2026-07-11 16:50:00,2026-07-11 16:50:00,0.0,True,True,False,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-11 16:16:49.236900,bus,False,,False,False,bus,True,7.0,0.0,7.0,8.0,0.0,18.179,33.179,2.0,17.971,0.477222,normal,W0,rest_day,P0_no_policy,15.0,0.0,1.1,0.0,0.0
34-2026-07-11-L03,34,2026-07-11,Saturday,between_activities,activity-34-2026-07-11-008,social_leisure,Z7,Z7,2026-07-11 18:46:22.620000,2026-07-11 19:30:00,2026-07-11 17:30:00,5.0,2026-07-11 19:25:00,2026-07-11 19:25:00,0.0,True,True,True,True,walk,walk,0,0.0,0.0,0.0,0.0,0.0,38.623,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-11 18:46:22.620000,metro,False,,False,False,metro,True,3.2,0.0,3.2,16.0,0.0,19.423,38.623,4.0,35.0,,normal,W0,rest_day,P0_no_policy,19.2,0.0,1.1,0.0,0.0
34-2026-07-11-L04,34,2026-07-11,Saturday,return_home,activity-34-2026-07-11-008,return_home,Z7,Z7,2026-07-11 20:30:00,,,10.0,,,,,,False,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-11 20:30:00,bus,False,,False,False,bus,True,11.0,0.0,11.0,8.0,0.0,40.419,59.419,2.0,17.996,0.313333,normal,W0,rest_day,P0_no_policy,19.0,0.0,1.1,0.0,0.0
35-2026-07-11-L01,35,2026-07-11,Saturday,outbound,activity-35-2026-07-11-006,visit,Z2,Z2,2026-07-11 08:21:07.740000,2026-07-11 09:00:00,2026-07-11 07:00:00,5.0,2026-07-11 08:55:00,2026-07-11 08:55:00,0.0,True,True,True,True,walk,walk,0,0.0,0.0,0.0,0.0,0.0,33.871,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-11 08:21:07.740000,metro,False,,False,False,metro,True,4.5,0.0,4.5,16.0,0.0,13.371,33.871,4.0,35.001,,normal,W0,rest_day,P0_no_policy,20.5,0.0,1.1,0.0,0.0
35-2026-07-11-L02,35,2026-07-11,Saturday,between_activities,activity-35-2026-07-11-007,visit,Z2,Z2,2026-07-11 10:43:16.260000,2026-07-11 11:30:00,2026-07-11 10:00:00,5.0,2026-07-11 11:25:00,2026-07-11 11:25:00,0.0,True,True,True,True,walk,walk,0,0.0,0.0,0.0,0.0,0.0,41.729,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-11 10:43:16.260000,metro,False,,False,False,metro,True,5.0,0.0,5.0,16.0,0.0,20.729,41.729,4.0,35.0,,normal,W0,rest_day,P0_no_policy,21.0,0.0,1.1,0.0,0.0
35-2026-07-11-L03,35,2026-07-11,Saturday,between_activities,activity-35-2026-07-11-008,visit,Z2,Z8,2026-07-11 15:55:42.423360,2026-07-11 17:00:00,2026-07-11 15:00:00,10.0,2026-07-11 16:50:00,2026-07-11 16:50:00,0.0,True,True,True,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-11 15:55:42.423360,bus,False,,False,False,bus,True,7.0,0.0,7.0,10.0,0.0,37.293,54.293,2.0,17.972,0.476667,normal,W0,rest_day,P0_no_policy,17.0,0.0,1.1,0.0,0.0
