policy,baseline_policy,weather_scenario,metric,baseline_mean,policy_mean,absolute_change,percent_change,percent_change_defined,undefined_reason,baseline_access_group
D1_targeted_digital_training_75pct,D0_baseline,W0,bus_legs,3.111111,3.111111,0.0,0.0,True,,elder_baseline_nondigital_unassisted
D1_targeted_digital_training_75pct,D0_baseline,W0,total_outdoor_exposure_minutes,82.445889,82.445889,0.0,0.0,True,,elder_baseline_nondigital_unassisted
D1_targeted_digital_training_75pct,D0_baseline,W0,completed_necessary_activities,0.444444,0.444444,0.0,0.0,True,,elder_baseline_nondigital_unassisted
D1_targeted_digital_training_75pct,D0_baseline,W0,necessary_activity_completion_rate,1.0,1.0,0.0,0.0,True,,elder_baseline_nondigital_unassisted
D1_targeted_digital_training_75pct,D0_baseline,W0,ride_hailing_requests,0.0,0.0,0.0,,False,baseline_zero,elder_baseline_nondigital_unassisted
D1_targeted_digital_training_75pct,D0_baseline,W0,mean_total_travel_time,56.38388,56.38388,0.0,0.0,True,,elder_baseline_nondigital_unassisted
D1_targeted_digital_training_75pct,D0_baseline,W0,failed_ride_hailing_requests,0.0,0.0,0.0,,False,baseline_zero,elder_baseline_nondigital_unassisted
D1_targeted_digital_training_75pct,D0_baseline,W0,ride_hailing_legs,0.0,0.0,0.0,,False,baseline_zero,elder_baseline_nondigital_unassisted
D1_targeted_digital_training_75pct,D0_baseline,W0,walking_legs,0.0,0.0,0.0,,False,baseline_zero,elder_baseline_nondigital_unassisted
D1_targeted_digital_training_75pct,D0_baseline,W0,policy_assisted_agent_count,0.0,0.0,0.0,,False,baseline_zero,elder_baseline_nondigital_unassisted
D1_targeted_digital_training_75pct,D0_baseline,W0,successful_ride_hailing_requests,0.0,0.0,0.0,,False,baseline_zero,elder_baseline_nondigital_unassisted
D1_targeted_digital_training_75pct,D0_baseline,W0,policy_proxy_agent_count,0.0,0.0,0.0,,False,baseline_zero,elder_baseline_nondigital_unassisted
D1_targeted_digital_training_75pct,D0_baseline,W0,policy_digital_agent_count,0.0,1.444444,1.444444,,False,baseline_zero,elder_baseline_nondigital_unassisted
D1_targeted_digital_training_75pct,D0_baseline,W0,metro_legs,1.0,1.0,0.0,0.0,True,,elder_baseline_nondigital_unassisted
D1_targeted_digital_training_75pct,D0_baseline,W0,mandatory_activity_incomplete,0.0,0.0,0.0,,False,baseline_zero,elder_baseline_nondigital_unassisted
D1_targeted_digital_training_75pct,D0_baseline,W0,total_heat_risk_burden,0.0,0.0,0.0,,False,baseline_zero,elder_baseline_nondigital_unassisted
D1_targeted_digital_training_75pct,D0_baseline,W0,planned_necessary_activities,0.444444,0.444444,0.0,0.0,True,,elder_baseline_nondigital_unassisted
D1_targeted_digital_training_75pct,D0_baseline,W0,fallback_attempts,0.0,0.0,0.0,,False,baseline_zero,elder_baseline_nondigital_unassisted
D1_targeted_digital_training_75pct,D0_baseline,W2,transport_unmet,0.0,0.0,0.0,,False,baseline_zero,18-39
D1_targeted_digital_training_75pct,D0_baseline,W2,bus_legs,9.9,9.9,0.0,0.0,True,,18-39
D1_targeted_digital_training_75pct,D0_baseline,W2,total_outdoor_exposure_minutes,989.1723,989.1723,0.0,0.0,True,,18-39
D1_targeted_digital_training_75pct,D0_baseline,W2,completed_necessary_activities,17.0,17.0,0.0,0.0,True,,18-39
D1_targeted_digital_training_75pct,D0_baseline,W2,necessary_activity_completion_rate,0.944444,0.944444,0.0,0.0,True,,18-39
D1_targeted_digital_training_75pct,D0_baseline,W2,ride_hailing_requests,8.9,8.9,0.0,0.0,True,,18-39
D1_targeted_digital_training_75pct,D0_baseline,W2,mean_total_travel_time,62.717015,62.717015,0.0,0.0,True,,18-39
D1_targeted_digital_training_75pct,D0_baseline,W2,failed_ride_hailing_requests,1.3,1.3,0.0,0.0,True,,18-39
D1_targeted_digital_training_75pct,D0_baseline,W2,ride_hailing_legs,7.6,7.6,0.0,0.0,True,,18-39
D1_targeted_digital_training_75pct,D0_baseline,W2,walking_legs,0.6,0.6,0.0,0.0,True,,18-39
D1_targeted_digital_training_75pct,D0_baseline,W2,policy_assisted_agent_count,0.0,0.0,0.0,,False,baseline_zero,18-39
D1_targeted_digital_training_75pct,D0_baseline,W2,successful_ride_hailing_requests,7.6,7.6,0.0,0.0,True,,18-39
D1_targeted_digital_training_75pct,D0_baseline,W2,policy_proxy_agent_count,0.0,0.0,0.0,,False,baseline_zero,18-39
D1_targeted_digital_training_75pct,D0_baseline,W2,policy_digital_agent_count,20.0,20.0,0.0,0.0,True,,18-39
D1_targeted_digital_training_75pct,D0_baseline,W2,metro_legs,25.1,25.1,0.0,0.0,True,,18-39
D1_targeted_digital_training_75pct,D0_baseline,W2,mandatory_activity_incomplete,1.0,1.0,0.0,0.0,True,,18-39
D1_targeted_digital_training_75pct,D0_baseline,W2,total_heat_risk_burden,0.0,0.0,0.0,,False,baseline_zero,18-39
D1_targeted_digital_training_75pct,D0_baseline,W2,planned_necessary_activities,18.0,18.0,0.0,0.0,True,,18-39
D1_targeted_digital_training_75pct,D0_baseline,W2,mean_ride_hailing_wait_minutes_per_request,11.68378,11.68378,0.0,0.0,True,,18-39
D1_targeted_digital_training_75pct,D0_baseline,W2,fallback_attempts,1.3,1.3,0.0,0.0,True,,18-39
D1_targeted_digital_training_75pct,D0_baseline,W2,transport_unmet,0.0,0.0,0.0,,False,baseline_zero,40-59
D1_targeted_digital_training_75pct,D0_baseline,W2,bus_legs,10.4,10.4,0.0,0.0,True,,40-59
