vehicle_total,weather_scenario,metric,mean,std_dev,median,minimum,maximum
24,W2,successful_ride_hailing_requests,50.666667,2.886751,49.0,49.0,54.0
24,W2,ride_hailing_failed,3.333333,0.57735,3.0,3.0,4.0
24,W2,mean_ride_hailing_wait_minutes_per_request,12.149476,0.506442,12.374181,11.569562,12.504686
24,W2,max_ride_hailing_wait_minutes,25.846748,5.340026,25.968182,20.447041,31.125021
24,W2,fallback_attempts,3.333333,0.57735,3.0,3.0,4.0
24,W2,fallback_succeeded,3.333333,0.57735,3.0,3.0,4.0
24,W2,fallback_failed,0.0,0.0,0.0,0.0,0.0
24,W2,late_but_reached,7.666667,3.05505,7.0,5.0,11.0
24,W2,transport_unmet,0.0,0.0,0.0,0.0,0.0
24,W2,mandatory_activity_incomplete,7.666667,2.081666,7.0,6.0,10.0
24,W2,activity_completion_rate,0.91807,0.00965,0.922705,0.906977,0.924528
24,W2,necessary_activity_completion_rate,0.948468,0.013808,0.953333,0.932886,0.959184
24,W2,walking_mode_share,0.007253,0.003262,0.005391,0.005348,0.011019
24,W2,bus_mode_share,0.397936,0.009732,0.393531,0.391185,0.409091
24,W2,metro_mode_share,0.457627,0.004515,0.455526,0.454545,0.46281
24,W2,ride_hailing_mode_share,0.137185,0.007514,0.134986,0.131016,0.145553
24,W2,mean_total_travel_time,66.446,2.10275,66.114,64.529,68.695
24,W2,mean_road_speed_kmh,16.813333,0.084311,16.775,16.755,16.91
24,W2,successful_orders_per_vehicle,2.111111,0.120281,2.041667,2.041667,2.25
24,W2,vehicle_used_share,0.75,0.083333,0.75,0.666667,0.833333
18,W0,ride_hailing_requests,25.0,3.464102,27.0,21.0,27.0
18,W0,successful_ride_hailing_requests,24.333333,3.785939,26.0,20.0,27.0
18,W0,ride_hailing_failed,0.666667,0.57735,1.0,0.0,1.0
18,W0,mean_ride_hailing_wait_minutes_per_request,10.955121,0.126149,10.88819,10.876544,11.10063
18,W0,max_ride_hailing_wait_minutes,19.110226,1.541134,20.0,17.330677,20.0
18,W0,fallback_attempts,0.666667,0.57735,1.0,0.0,1.0
18,W0,fallback_succeeded,0.666667,0.57735,1.0,0.0,1.0
18,W0,fallback_failed,0.0,0.0,0.0,0.0,0.0
18,W0,late_but_reached,4.0,2.645751,5.0,1.0,6.0
18,W0,transport_unmet,0.0,0.0,0.0,0.0,0.0
18,W0,mandatory_activity_incomplete,3.333333,1.527525,3.0,2.0,5.0
18,W0,activity_completion_rate,0.98109,0.004567,0.980676,0.976744,0.985849
18,W0,necessary_activity_completion_rate,0.977613,0.010188,0.98,0.966443,0.986395
18,W0,walking_mode_share,0.015373,0.011139,0.01039,0.007595,0.028133
18,W0,bus_mode_share,0.573902,0.004696,0.572152,0.570332,0.579221
18,W0,metro_mode_share,0.348451,0.013975,0.35443,0.332481,0.358442
18,W0,ride_hailing_mode_share,0.062275,0.009088,0.065823,0.051948,0.069054
18,W0,mean_total_travel_time,63.434667,2.088001,63.868,61.164,65.272
18,W0,mean_road_speed_kmh,17.362667,0.175685,17.398,17.172,17.518
18,W0,successful_orders_per_vehicle,1.351852,0.21033,1.444444,1.111111,1.5
18,W0,vehicle_used_share,0.685185,0.084863,0.666667,0.611111,0.777778
18,W1,ride_hailing_requests,26.0,5.567764,27.0,20.0,31.0
18,W1,successful_ride_hailing_requests,25.333333,6.027714,26.0,19.0,31.0
18,W1,ride_hailing_failed,0.666667,0.57735,1.0,0.0,1.0
18,W1,mean_ride_hailing_wait_minutes_per_request,11.042771,0.053504,11.0326,10.995083,11.10063
18,W1,max_ride_hailing_wait_minutes,23.060299,5.300594,20.0,20.0,29.180898
18,W1,fallback_attempts,0.666667,0.57735,1.0,0.0,1.0
18,W1,fallback_succeeded,0.666667,0.57735,1.0,0.0,1.0
18,W1,fallback_failed,0.0,0.0,0.0,0.0,0.0
18,W1,late_but_reached,4.0,2.645751,5.0,1.0,6.0
18,W1,transport_unmet,0.0,0.0,0.0,0.0,0.0
18,W1,mandatory_activity_incomplete,3.333333,1.527525,3.0,2.0,5.0
18,W1,activity_completion_rate,0.963572,0.015153,0.967442,0.94686,0.976415
18,W1,necessary_activity_completion_rate,0.977613,0.010188,0.98,0.966443,0.986395
18,W1,walking_mode_share,0.015576,0.01117,0.010724,0.007653,0.028351
18,W1,bus_mode_share,0.566392,0.008395,0.571046,0.556701,0.571429
18,W1,metro_mode_share,0.352312,0.01624,0.354592,0.335052,0.367292
18,W1,ride_hailing_mode_share,0.065721,0.014489,0.066327,0.050938,0.079897
18,W1,mean_total_travel_time,63.631,2.354007,64.505,60.965,65.423
18,W1,mean_road_speed_kmh,17.421,0.292969,17.526,17.09,17.647
18,W1,successful_orders_per_vehicle,1.407407,0.334873,1.444444,1.055556,1.722222
18,W1,vehicle_used_share,0.722222,0.096225,0.666667,0.666667,0.833333
18,W2,ride_hailing_requests,54.0,3.464102,52.0,52.0,58.0
18,W2,successful_ride_hailing_requests,44.333333,6.806859,42.0,39.0,52.0
18,W2,ride_hailing_failed,9.666667,3.511885,10.0,6.0,13.0
18,W2,mean_ride_hailing_wait_minutes_per_request,13.154977,0.559369,12.904259,12.764827,13.795845
18,W2,max_ride_hailing_wait_minutes,28.807764,3.6179,30.65944,24.63883,31.125021
18,W2,fallback_attempts,9.666667,3.511885,10.0,6.0,13.0
18,W2,fallback_succeeded,9.666667,3.511885,10.0,6.0,13.0
18,W2,fallback_failed,0.0,0.0,0.0,0.0,0.0
18,W2,late_but_reached,11.333333,4.041452,12.0,7.0,15.0
18,W2,transport_unmet,0.0,0.0,0.0,0.0,0.0
18,W2,mandatory_activity_incomplete,10.0,2.645751,11.0,7.0,12.0
18,W2,activity_completion_rate,0.903757,0.017992,0.89372,0.893023,0.924528
18,W2,necessary_activity_completion_rate,0.932655,0.018133,0.92517,0.919463,0.953333
18,W2,walking_mode_share,0.007253,0.003262,0.005391,0.005348,0.011019
18,W2,bus_mode_share,0.414182,0.017416,0.410468,0.398922,0.433155
18,W2,metro_mode_share,0.458518,0.003812,0.457219,0.455526,0.46281
18,W2,ride_hailing_mode_share,0.120047,0.018332,0.115702,0.104278,0.140162
18,W2,mean_total_travel_time,67.365333,2.539951,67.224,64.899,69.973
18,W2,mean_road_speed_kmh,16.51,0.145564,16.443,16.41,16.677
18,W2,successful_orders_per_vehicle,2.462963,0.378159,2.333333,2.166667,2.888889
18,W2,vehicle_used_share,0.814815,0.115648,0.777778,0.722222,0.944444
12,W0,ride_hailing_requests,25.0,3.464102,27.0,21.0,27.0
12,W0,successful_ride_hailing_requests,23.0,4.358899,25.0,18.0,26.0
12,W0,ride_hailing_failed,2.0,1.0,2.0,1.0,3.0
12,W0,mean_ride_hailing_wait_minutes_per_request,11.646229,0.47499,11.870487,11.10063,11.967571
12,W0,max_ride_hailing_wait_minutes,20.0,0.0,20.0,20.0,20.0
12,W0,fallback_attempts,2.0,1.0,2.0,1.0,3.0
12,W0,fallback_succeeded,2.0,1.0,2.0,1.0,3.0
12,W0,fallback_failed,0.0,0.0,0.0,0.0,0.0
12,W0,late_but_reached,4.666667,3.21455,6.0,1.0,7.0
12,W0,transport_unmet,0.0,0.0,0.0,0.0,0.0
12,W0,mandatory_activity_incomplete,3.666667,1.154701,3.0,3.0,5.0
12,W0,activity_completion_rate,0.977869,0.007481,0.976744,0.971014,0.985849
12,W0,necessary_activity_completion_rate,0.975345,0.007712,0.979592,0.966443,0.98
12,W0,walking_mode_share,0.015373,0.011139,0.01039,0.007595,0.028133
12,W0,bus_mode_share,0.577339,0.006347,0.575448,0.572152,0.584416
12,W0,metro_mode_share,0.348451,0.013975,0.35443,0.332481,0.358442
12,W0,ride_hailing_mode_share,0.058838,0.010509,0.063939,0.046753,0.065823
12,W0,mean_total_travel_time,63.599333,1.97603,64.107,61.419,65.272
12,W0,mean_road_speed_kmh,17.284667,0.230072,17.278,17.058,17.518
12,W0,successful_orders_per_vehicle,1.916667,0.363242,2.083333,1.5,2.166667
12,W0,vehicle_used_share,0.805555,0.048112,0.833333,0.75,0.833333
12,W1,ride_hailing_requests,26.0,5.567764,27.0,20.0,31.0
12,W1,successful_ride_hailing_requests,24.0,6.244998,26.0,17.0,29.0
12,W1,ride_hailing_failed,2.0,1.0,2.0,1.0,3.0
12,W1,mean_ride_hailing_wait_minutes_per_request,11.709119,0.548613,11.860776,11.10063,12.16595
12,W1,max_ride_hailing_wait_minutes,23.060299,5.300594,20.0,20.0,29.180898
12,W1,fallback_attempts,2.0,1.0,2.0,1.0,3.0
12,W1,fallback_succeeded,2.0,1.0,2.0,1.0,3.0
12,W1,fallback_failed,0.0,0.0,0.0,0.0,0.0
12,W1,late_but_reached,4.666667,3.21455,6.0,1.0,7.0
12,W1,transport_unmet,0.0,0.0,0.0,0.0,0.0
12,W1,mandatory_activity_incomplete,3.666667,1.154701,3.0,3.0,5.0
12,W1,activity_completion_rate,0.960352,0.020547,0.967442,0.937198,0.976415
12,W1,necessary_activity_completion_rate,0.975345,0.007712,0.979592,0.966443,0.98
12,W1,walking_mode_share,0.015576,0.01117,0.010724,0.007653,0.028351
12,W1,bus_mode_share,0.569898,0.007396,0.571429,0.561856,0.576408
12,W1,metro_mode_share,0.352312,0.01624,0.354592,0.335052,0.367292
12,W1,ride_hailing_mode_share,0.062215,0.015012,0.066327,0.045576,0.074742
12,W1,mean_total_travel_time,63.798667,2.256613,64.751,61.222,65.423
12,W1,mean_road_speed_kmh,17.340667,0.321007,17.526,16.97,17.526
12,W1,successful_orders_per_vehicle,2.0,0.520416,2.166667,1.416667,2.416667
12,W1,vehicle_used_share,0.861111,0.048113,0.833333,0.833333,0.916667
12,W2,ride_hailing_requests,54.0,3.464102,52.0,52.0,58.0
12,W2,successful_ride_hailing_requests,38.666667,4.041452,38.0,35.0,43.0
12,W2,ride_hailing_failed,15.333333,1.527525,15.0,14.0,17.0
12,W2,mean_ride_hailing_wait_minutes_per_request,14.664854,0.933924,14.156678,14.095212,15.742673
12,W2,max_ride_hailing_wait_minutes,31.92388,1.21451,31.321793,31.12804,33.321806
12,W2,fallback_attempts,15.333333,1.527525,15.0,14.0,17.0
12,W2,fallback_succeeded,15.333333,1.527525,15.0,14.0,17.0
12,W2,fallback_failed,0.0,0.0,0.0,0.0,0.0
12,W2,late_but_reached,15.333333,3.05505,16.0,12.0,18.0
12,W2,transport_unmet,0.0,0.0,0.0,0.0,0.0
12,W2,mandatory_activity_incomplete,11.0,1.0,11.0,10.0,12.0
12,W2,activity_completion_rate,0.895857,0.008737,0.893023,0.888889,0.90566
12,W2,necessary_activity_completion_rate,0.925989,0.006971,0.92517,0.919463,0.933333
12,W2,walking_mode_share,0.007253,0.003262,0.005391,0.005348,0.011019
12,W2,bus_mode_share,0.427697,0.011883,0.423181,0.418733,0.441176
12,W2,metro_mode_share,0.460328,0.005034,0.459893,0.455526,0.465565
12,W2,ride_hailing_mode_share,0.104723,0.01116,0.104683,0.093583,0.115903
12,W2,mean_total_travel_time,68.136,2.202808,67.977,66.017,70.414
12,W2,mean_road_speed_kmh,16.241333,0.028589,16.248,16.21,16.266
12,W2,successful_orders_per_vehicle,3.222222,0.336787,3.166667,2.916667,3.583333
12,W2,vehicle_used_share,0.888889,0.127294,0.916667,0.75,1.0
