seed,weather_scenario,leg_id,agent_id,age_group,group,shared_request,p0_succeeded,p4_succeeded,benefited_failure_to_success,harmed_success_to_failure,pickup_wait_change_minutes,wait_improved,wait_worsened,base_dispatch_priority_identical
49,W2,37-2026-07-07-L01,37,40-59,40-59,True,True,True,False,False,0.0,False,False,True
49,W2,7-2026-07-07-L01,7,18-39,18-39,True,False,False,False,False,0.0,False,False,True
49,W2,9-2026-07-07-L01,9,18-39,18-39,True,True,True,False,False,0.0,False,False,True
49,W2,9-2026-07-07-L02,9,18-39,18-39,True,False,False,False,False,0.0,False,False,True
49,W2,9-2026-07-07-L03,9,18-39,18-39,True,False,False,False,False,0.0,False,False,True
50,W0,10-2026-07-07-L02,10,18-39,18-39,True,True,True,False,False,0.0,False,False,True
50,W0,18-2026-07-07-L02,18,18-39,18-39,True,True,True,False,False,0.0,False,False,True
50,W0,19-2026-07-07-L03,19,18-39,18-39,True,True,True,False,False,0.0,False,False,True
50,W0,27-2026-07-07-L01,27,40-59,40-59,True,True,True,False,False,0.0,False,False,True
50,W0,4-2026-07-07-L03,4,18-39,18-39,True,True,True,False,False,0.0,False,False,True
50,W0,6-2026-07-07-L02,6,18-39,18-39,True,True,True,False,False,0.0,False,False,True
50,W0,7-2026-07-07-L01,7,18-39,18-39,True,True,True,False,False,0.0,False,False,True
50,W2,10-2026-07-07-L02,10,18-39,18-39,True,True,True,False,False,0.0,False,False,True
50,W2,16-2026-07-07-L02,16,18-39,18-39,True,True,True,False,False,0.0,False,False,True
50,W2,18-2026-07-07-L02,18,18-39,18-39,True,True,True,False,False,0.0,False,False,True
50,W2,19-2026-07-07-L03,19,18-39,18-39,True,True,True,False,False,0.0,False,False,True
50,W2,26-2026-07-07-L01,26,40-59,40-59,True,True,True,False,False,0.0,False,False,True
50,W2,27-2026-07-07-L01,27,40-59,40-59,True,True,True,False,False,0.0,False,False,True
50,W2,4-2026-07-07-L03,4,18-39,18-39,True,True,True,False,False,0.0,False,False,True
50,W2,5-2026-07-07-L01,5,18-39,18-39,True,True,True,False,False,0.0,False,False,True
50,W2,5-2026-07-07-L02,5,18-39,18-39,True,True,True,False,False,0.0,False,False,True
50,W2,6-2026-07-07-L02,6,18-39,18-39,True,True,True,False,False,0.0,False,False,True
50,W2,7-2026-07-07-L01,7,18-39,18-39,True,True,True,False,False,0.0,False,False,True
51,W0,15-2026-07-07-L01,15,18-39,18-39,True,True,True,False,False,0.0,False,False,True
51,W0,15-2026-07-07-L02,15,18-39,18-39,True,True,True,False,False,0.0,False,False,True
51,W0,20-2026-07-07-L01,20,18-39,18-39,True,True,True,False,False,0.0,False,False,True
51,W0,20-2026-07-07-L02,20,18-39,18-39,True,True,True,False,False,0.0,False,False,True
51,W0,20-2026-07-07-L03,20,18-39,18-39,True,True,True,False,False,0.0,False,False,True
51,W2,1-2026-07-07-L01,1,18-39,18-39,True,True,True,False,False,0.0,False,False,True
51,W2,12-2026-07-07-L01,12,18-39,18-39,True,True,True,False,False,0.0,False,False,True
51,W2,15-2026-07-07-L01,15,18-39,18-39,True,True,True,False,False,0.0,False,False,True
51,W2,15-2026-07-07-L02,15,18-39,18-39,True,True,True,False,False,0.0,False,False,True
51,W2,18-2026-07-07-L01,18,18-39,18-39,True,True,True,False,False,0.0,False,False,True
51,W2,18-2026-07-07-L02,18,18-39,18-39,True,True,True,False,False,0.0,False,False,True
51,W2,2-2026-07-07-L01,2,18-39,18-39,True,True,True,False,False,0.0,False,False,True
51,W2,20-2026-07-07-L01,20,18-39,18-39,True,True,True,False,False,0.0,False,False,True
51,W2,20-2026-07-07-L02,20,18-39,18-39,True,True,True,False,False,0.0,False,False,True
51,W2,20-2026-07-07-L03,20,18-39,18-39,True,True,True,False,False,0.0,False,False,True
51,W2,3-2026-07-07-L01,3,18-39,18-39,True,True,True,False,False,0.0,False,False,True
51,W2,3-2026-07-07-L02,3,18-39,18-39,True,True,True,False,False,0.0,False,False,True
51,W2,4-2026-07-07-L02,4,18-39,18-39,True,True,True,False,False,0.0,False,False,True
51,W2,6-2026-07-07-L01,6,18-39,18-39,True,True,True,False,False,0.0,False,False,True
