policy,baseline_policy,weather_scenario,group,metric,baseline_mean,policy_mean,absolute_change,percent_change,percent_change_defined,undefined_reason
P4_elder_priority,P0_first_come,W0,40-59,total_heat_risk_burden,0.0,0.0,0.0,,False,baseline_zero
P4_elder_priority,P0_first_come,W0,elder_digital,ride_hailing_requests,0.1,0.1,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,elder_digital,successful_ride_hailing_requests,0.1,0.1,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,elder_digital,failed_ride_hailing_requests,0.0,0.0,0.0,,False,baseline_zero
P4_elder_priority,P0_first_come,W0,elder_digital,ride_hailing_success_rate,1.0,1.0,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,elder_digital,mean_ride_hailing_wait_minutes_per_request,1.1,1.1,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,elder_digital,fallback_attempts,0.0,0.0,0.0,,False,baseline_zero
P4_elder_priority,P0_first_come,W0,elder_digital,transport_unmet,0.0,0.0,0.0,,False,baseline_zero
P4_elder_priority,P0_first_come,W0,elder_digital,planned_necessary_activities,1.7,1.7,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,elder_digital,completed_necessary_activities,1.7,1.7,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,elder_digital,necessary_activity_completion_rate,1.0,1.0,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,elder_digital,walking_legs,0.0,0.0,0.0,,False,baseline_zero
P4_elder_priority,P0_first_come,W0,elder_digital,bus_legs,7.9,7.9,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,elder_digital,metro_legs,1.4,1.4,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,elder_digital,ride_hailing_legs,0.1,0.1,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,elder_digital,mean_total_travel_time,59.5338,59.5338,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,elder_digital,total_outdoor_exposure_minutes,175.6338,175.6338,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,elder_digital,total_heat_risk_burden,0.0,0.0,0.0,,False,baseline_zero
P4_elder_priority,P0_first_come,W0,elder_nondigital_assisted,ride_hailing_requests,0.0,0.0,0.0,,False,baseline_zero
P4_elder_priority,P0_first_come,W0,elder_nondigital_assisted,successful_ride_hailing_requests,0.0,0.0,0.0,,False,baseline_zero
P4_elder_priority,P0_first_come,W0,elder_nondigital_assisted,failed_ride_hailing_requests,0.0,0.0,0.0,,False,baseline_zero
P4_elder_priority,P0_first_come,W0,elder_nondigital_assisted,mean_ride_hailing_wait_minutes_per_request,0.0,0.0,0.0,,False,baseline_zero
P4_elder_priority,P0_first_come,W0,elder_nondigital_assisted,fallback_attempts,0.0,0.0,0.0,,False,baseline_zero
P4_elder_priority,P0_first_come,W0,elder_nondigital_assisted,transport_unmet,0.0,0.0,0.0,,False,baseline_zero
P4_elder_priority,P0_first_come,W0,elder_nondigital_assisted,planned_necessary_activities,1.2,1.2,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,elder_nondigital_assisted,completed_necessary_activities,1.2,1.2,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,elder_nondigital_assisted,necessary_activity_completion_rate,1.0,1.0,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,elder_nondigital_assisted,walking_legs,0.0,0.0,0.0,,False,baseline_zero
P4_elder_priority,P0_first_come,W0,elder_nondigital_assisted,bus_legs,6.0,6.0,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,elder_nondigital_assisted,metro_legs,0.8,0.8,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,elder_nondigital_assisted,ride_hailing_legs,0.0,0.0,0.0,,False,baseline_zero
P4_elder_priority,P0_first_come,W0,elder_nondigital_assisted,mean_total_travel_time,56.954133,56.954133,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,elder_nondigital_assisted,total_outdoor_exposure_minutes,128.7746,128.7746,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,elder_nondigital_assisted,total_heat_risk_burden,0.0,0.0,0.0,,False,baseline_zero
P4_elder_priority,P0_first_come,W0,elder_nondigital_unassisted,ride_hailing_requests,0.0,0.0,0.0,,False,baseline_zero
P4_elder_priority,P0_first_come,W0,elder_nondigital_unassisted,successful_ride_hailing_requests,0.0,0.0,0.0,,False,baseline_zero
P4_elder_priority,P0_first_come,W0,elder_nondigital_unassisted,failed_ride_hailing_requests,0.0,0.0,0.0,,False,baseline_zero
P4_elder_priority,P0_first_come,W0,elder_nondigital_unassisted,mean_ride_hailing_wait_minutes_per_request,0.0,0.0,0.0,,False,baseline_zero
P4_elder_priority,P0_first_come,W0,elder_nondigital_unassisted,fallback_attempts,0.0,0.0,0.0,,False,baseline_zero
P4_elder_priority,P0_first_come,W0,elder_nondigital_unassisted,transport_unmet,0.0,0.0,0.0,,False,baseline_zero
P4_elder_priority,P0_first_come,W0,elder_nondigital_unassisted,planned_necessary_activities,0.4,0.4,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,elder_nondigital_unassisted,completed_necessary_activities,0.4,0.4,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,elder_nondigital_unassisted,necessary_activity_completion_rate,1.0,1.0,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,elder_nondigital_unassisted,walking_legs,0.0,0.0,0.0,,False,baseline_zero
P4_elder_priority,P0_first_come,W0,elder_nondigital_unassisted,bus_legs,2.8,2.8,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,elder_nondigital_unassisted,metro_legs,0.9,0.9,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,elder_nondigital_unassisted,ride_hailing_legs,0.0,0.0,0.0,,False,baseline_zero
P4_elder_priority,P0_first_come,W0,elder_nondigital_unassisted,mean_total_travel_time,50.745492,50.745492,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,elder_nondigital_unassisted,total_outdoor_exposure_minutes,74.2013,74.2013,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,elder_nondigital_unassisted,total_heat_risk_burden,0.0,0.0,0.0,,False,baseline_zero
P4_elder_priority,P0_first_come,W2,18-39,ride_hailing_requests,8.9,8.9,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,18-39,successful_ride_hailing_requests,7.6,7.6,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,18-39,failed_ride_hailing_requests,1.3,1.3,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,18-39,ride_hailing_success_rate,0.855278,0.855278,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,18-39,mean_ride_hailing_wait_minutes_per_request,11.68378,11.68378,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,18-39,fallback_attempts,1.3,1.3,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,18-39,transport_unmet,0.0,0.0,0.0,,False,baseline_zero
P4_elder_priority,P0_first_come,W2,18-39,planned_necessary_activities,18.0,18.0,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,18-39,completed_necessary_activities,17.0,17.0,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,18-39,necessary_activity_completion_rate,0.944444,0.944444,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,18-39,walking_legs,0.6,0.6,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,18-39,bus_legs,9.9,9.9,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,18-39,metro_legs,25.1,25.1,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,18-39,ride_hailing_legs,7.6,7.6,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,18-39,mean_total_travel_time,62.717015,62.717015,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,18-39,total_outdoor_exposure_minutes,989.1723,989.1723,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,18-39,total_heat_risk_burden,0.0,0.0,0.0,,False,baseline_zero
P4_elder_priority,P0_first_come,W2,40-59,ride_hailing_requests,4.0,4.0,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,40-59,successful_ride_hailing_requests,3.9,3.9,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,40-59,failed_ride_hailing_requests,0.1,0.1,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,40-59,ride_hailing_success_rate,0.986111,0.986111,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,40-59,mean_ride_hailing_wait_minutes_per_request,11.418506,11.418506,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,40-59,fallback_attempts,0.1,0.1,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,40-59,transport_unmet,0.0,0.0,0.0,,False,baseline_zero
P4_elder_priority,P0_first_come,W2,40-59,planned_necessary_activities,16.1,16.1,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,40-59,completed_necessary_activities,16.0,16.0,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,40-59,necessary_activity_completion_rate,0.994118,0.994118,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,40-59,walking_legs,0.1,0.1,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,40-59,bus_legs,10.4,10.4,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,40-59,metro_legs,18.2,18.2,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,40-59,ride_hailing_legs,3.9,3.9,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,40-59,mean_total_travel_time,67.434746,67.434746,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,40-59,total_outdoor_exposure_minutes,709.6142,709.6142,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,40-59,total_heat_risk_burden,0.0,0.0,0.0,,False,baseline_zero
P4_elder_priority,P0_first_come,W2,elder_digital,ride_hailing_requests,0.1,0.1,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,elder_digital,successful_ride_hailing_requests,0.1,0.1,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,elder_digital,failed_ride_hailing_requests,0.0,0.0,0.0,,False,baseline_zero
