leg_id,agent_id,request_time,dispatch_priority,dispatch_priority_policy,dispatch_priority_group_rank,effective_dispatch_priority,age_group,origin_zone,destination_zone,coupon_bound,fare_before_coupon_yuan,fare_after_coupon_yuan,coupon_subsidy_yuan,succeeded,failure_reason,dispatch_time,pickup_wait_min,queue_wait_min,pending_queue_size_at_dispatch,dispatch_sequence,vehicle_id,idle_vehicles_at_request,busy_start,busy_until,previous_busy_until,idle_vehicles_after_dispatch,weather_scenario,day_type,policy,experiment_condition,seed,priority_policy
23-2026-07-07-L01,23,545.1666666666666,0.535449148,P0_first_come,0,0.535449148,40-59,Z6,Z6,False,37.12,37.12,0.0,True,,545.1666666666666,13.333,0.0,1,6,N9RH-workday-Z3-001,3,545.1666666666666,590.0292636666666,481.67868733333336,2,W2,workday,P0_no_policy,elder_dispatch_P0_first_come,48,P0_first_come
19-2026-07-07-L01,19,748.7,0.462853471,P0_first_come,0,0.462853471,18-39,Z7,Z7,False,28.57,28.57,0.0,True,,748.7,6.0,0.0,1,7,N9RH-workday-Z7-001,2,748.7,769.989714,0.0,1,W2,workday,P0_no_policy,elder_dispatch_P0_first_come,48,P0_first_come
8-2026-07-07-L02,8,1020.0,0.192527139,P0_first_come,0,0.192527139,18-39,Z2,Z4,False,62.55,62.55,0.0,True,,1020.0,7.5,0.0,1,8,N9RH-workday-Z2-002,2,1020.0,1084.773931,0.0,1,W2,workday,P0_no_policy,elder_dispatch_P0_first_come,48,P0_first_come
31-2026-07-07-L02,31,1080.0,0.0041876,P0_first_come,0,0.0041876,40-59,Z1,Z3,False,26.52,26.52,0.0,True,,1080.0,11.0,0.0,1,9,N9RH-workday-Z1-001,3,1080.0,1112.118664,0.0,2,W2,workday,P0_no_policy,elder_dispatch_P0_first_come,48,P0_first_come
17-2026-07-07-L03,17,1139.0666666666666,0.608599334,P0_first_come,0,0.608599334,18-39,Z4,Z4,False,16.1,16.1,0.0,True,,1139.0666666666666,10.667,0.0,1,10,N9RH-workday-Z2-002,1,1139.0666666666666,1159.9894476666666,1084.773931,0,W2,workday,P0_no_policy,elder_dispatch_P0_first_come,48,P0_first_come
6-2026-07-07-L01,6,503.6166666666667,0.092171729,P4_elder_priority,1,1.092171729,18-39,Z2,Z1,False,26.21,26.21,0.0,True,,503.6166666666667,10.0,0.0,1,1,N9RH-workday-Z2-001,2,503.6166666666667,529.9980416666667,0.0,1,W0,workday,P0_no_policy,elder_dispatch_P4_elder_priority,48,P4_elder_priority
19-2026-07-07-L01,19,748.7,0.462853471,P4_elder_priority,1,1.462853471,18-39,Z7,Z7,False,28.57,28.57,0.0,True,,748.7,6.0,0.0,1,2,N9RH-workday-Z7-001,2,748.7,769.989714,0.0,1,W0,workday,P0_no_policy,elder_dispatch_P4_elder_priority,48,P4_elder_priority
34-2026-07-07-L03,34,1230.0,0.63395678,P4_elder_priority,1,1.63395678,40-59,Z7,Z7,False,27.83,27.83,0.0,True,,1230.0,8.0,0.0,1,3,N9RH-workday-Z7-001,2,1230.0,1252.772557,769.989714,1,W0,workday,P0_no_policy,elder_dispatch_P4_elder_priority,48,P4_elder_priority
26-2026-07-07-L01,26,412.05,0.964966968,P4_elder_priority,1,1.964966968,40-59,Z9,Z6,False,72.16,72.16,0.0,True,,412.05,15.444,0.0,1,1,N9RH-workday-Z9-001,1,412.05,500.000355,0.0,0,W2,workday,P0_no_policy,elder_dispatch_P4_elder_priority,48,P4_elder_priority
1-2026-07-07-L01,1,433.53333333333336,0.336284149,P4_elder_priority,1,1.336284149,18-39,Z3,Z6,False,46.89,46.89,0.0,True,,433.53333333333336,7.0,0.0,1,2,N9RH-workday-Z3-001,1,433.53333333333336,481.67868733333336,0.0,0,W2,workday,P0_no_policy,elder_dispatch_P4_elder_priority,48,P4_elder_priority
8-2026-07-07-L01,8,441.23333333333335,0.403793939,P4_elder_priority,1,1.403793939,18-39,Z4,Z2,False,62.55,62.55,0.0,True,,441.23333333333335,9.333,0.0,1,3,N9RH-workday-Z4-001,1,441.23333333333335,507.7124273333334,0.0,0,W2,workday,P0_no_policy,elder_dispatch_P4_elder_priority,48,P4_elder_priority
9-2026-07-07-L01,9,463.1333333333333,0.945889426,P4_elder_priority,1,1.945889426,18-39,Z6,Z6,False,33.12,33.12,0.0,True,,463.1333333333333,9.333,0.0,1,4,N9RH-workday-Z6-001,1,463.1333333333333,500.01026533333334,0.0,0,W2,workday,P0_no_policy,elder_dispatch_P4_elder_priority,48,P4_elder_priority
6-2026-07-07-L01,6,499.23333333333335,0.092171729,P4_elder_priority,1,1.092171729,18-39,Z2,Z1,False,26.21,26.21,0.0,True,,499.23333333333335,10.0,0.0,1,5,N9RH-workday-Z2-001,2,499.23333333333335,529.9962623333333,0.0,1,W2,workday,P0_no_policy,elder_dispatch_P4_elder_priority,48,P4_elder_priority
23-2026-07-07-L01,23,545.1666666666666,0.535449148,P4_elder_priority,1,1.535449148,40-59,Z6,Z6,False,37.12,37.12,0.0,True,,545.1666666666666,13.333,0.0,1,6,N9RH-workday-Z3-001,3,545.1666666666666,590.0292636666666,481.67868733333336,2,W2,workday,P0_no_policy,elder_dispatch_P4_elder_priority,48,P4_elder_priority
19-2026-07-07-L01,19,748.7,0.462853471,P4_elder_priority,1,1.462853471,18-39,Z7,Z7,False,28.57,28.57,0.0,True,,748.7,6.0,0.0,1,7,N9RH-workday-Z7-001,2,748.7,769.989714,0.0,1,W2,workday,P0_no_policy,elder_dispatch_P4_elder_priority,48,P4_elder_priority
8-2026-07-07-L02,8,1020.0,0.192527139,P4_elder_priority,1,1.192527139,18-39,Z2,Z4,False,62.55,62.55,0.0,True,,1020.0,7.5,0.0,1,8,N9RH-workday-Z2-002,2,1020.0,1084.773931,0.0,1,W2,workday,P0_no_policy,elder_dispatch_P4_elder_priority,48,P4_elder_priority
31-2026-07-07-L02,31,1080.0,0.0041876,P4_elder_priority,1,1.0041876,40-59,Z1,Z3,False,26.52,26.52,0.0,True,,1080.0,11.0,0.0,1,9,N9RH-workday-Z1-001,3,1080.0,1112.118664,0.0,2,W2,workday,P0_no_policy,elder_dispatch_P4_elder_priority,48,P4_elder_priority
17-2026-07-07-L03,17,1139.0666666666666,0.608599334,P4_elder_priority,1,1.608599334,18-39,Z4,Z4,False,16.1,16.1,0.0,True,,1139.0666666666666,10.667,0.0,1,10,N9RH-workday-Z2-002,1,1139.0666666666666,1159.9894476666666,1084.773931,0,W2,workday,P0_no_policy,elder_dispatch_P4_elder_priority,48,P4_elder_priority
37-2026-07-07-L01,37,443.01666666666665,0.711717999,P0_first_come,0,0.711717999,40-59,Z7,Z7,False,30.94,30.94,0.0,True,,443.01666666666665,7.0,0.0,1,1,N9RH-workday-Z7-001,2,443.01666666666665,469.98906766666664,0.0,1,W0,workday,P0_no_policy,elder_dispatch_P0_first_come,49,P0_first_come
12-2026-07-07-L01,12,565.8833333333333,0.264364505,P0_first_come,0,0.264364505,18-39,Z2,Z1,False,26.21,26.21,0.0,True,,565.8833333333333,8.027,0.0,1,2,N9RH-workday-Z2-001,2,565.8833333333333,590.1219183333334,0.0,1,W0,workday,P0_no_policy,elder_dispatch_P0_first_come,49,P0_first_come
22-2026-07-07-L02,22,1134.8833333333334,0.517087945,P0_first_come,0,0.517087945,40-59,Z1,Z3,False,26.52,26.52,0.0,True,,1134.8833333333334,8.847,0.0,1,3,N9RH-workday-Z1-001,3,1134.8833333333334,1160.1976043333334,0.0,2,W0,workday,P0_no_policy,elder_dispatch_P0_first_come,49,P0_first_come
23-2026-07-07-L03,23,1200.0,0.328304556,P0_first_come,0,0.328304556,40-59,Z7,Z7,False,27.46,27.46,0.0,True,,1200.0,8.0,0.0,1,4,N9RH-workday-Z7-001,2,1200.0,1222.519646,469.98906766666664,1,W0,workday,P0_no_policy,elder_dispatch_P0_first_come,49,P0_first_come
26-2026-07-07-L03,26,1200.0,0.603595968,P0_first_come,0,0.603595968,40-59,Z9,Z9,False,23.23,23.23,0.0,True,,1200.0,16.0,0.0,1,5,N9RH-workday-Z9-001,1,1200.0,1227.66993,0.0,0,W0,workday,P0_no_policy,elder_dispatch_P0_first_come,49,P0_first_come
20-2026-07-07-L03,20,1320.0,0.866434828,P0_first_come,0,0.866434828,18-39,Z5,Z5,False,31.93,31.93,0.0,True,,1320.0,10.667,0.0,1,6,N9RH-workday-Z5-001,1,1320.0,1348.1982209999999,0.0,0,W0,workday,P0_no_policy,elder_dispatch_P0_first_come,49,P0_first_come
9-2026-07-07-L03,9,1350.0,0.086166986,P0_first_come,0,0.086166986,18-39,Z6,Z6,False,23.16,23.16,0.0,True,,1350.0,10.667,0.0,1,7,N9RH-workday-Z6-001,1,1350.0,1372.289798,0.0,0,W0,workday,P0_no_policy,elder_dispatch_P0_first_come,49,P0_first_come
9-2026-07-07-L01,9,433.35,0.948018744,P0_first_come,0,0.948018744,18-39,Z6,Z6,False,33.12,33.12,0.0,True,,433.35,9.333,0.0,1,1,N9RH-workday-Z6-001,1,433.35,469.98433200000005,0.0,0,W2,workday,P0_no_policy,elder_dispatch_P0_first_come,49,P0_first_come
7-2026-07-07-L01,7,433.5833333333333,0.694688486,P0_first_come,0,0.694688486,18-39,Z6,Z6,False,44.12,44.12,0.0,False,vehicle_wait_limit_exceeded,,20.0,20.0,,,,0,,,,,W2,workday,P0_no_policy,elder_dispatch_P0_first_come,49,P0_first_come
37-2026-07-07-L01,37,437.8833333333333,0.711717999,P0_first_come,0,0.711717999,40-59,Z7,Z7,False,30.94,30.94,0.0,True,,437.8833333333333,7.0,0.0,1,2,N9RH-workday-Z7-001,2,437.8833333333333,469.99704433333335,0.0,1,W2,workday,P0_no_policy,elder_dispatch_P0_first_come,49,P0_first_come
28-2026-07-07-L01,28,478.9166666666667,0.053240825,P0_first_come,0,0.053240825,40-59,Z6,Z9,False,72.16,72.16,0.0,True,,478.9166666666667,13.333,0.0,1,3,N9RH-workday-Z6-001,1,478.9166666666667,559.4366246666667,469.98433200000005,0,W2,workday,P0_no_policy,elder_dispatch_P0_first_come,49,P0_first_come
17-2026-07-07-L01,17,496.4166666666667,0.398893154,P0_first_come,0,0.398893154,18-39,Z6,Z6,False,25.69,25.69,0.0,False,vehicle_wait_limit_exceeded,,20.000000000000057,20.000000000000057,,,,0,,,,,W2,workday,P0_no_policy,elder_dispatch_P0_first_come,49,P0_first_come
31-2026-07-07-L01,31,537.8,0.826870351,P0_first_come,0,0.826870351,40-59,Z3,Z3,False,17.83,17.83,0.0,True,,537.8,10.0,0.0,1,4,N9RH-workday-Z3-001,1,537.8,559.999644,0.0,0,W2,workday,P0_no_policy,elder_dispatch_P0_first_come,49,P0_first_come
12-2026-07-07-L01,12,560.6833333333333,0.264364505,P0_first_come,0,0.264364505,18-39,Z2,Z1,False,26.21,26.21,0.0,True,,560.6833333333333,9.326,0.0,1,5,N9RH-workday-Z2-001,2,560.6833333333333,590.4085063333333,0.0,1,W2,workday,P0_no_policy,elder_dispatch_P0_first_come,49,P0_first_come
26-2026-07-07-L02,26,1083.4,0.749366252,P0_first_come,0,0.749366252,40-59,Z9,Z9,False,29.91,29.91,0.0,True,,1083.4,22.0,0.0,1,6,N9RH-workday-Z6-001,2,1083.4,1129.990788,559.4366246666667,1,W2,workday,P0_no_policy,elder_dispatch_P0_first_come,49,P0_first_come
17-2026-07-07-L02,17,1101.0,0.875382517,P0_first_come,0,0.875382517,18-39,Z6,Z6,False,19.88,19.88,0.0,False,vehicle_wait_limit_exceeded,,20.0,20.0,,,,0,,,,,W2,workday,P0_no_policy,elder_dispatch_P0_first_come,49,P0_first_come
