leg_id,agent_id,date,day,leg_role,activity_id,purpose,origin_zone,destination_zone,departure_time,planned_activity_start_time,earliest_feasible_departure,unconcentrated_departure_time,departure_time_concentrated,reliability_buffer_min,expected_arrival_time,actual_arrival_time,arrival_delay_minutes,on_time_arrival,activity_completed,late_but_reached,maximum_commute_time_exceeded,maximum_lateness_exceeded,completion_failure_reason,metro_origin_accessible,metro_destination_accessible,origin_feeder_mode,destination_feeder_mode,bus_metro_transfer_count,feeder_bus_time_minutes,feeder_bus_wait_minutes,feeder_bus_access_minutes,feeder_bus_in_vehicle_minutes,feeder_bus_fare_yuan,metro_main_time_minutes,origin_feeder_total_time_minutes,origin_feeder_access_minutes,origin_feeder_wait_minutes,origin_metro_walk_access_minutes,destination_feeder_total_time_minutes,destination_feeder_access_minutes,destination_feeder_wait_minutes,destination_metro_walk_access_minutes,final_attempt_departure_time,primary_mode,primary_failed,primary_failure_reason,fallback_attempted,fallback_succeeded,final_mode,itinerary_pattern,transport_succeeded,wait_minutes,failed_attempt_consumed_minutes,cumulative_wait_minutes,access_time_min,transfer_time_min,in_vehicle_time_min,total_travel_time_min,fare_yuan,fare_before_coupon_yuan,coupon_bound,coupon_redeemed,coupon_expired_after_failed_request,coupon_subsidy_yuan,final_speed_kmh,scenario_vc,weather_type_at_departure,weather_scenario,day_type,policy,experiment_condition,outdoor_exposure_minutes,heat_hazard_dose_c_min,age_vulnerability_weight,heat_risk_burden,rain_exposure_minutes,seed,priority_policy
38-2026-07-07-L02,38,2026-07-07,Tuesday,return_home,activity-38-2026-07-07-002,return_home,Z7,Z7,2026-07-07 17:30:00,,,,False,10.0,,,,,,False,False,False,,True,True,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 17:30:00,bus,False,,False,False,bus,walk-bus-walk,True,4.0,0.0,4.0,8.0,0.0,45.107,57.107,2.0,2.0,False,False,False,0.0,15.014,0.944444,normal,W0,workday,P0_no_policy,elder_dispatch_P4_elder_priority,12.0,0.0,1.3,0.0,0.0,51,P4_elder_priority
39-2026-07-07-L01,39,2026-07-07,Tuesday,outbound,activity-39-2026-07-07-001,work,Z4,Z7,2026-07-07 08:17:36.283020,2026-07-07 10:00:00,2026-07-07 08:00:00,2026-07-07 08:17:36.283020,False,10.0,2026-07-07 09:50:40.974600,2026-07-07 09:50:40.974600,0.0,True,True,False,False,False,,False,True,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 08:17:36.283020,bus,False,,False,False,bus,walk-bus-walk,True,6.4,0.0,6.4,10.0,0.0,76.678,93.078,2.0,2.0,False,False,False,0.0,14.068,1.094444,normal,W0,workday,P0_no_policy,elder_dispatch_P4_elder_priority,16.4,0.0,1.3,0.0,0.0,51,P4_elder_priority
39-2026-07-07-L02,39,2026-07-07,Tuesday,return_home,activity-39-2026-07-07-001,return_home,Z7,Z4,2026-07-07 17:30:00,,,,False,10.0,,,,,,False,False,False,,False,True,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 17:30:00,bus,False,,False,False,bus,walk-bus-walk,True,4.68,0.0,4.68,10.0,0.0,82.18,96.86,2.0,2.0,False,False,False,0.0,13.127,0.844444,normal,W0,workday,P0_no_policy,elder_dispatch_P4_elder_priority,14.68,0.0,1.3,0.0,0.0,51,P4_elder_priority
4-2026-07-07-L01,4,2026-07-07,Tuesday,outbound,activity-4-2026-07-07-003,work,Z7,Z5,2026-07-07 07:45:05.636700,2026-07-07 09:00:00,2026-07-07 07:00:00,2026-07-07 07:45:05.636700,False,5.0,2026-07-07 08:54:59.771940,2026-07-07 08:54:59.771940,0.0,True,True,False,False,False,,False,True,bus,walk,1,19.04,4.5,8.0,6.54,2.0,45.862,19.04,8.0,4.5,0.0,0.0,0.0,0.0,12.0,2026-07-07 07:45:05.636700,metro,False,,False,False,metro,walk-bus-walk-metro-walk,True,9.0,0.0,9.0,20.0,5.0,35.902,69.902,7.0,7.0,False,False,False,0.0,31.382,,normal,W0,workday,P0_no_policy,elder_dispatch_P4_elder_priority,24.5,0.0,1.0,0.0,0.0,51,P4_elder_priority
4-2026-07-07-L02,4,2026-07-07,Tuesday,between_activities,activity-4-2026-07-07-004,social_leisure,Z5,Z5,2026-07-07 19:32:53.359320,2026-07-07 20:30:00,2026-07-07 19:00:00,2026-07-07 19:32:53.359320,False,10.0,2026-07-07 20:18:59.363040,2026-07-07 20:18:59.363040,0.0,True,True,False,False,False,,True,True,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 19:32:53.359320,bus,False,,False,False,bus,walk-bus-walk,True,6.857,0.0,6.857,12.0,0.0,27.243,46.1,2.0,2.0,False,False,False,0.0,17.15,0.681373,normal,W0,workday,P0_no_policy,elder_dispatch_P4_elder_priority,18.857,0.0,1.0,0.0,0.0,51,P4_elder_priority
4-2026-07-07-L03,4,2026-07-07,Tuesday,return_home,activity-4-2026-07-07-004,return_home,Z5,Z7,2026-07-07 22:30:00,,,,False,5.0,,,,,,False,False,False,,True,True,walk,walk,0,0.0,0.0,0.0,0.0,0.0,56.562,0.0,0.0,0.0,12.0,0.0,0.0,0.0,8.0,2026-07-07 22:30:00,metro,False,,False,False,metro,walk-metro-walk,True,7.2,0.0,7.2,20.0,0.0,29.362,56.562,5.0,5.0,False,False,False,0.0,35.0,,normal,W0,workday,P0_no_policy,elder_dispatch_P4_elder_priority,20.0,0.0,1.0,0.0,0.0,51,P4_elder_priority
43-2026-07-07-L01,43,2026-07-07,Tuesday,outbound,activity-43-2026-07-07-001,visit,Z4,Z4,2026-07-07 08:09:17.798400,2026-07-07 09:00:00,2026-07-07 07:00:00,2026-07-07 08:09:17.798400,False,10.0,2026-07-07 08:50:00,2026-07-07 08:50:00,0.0,True,True,False,False,False,,False,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 08:09:17.798400,bus,False,,False,False,bus,walk-bus-walk,True,5.714,0.0,5.714,12.0,0.0,22.988,40.703,2.0,2.0,False,False,False,0.0,15.03,0.924444,normal,W0,workday,P0_no_policy,elder_dispatch_P4_elder_priority,17.714,0.0,1.3,0.0,0.0,51,P4_elder_priority
43-2026-07-07-L02,43,2026-07-07,Tuesday,between_activities,activity-43-2026-07-07-002,shopping,Z4,Z4,2026-07-07 13:14:52.695600,2026-07-07 14:00:00,2026-07-07 12:00:00,2026-07-07 13:14:52.695600,False,10.0,2026-07-07 13:50:00,2026-07-07 13:50:00,0.0,True,True,False,False,False,,False,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 13:14:52.695600,bus,False,,False,False,bus,walk-bus-walk,True,10.0,0.0,10.0,12.0,0.0,13.122,35.122,2.0,2.0,False,False,False,0.0,17.972,0.476667,normal,W0,workday,P0_no_policy,elder_dispatch_P4_elder_priority,22.0,0.0,1.3,0.0,0.0,51,P4_elder_priority
43-2026-07-07-L03,43,2026-07-07,Tuesday,return_home,activity-43-2026-07-07-002,return_home,Z4,Z4,2026-07-07 15:30:00,,,,False,10.0,,,,,,False,False,False,,True,True,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 15:30:00,bus,False,,False,False,bus,walk-bus-walk,True,10.0,0.0,10.0,12.0,0.0,16.57,38.57,2.0,2.0,False,False,False,0.0,17.972,0.476667,normal,W0,workday,P0_no_policy,elder_dispatch_P4_elder_priority,22.0,0.0,1.3,0.0,0.0,51,P4_elder_priority
46-2026-07-07-L01,46,2026-07-07,Tuesday,outbound,activity-46-2026-07-07-002,shopping,Z5,Z5,2026-07-07 12:48:46.284840,2026-07-07 13:30:00,2026-07-07 11:30:00,2026-07-07 12:48:46.284840,False,10.0,2026-07-07 13:20:00,2026-07-07 13:20:00,0.0,True,True,False,False,False,,False,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 12:48:46.284840,bus,False,,False,False,bus,walk-bus-walk,True,10.0,0.0,10.0,12.0,0.0,9.229,31.229,2.0,2.0,False,False,False,0.0,17.972,0.476667,normal,W0,workday,P0_no_policy,elder_dispatch_P4_elder_priority,22.0,0.0,1.3,0.0,0.0,51,P4_elder_priority
46-2026-07-07-L02,46,2026-07-07,Tuesday,return_home,activity-46-2026-07-07-002,return_home,Z5,Z5,2026-07-07 14:00:00,,,,False,10.0,,,,,,False,False,False,,True,True,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 14:00:00,bus,False,,False,False,bus,walk-bus-walk,True,10.0,0.0,10.0,12.0,0.0,9.229,31.229,2.0,2.0,False,False,False,0.0,17.972,0.476667,normal,W0,workday,P0_no_policy,elder_dispatch_P4_elder_priority,22.0,0.0,1.3,0.0,0.0,51,P4_elder_priority
