policy,weather_scenario,metric,seed_count,mean,std_dev,median,minimum,maximum,group
P0_first_come,W2,walking_legs,10,0.0,0.0,0.0,0.0,0.0,elder_nondigital_unassisted
P0_first_come,W2,bus_legs,10,2.2,1.47573,2.0,0.0,5.0,elder_nondigital_unassisted
P0_first_come,W2,metro_legs,10,1.2,1.686548,0.5,0.0,5.0,elder_nondigital_unassisted
P0_first_come,W2,ride_hailing_legs,10,0.0,0.0,0.0,0.0,0.0,elder_nondigital_unassisted
P0_first_come,W2,mean_total_travel_time,10,53.729058,26.557391,58.915667,0.0,86.627333,elder_nondigital_unassisted
P0_first_come,W2,total_outdoor_exposure_minutes,10,71.0373,45.697778,60.5,0.0,149.428,elder_nondigital_unassisted
P0_first_come,W2,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,0.0,elder_nondigital_unassisted
P4_elder_priority,W0,ride_hailing_requests,10,4.1,1.791957,4.5,1.0,6.0,18-39
P4_elder_priority,W0,successful_ride_hailing_requests,10,4.0,1.699673,4.5,1.0,6.0,18-39
P4_elder_priority,W0,failed_ride_hailing_requests,10,0.1,0.316228,0.0,0.0,1.0,18-39
P4_elder_priority,W0,ride_hailing_success_rate,10,0.983333,0.052705,1.0,0.833333,1.0,18-39
P4_elder_priority,W0,mean_ride_hailing_wait_minutes_per_request,10,10.559458,1.95125,9.8936,8.0,14.51765,18-39
P4_elder_priority,W0,fallback_attempts,10,0.1,0.316228,0.0,0.0,1.0,18-39
P4_elder_priority,W0,transport_unmet,10,0.0,0.0,0.0,0.0,0.0,18-39
P4_elder_priority,W0,planned_necessary_activities,10,18.0,0.0,18.0,18.0,18.0,18-39
P4_elder_priority,W0,completed_necessary_activities,10,17.5,0.527046,17.5,17.0,18.0,18-39
P4_elder_priority,W0,necessary_activity_completion_rate,10,0.972222,0.029281,0.972222,0.944444,1.0,18-39
P4_elder_priority,W0,walking_legs,10,1.5,1.080123,1.5,0.0,3.0,18-39
