seed,policy,weather_scenario,day_type,group,agent_count,ride_hailing_requests,successful_ride_hailing_requests,failed_ride_hailing_requests,ride_hailing_success_rate,mean_ride_hailing_wait_minutes_per_request,fallback_attempts,transport_unmet,planned_necessary_activities,completed_necessary_activities,necessary_activity_completion_rate,walking_legs,bus_legs,metro_legs,ride_hailing_legs,mean_total_travel_time,total_outdoor_exposure_minutes,total_heat_risk_burden
52,P0_first_come,W2,workday,elder_digital,6,0,0,0,,0.0,0,0,3,3,1.0,0,7,3,0,64.3363,204.143,0.0
52,P0_first_come,W2,workday,elder_nondigital_assisted,3,0,0,0,,0.0,0,0,1,1,1.0,0,2,0,0,47.538,30.0,0.0
52,P0_first_come,W2,workday,elder_nondigital_unassisted,4,0,0,0,,0.0,0,0,0,0,,0,1,5,0,74.0855,167.368,0.0
52,P4_elder_priority,W0,workday,18-39,20,4,4,0,1.0,14.51765,0,0,18,18,1.0,3,16,20,4,53.893442,963.632,0.0
52,P4_elder_priority,W0,workday,40-59,17,3,3,0,1.0,11.444333,0,0,16,15,0.9375,0,14,16,3,65.272273,688.716,0.0
52,P4_elder_priority,W0,workday,elder_digital,6,0,0,0,,0.0,0,0,3,3,1.0,0,9,2,0,63.929818,207.357,0.0
52,P4_elder_priority,W0,workday,elder_nondigital_assisted,3,0,0,0,,0.0,0,0,1,1,1.0,0,4,0,0,63.79975,69.714,0.0
52,P4_elder_priority,W0,workday,elder_nondigital_unassisted,4,0,0,0,,0.0,0,0,0,0,,0,4,4,0,69.34175,169.954,0.0
52,P4_elder_priority,W2,workday,18-39,20,11,11,0,1.0,10.927545,0,0,18,18,1.0,0,10,20,11,53.332171,853.058,0.0
52,P4_elder_priority,W2,workday,40-59,17,6,6,0,1.0,14.462742,0,0,16,16,1.0,0,9,16,6,66.799871,677.189,0.0
52,P4_elder_priority,W2,workday,elder_digital,6,0,0,0,,0.0,0,0,3,3,1.0,0,7,3,0,64.3363,204.143,0.0
52,P4_elder_priority,W2,workday,elder_nondigital_assisted,3,0,0,0,,0.0,0,0,1,1,1.0,0,2,0,0,47.538,30.0,0.0
52,P4_elder_priority,W2,workday,elder_nondigital_unassisted,4,0,0,0,,0.0,0,0,0,0,,0,1,5,0,74.0855,167.368,0.0
53,P0_first_come,W0,workday,18-39,20,6,5,1,0.833333,13.166667,1,0,18,17,0.944444,2,13,23,5,59.84814,987.726,0.0
53,P0_first_come,W0,workday,40-59,17,5,4,1,0.8,12.5358,1,0,17,14,0.823529,0,24,8,4,63.820111,650.019,0.0
53,P0_first_come,W0,workday,elder_digital,6,0,0,0,,0.0,0,0,1,1,1.0,0,5,0,0,61.8488,97.479,0.0
53,P0_first_come,W0,workday,elder_nondigital_assisted,4,0,0,0,,0.0,0,0,1,1,1.0,0,4,1,0,57.1322,108.571,0.0
53,P0_first_come,W0,workday,elder_nondigital_unassisted,3,0,0,0,,0.0,0,0,1,1,1.0,0,5,1,0,60.003667,85.7,0.0
53,P0_first_come,W2,workday,18-39,20,10,5,5,0.5,15.349702,5,0,18,16,0.888889,1,12,25,5,65.007047,1088.094,0.0
53,P0_first_come,W2,workday,40-59,17,8,7,1,0.875,12.334875,1,0,17,16,0.941176,0,16,11,7,62.340647,627.292,0.0
53,P0_first_come,W2,workday,elder_digital,6,0,0,0,,0.0,0,0,1,1,1.0,0,5,0,0,69.1662,97.857,0.0
53,P0_first_come,W2,workday,elder_nondigital_assisted,4,0,0,0,,0.0,0,0,1,1,1.0,0,4,1,0,59.77,108.349,0.0
53,P0_first_come,W2,workday,elder_nondigital_unassisted,3,0,0,0,,0.0,0,0,1,1,1.0,0,4,2,0,61.493667,92.7,0.0
53,P4_elder_priority,W0,workday,18-39,20,6,5,1,0.833333,13.166667,1,0,18,17,0.944444,2,13,23,5,59.84814,987.726,0.0
53,P4_elder_priority,W0,workday,40-59,17,5,4,1,0.8,12.5358,1,0,17,14,0.823529,0,24,8,4,63.820111,650.019,0.0
53,P4_elder_priority,W0,workday,elder_digital,6,0,0,0,,0.0,0,0,1,1,1.0,0,5,0,0,61.8488,97.479,0.0
53,P4_elder_priority,W0,workday,elder_nondigital_assisted,4,0,0,0,,0.0,0,0,1,1,1.0,0,4,1,0,57.1322,108.571,0.0
53,P4_elder_priority,W0,workday,elder_nondigital_unassisted,3,0,0,0,,0.0,0,0,1,1,1.0,0,5,1,0,60.003667,85.7,0.0
53,P4_elder_priority,W2,workday,18-39,20,10,5,5,0.5,15.349702,5,0,18,16,0.888889,1,12,25,5,65.007047,1088.094,0.0
53,P4_elder_priority,W2,workday,40-59,17,8,7,1,0.875,12.334875,1,0,17,16,0.941176,0,16,11,7,62.340647,627.292,0.0
53,P4_elder_priority,W2,workday,elder_digital,6,0,0,0,,0.0,0,0,1,1,1.0,0,5,0,0,69.1662,97.857,0.0
53,P4_elder_priority,W2,workday,elder_nondigital_assisted,4,0,0,0,,0.0,0,0,1,1,1.0,0,4,1,0,59.77,108.349,0.0
53,P4_elder_priority,W2,workday,elder_nondigital_unassisted,3,0,0,0,,0.0,0,0,1,1,1.0,0,4,2,0,61.493667,92.7,0.0
54,P0_first_come,W0,workday,18-39,20,3,3,0,1.0,9.778,0,0,18,17,0.944444,1,15,26,3,64.617844,1025.347,0.0
54,P0_first_come,W0,workday,40-59,17,2,2,0,1.0,10.3335,0,0,16,15,0.9375,0,19,13,2,62.772559,631.422,0.0
54,P0_first_come,W0,workday,elder_digital,6,0,0,0,,0.0,0,0,3,3,1.0,0,5,7,0,55.17625,273.405,0.0
54,P0_first_come,W0,workday,elder_nondigital_assisted,4,0,0,0,,0.0,0,0,0,0,,0,2,0,0,37.9855,39.791,0.0
54,P0_first_come,W0,workday,elder_nondigital_unassisted,3,0,0,0,,0.0,0,0,0,0,,0,6,0,0,60.028667,120.714,0.0
54,P0_first_come,W2,workday,18-39,20,8,7,1,0.875,11.208375,1,0,18,17,0.944444,0,10,25,7,66.362952,935.363,0.0
54,P0_first_come,W2,workday,40-59,17,5,5,0,1.0,13.0478,0,0,16,16,1.0,0,12,15,5,60.279,609.176,0.0
54,P0_first_come,W2,workday,elder_digital,6,0,0,0,,0.0,0,0,3,3,1.0,0,5,5,0,51.2453,211.8,0.0
54,P0_first_come,W2,workday,elder_nondigital_assisted,4,0,0,0,,0.0,0,0,0,0,,0,0,0,0,0.0,0,0
54,P0_first_come,W2,workday,elder_nondigital_unassisted,3,0,0,0,,0.0,0,0,0,0,,0,5,1,0,61.626333,140.914,0.0
54,P4_elder_priority,W0,workday,18-39,20,3,3,0,1.0,9.778,0,0,18,17,0.944444,1,15,26,3,64.617844,1025.347,0.0
54,P4_elder_priority,W0,workday,40-59,17,2,2,0,1.0,10.3335,0,0,16,15,0.9375,0,19,13,2,62.772559,631.422,0.0
54,P4_elder_priority,W0,workday,elder_digital,6,0,0,0,,0.0,0,0,3,3,1.0,0,5,7,0,55.17625,273.405,0.0
54,P4_elder_priority,W0,workday,elder_nondigital_assisted,4,0,0,0,,0.0,0,0,0,0,,0,2,0,0,37.9855,39.791,0.0
54,P4_elder_priority,W0,workday,elder_nondigital_unassisted,3,0,0,0,,0.0,0,0,0,0,,0,6,0,0,60.028667,120.714,0.0
54,P4_elder_priority,W2,workday,18-39,20,8,7,1,0.875,11.208375,1,0,18,17,0.944444,0,10,25,7,66.362952,935.363,0.0
54,P4_elder_priority,W2,workday,40-59,17,5,5,0,1.0,13.0478,0,0,16,16,1.0,0,12,15,5,60.279,609.176,0.0
54,P4_elder_priority,W2,workday,elder_digital,6,0,0,0,,0.0,0,0,3,3,1.0,0,5,5,0,51.2453,211.8,0.0
54,P4_elder_priority,W2,workday,elder_nondigital_assisted,4,0,0,0,,0.0,0,0,0,0,,0,0,0,0,0.0,0,0
54,P4_elder_priority,W2,workday,elder_nondigital_unassisted,3,0,0,0,,0.0,0,0,0,0,,0,5,1,0,61.626333,140.914,0.0
55,P0_first_come,W0,workday,18-39,20,1,1,0,1.0,10.667,0,0,18,17,0.944444,0,18,24,1,64.149953,904.363,0.0
55,P0_first_come,W0,workday,40-59,17,1,1,0,1.0,7.591,0,0,16,15,0.9375,0,18,15,1,64.356235,689.775,0.0
55,P0_first_come,W0,workday,elder_digital,6,0,0,0,,0.0,0,0,2,2,1.0,0,13,1,0,67.742,247.772,0.0
55,P0_first_come,W0,workday,elder_nondigital_assisted,6,0,0,0,,0.0,0,0,1,1,1.0,0,9,2,0,53.418273,219.415,0.0
55,P0_first_come,W0,workday,elder_nondigital_unassisted,1,0,0,0,,0.0,0,0,1,1,1.0,0,3,0,0,47.172667,61.714,0.0
55,P0_first_come,W2,workday,18-39,20,5,5,0,1.0,10.7218,0,0,18,16,0.888889,0,7,30,5,64.536024,980.348,0.0
55,P0_first_come,W2,workday,40-59,17,2,2,0,1.0,9.879,0,0,16,16,1.0,0,12,18,2,64.935531,682.493,0.0
55,P0_first_come,W2,workday,elder_digital,6,0,0,0,,0.0,0,0,2,2,1.0,0,11,3,0,69.250429,276.02,0.0
55,P0_first_come,W2,workday,elder_nondigital_assisted,6,0,0,0,,0.0,0,0,1,1,1.0,0,9,2,0,56.669545,218.625,0.0
