policy,weather_scenario,group,metric,seed_count,mean,std_dev,median,minimum,maximum
C0_no_coupon,W1,60+_nondigital_unassisted,coupon_awarded,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W1,60+_nondigital_unassisted,coupon_redeemed,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W1,60+_nondigital_unassisted,coupon_induced_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W1,60+_nondigital_unassisted,coupon_ineligible_ride_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W1,60+_nondigital_unassisted,ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W1,60+_nondigital_unassisted,successful_ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W1,60+_nondigital_unassisted,failed_ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W1,60+_nondigital_unassisted,mean_ride_hailing_wait_minutes_per_request,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W1,60+_nondigital_unassisted,fallback_attempts,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W1,60+_nondigital_unassisted,transport_unmet,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W1,60+_nondigital_unassisted,mandatory_activity_incomplete,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W1,60+_nondigital_unassisted,necessary_activity_completion_rate,10,1.0,0.0,1.0,1.0,1.0
C0_no_coupon,W1,60+_nondigital_unassisted,total_outdoor_exposure_minutes,10,211.9419,54.375734,207.2285,104.514,295.057
C0_no_coupon,W1,60+_nondigital_unassisted,total_heat_risk_burden,10,3093.470857,901.420704,3119.03735,1420.835866,4283.7275
C0_no_coupon,W2,18-39,coupon_awarded,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,18-39,coupon_redeemed,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,18-39,coupon_induced_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,18-39,coupon_ineligible_ride_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,18-39,ride_hailing_requests,10,41.4,7.183314,41.5,32.0,51.0
C0_no_coupon,W2,18-39,successful_ride_hailing_requests,10,40.6,6.51835,41.0,32.0,50.0
C0_no_coupon,W2,18-39,failed_ride_hailing_requests,10,0.8,1.032796,0.5,0.0,3.0
C0_no_coupon,W2,18-39,mean_ride_hailing_wait_minutes_per_request,10,11.451081,0.735622,11.583516,10.308971,12.506826
C0_no_coupon,W2,18-39,fallback_attempts,10,0.8,1.032796,0.5,0.0,3.0
C0_no_coupon,W2,18-39,transport_unmet,10,0.1,0.316228,0.0,0.0,1.0
C0_no_coupon,W2,18-39,mandatory_activity_incomplete,10,2.3,1.418136,2.5,0.0,5.0
C0_no_coupon,W2,18-39,necessary_activity_completion_rate,10,0.968453,0.019656,0.965753,0.930556,1.0
C0_no_coupon,W2,18-39,total_outdoor_exposure_minutes,10,3523.1638,127.997484,3507.118,3349.306,3772.804
C0_no_coupon,W2,18-39,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,40-59,coupon_awarded,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,40-59,coupon_redeemed,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,40-59,coupon_induced_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,40-59,coupon_ineligible_ride_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,40-59,ride_hailing_requests,10,20.8,5.287301,22.5,13.0,28.0
C0_no_coupon,W2,40-59,successful_ride_hailing_requests,10,20.1,4.998889,21.0,13.0,27.0
C0_no_coupon,W2,40-59,failed_ride_hailing_requests,10,0.7,0.674949,1.0,0.0,2.0
C0_no_coupon,W2,40-59,mean_ride_hailing_wait_minutes_per_request,10,11.303046,0.610218,11.318255,10.440071,12.117352
C0_no_coupon,W2,40-59,fallback_attempts,10,0.7,0.674949,1.0,0.0,2.0
C0_no_coupon,W2,40-59,transport_unmet,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,40-59,mandatory_activity_incomplete,10,2.0,1.885618,2.0,0.0,5.0
C0_no_coupon,W2,40-59,necessary_activity_completion_rate,10,0.967915,0.030255,0.968502,0.919355,1.0
C0_no_coupon,W2,40-59,total_outdoor_exposure_minutes,10,2535.0649,97.144343,2521.277,2422.51,2733.004
C0_no_coupon,W2,40-59,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,60+_digital,coupon_awarded,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,60+_digital,coupon_redeemed,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,60+_digital,coupon_induced_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,60+_digital,coupon_ineligible_ride_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,60+_digital,ride_hailing_requests,10,1.9,0.994429,2.0,1.0,4.0
C0_no_coupon,W2,60+_digital,successful_ride_hailing_requests,10,1.8,1.135292,2.0,0.0,4.0
C0_no_coupon,W2,60+_digital,failed_ride_hailing_requests,10,0.1,0.316228,0.0,0.0,1.0
C0_no_coupon,W2,60+_digital,mean_ride_hailing_wait_minutes_per_request,10,9.791667,3.844639,8.333334,7.0,20.0
C0_no_coupon,W2,60+_digital,fallback_attempts,10,0.1,0.316228,0.0,0.0,1.0
C0_no_coupon,W2,60+_digital,transport_unmet,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,60+_digital,mandatory_activity_incomplete,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,60+_digital,necessary_activity_completion_rate,10,1.0,0.0,1.0,1.0,1.0
C0_no_coupon,W2,60+_digital,total_outdoor_exposure_minutes,10,622.3484,149.53076,606.655,365.389,885.023
C0_no_coupon,W2,60+_digital,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,60+_nondigital_assisted,coupon_awarded,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,60+_nondigital_assisted,coupon_redeemed,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,60+_nondigital_assisted,coupon_induced_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,60+_nondigital_assisted,coupon_ineligible_ride_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,60+_nondigital_assisted,ride_hailing_requests,10,0.7,0.483046,1.0,0.0,1.0
C0_no_coupon,W2,60+_nondigital_assisted,successful_ride_hailing_requests,10,0.7,0.483046,1.0,0.0,1.0
C0_no_coupon,W2,60+_nondigital_assisted,failed_ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,60+_nondigital_assisted,mean_ride_hailing_wait_minutes_per_request,10,7.3333,5.415985,10.0,0.0,13.333
C0_no_coupon,W2,60+_nondigital_assisted,fallback_attempts,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,60+_nondigital_assisted,transport_unmet,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,60+_nondigital_assisted,mandatory_activity_incomplete,10,0.1,0.316228,0.0,0.0,1.0
C0_no_coupon,W2,60+_nondigital_assisted,necessary_activity_completion_rate,10,0.98,0.063246,1.0,0.8,1.0
C0_no_coupon,W2,60+_nondigital_assisted,total_outdoor_exposure_minutes,10,486.4518,115.922068,470.0015,371.847,751.88
C0_no_coupon,W2,60+_nondigital_assisted,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,60+_nondigital_unassisted,coupon_awarded,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,60+_nondigital_unassisted,coupon_redeemed,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,60+_nondigital_unassisted,coupon_induced_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,60+_nondigital_unassisted,coupon_ineligible_ride_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,60+_nondigital_unassisted,ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,60+_nondigital_unassisted,successful_ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,60+_nondigital_unassisted,failed_ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,60+_nondigital_unassisted,mean_ride_hailing_wait_minutes_per_request,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,60+_nondigital_unassisted,fallback_attempts,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,60+_nondigital_unassisted,transport_unmet,10,0.0,0.0,0.0,0.0,0.0
C0_no_coupon,W2,60+_nondigital_unassisted,mandatory_activity_incomplete,10,0.1,0.316228,0.0,0.0,1.0
C0_no_coupon,W2,60+_nondigital_unassisted,necessary_activity_completion_rate,10,0.95,0.158114,1.0,0.5,1.0
C0_no_coupon,W2,60+_nondigital_unassisted,total_outdoor_exposure_minutes,10,220.9657,61.407412,212.5515,106.514,303.071
C0_no_coupon,W2,60+_nondigital_unassisted,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,0.0
C1_public_limited,W0,18-39,coupon_awarded,10,19.1,2.233582,19.5,14.0,22.0
C1_public_limited,W0,18-39,coupon_redeemed,10,6.8,2.485514,7.5,3.0,10.0
C1_public_limited,W0,18-39,coupon_induced_requests,10,3.9,2.378141,4.0,1.0,8.0
C1_public_limited,W0,18-39,coupon_ineligible_ride_requests,10,0.0,0.0,0.0,0.0,0.0
C1_public_limited,W0,18-39,ride_hailing_requests,10,21.8,5.391351,21.5,15.0,31.0
C1_public_limited,W0,18-39,successful_ride_hailing_requests,10,21.7,5.271517,21.5,15.0,31.0
C1_public_limited,W0,18-39,failed_ride_hailing_requests,10,0.1,0.316228,0.0,0.0,1.0
C1_public_limited,W0,18-39,mean_ride_hailing_wait_minutes_per_request,10,10.788664,0.361127,10.887117,10.148176,11.262867
C1_public_limited,W0,18-39,fallback_attempts,10,0.1,0.316228,0.0,0.0,1.0
C1_public_limited,W0,18-39,transport_unmet,10,0.0,0.0,0.0,0.0,0.0
C1_public_limited,W0,18-39,mandatory_activity_incomplete,10,1.4,0.843274,1.0,0.0,3.0
C1_public_limited,W0,18-39,necessary_activity_completion_rate,10,0.980802,0.011544,0.986206,0.958904,1.0
C1_public_limited,W0,18-39,total_outdoor_exposure_minutes,10,3434.5055,147.586095,3428.115,3143.908,3654.682
C1_public_limited,W0,18-39,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,0.0
C1_public_limited,W0,40-59,coupon_awarded,10,14.6,1.646545,14.5,12.0,18.0
C1_public_limited,W0,40-59,coupon_redeemed,10,2.8,0.918937,3.0,1.0,4.0
C1_public_limited,W0,40-59,coupon_induced_requests,10,1.6,0.516398,2.0,1.0,2.0
C1_public_limited,W0,40-59,coupon_ineligible_ride_requests,10,0.0,0.0,0.0,0.0,0.0
C1_public_limited,W0,40-59,ride_hailing_requests,10,6.9,2.024846,6.0,5.0,11.0
C1_public_limited,W0,40-59,successful_ride_hailing_requests,10,6.8,2.097618,6.0,5.0,11.0
C1_public_limited,W0,40-59,failed_ride_hailing_requests,10,0.1,0.316228,0.0,0.0,1.0
