policy,baseline_policy,weather_scenario,metric,baseline_mean,policy_mean,absolute_change,percent_change,percent_change_defined,undefined_reason
C2_elder_limited,C0_no_coupon,W2,coupon_subsidy_yuan,0.0,25.995,25.995,,False,baseline_zero
C2_elder_limited,C0_no_coupon,W2,ride_hailing_requests,64.8,67.8,3.0,4.62963,True,
C2_elder_limited,C0_no_coupon,W2,successful_ride_hailing_requests,63.2,66.0,2.8,4.43038,True,
C2_elder_limited,C0_no_coupon,W2,ride_hailing_failed,1.6,1.8,0.2,12.5,True,
C2_elder_limited,C0_no_coupon,W2,mean_ride_hailing_wait_minutes_per_request,11.377154,11.391506,0.014352,0.126148,True,
C2_elder_limited,C0_no_coupon,W2,fallback_attempts,1.6,1.8,0.2,12.5,True,
C2_elder_limited,C0_no_coupon,W2,fallback_succeeded,1.5,1.7,0.2,13.333333,True,
C2_elder_limited,C0_no_coupon,W2,transport_unmet,0.1,0.1,0.0,0.0,True,
C2_elder_limited,C0_no_coupon,W2,mandatory_activity_incomplete,4.5,4.6,0.1,2.222222,True,
C2_elder_limited,C0_no_coupon,W2,activity_completion_rate,0.935187,0.933783,-0.001404,-0.15013,True,
C2_elder_limited,C0_no_coupon,W2,necessary_activity_completion_rate,0.969392,0.968726,-0.000666,-0.068703,True,
C2_elder_limited,C0_no_coupon,W2,walking_mode_share,0.006953,0.006953,0.0,0.0,True,
C2_elder_limited,C0_no_coupon,W2,bus_mode_share,0.398869,0.391905,-0.006964,-1.745937,True,
C2_elder_limited,C0_no_coupon,W2,metro_mode_share,0.425072,0.424552,-0.00052,-0.122332,True,
C2_elder_limited,C0_no_coupon,W2,ride_hailing_mode_share,0.169107,0.176592,0.007485,4.426192,True,
C2_elder_limited,C0_no_coupon,W2,mean_total_travel_time,64.388,64.2069,-0.1811,-0.281264,True,
C2_elder_limited,C0_no_coupon,W2,mean_road_speed_kmh,17.3341,17.4907,0.1566,0.903422,True,
C2_elder_limited,C0_no_coupon,W2,total_outdoor_exposure_minutes,7387.9946,7370.9513,-17.0433,-0.230689,True,
C2_elder_limited,C0_no_coupon,W2,total_heat_risk_burden,0.0,0.0,0.0,,False,baseline_zero
C3_mixed,C0_no_coupon,W0,coupon_reached,0.0,195.6,195.6,,False,baseline_zero
C3_mixed,C0_no_coupon,W0,coupon_participated,0.0,128.6,128.6,,False,baseline_zero
C3_mixed,C0_no_coupon,W0,coupon_awarded,0.0,40.0,40.0,,False,baseline_zero
C3_mixed,C0_no_coupon,W0,coupon_redeemed,0.0,7.8,7.8,,False,baseline_zero
C3_mixed,C0_no_coupon,W0,coupon_induced_requests,0.0,5.0,5.0,,False,baseline_zero
C3_mixed,C0_no_coupon,W0,coupon_ineligible_ride_requests,0.0,0.0,0.0,,False,baseline_zero
C3_mixed,C0_no_coupon,W0,coupon_subsidy_yuan,0.0,51.136,51.136,,False,baseline_zero
C3_mixed,C0_no_coupon,W0,ride_hailing_requests,24.7,29.7,5.0,20.242915,True,
C3_mixed,C0_no_coupon,W0,successful_ride_hailing_requests,24.7,29.5,4.8,19.433198,True,
C3_mixed,C0_no_coupon,W0,ride_hailing_failed,0.0,0.2,0.2,,False,baseline_zero
C3_mixed,C0_no_coupon,W0,mean_ride_hailing_wait_minutes_per_request,10.754605,10.580369,-0.174236,-1.620106,True,
C3_mixed,C0_no_coupon,W0,fallback_attempts,0.0,0.2,0.2,,False,baseline_zero
C3_mixed,C0_no_coupon,W0,fallback_succeeded,0.0,0.2,0.2,,False,baseline_zero
C3_mixed,C0_no_coupon,W0,transport_unmet,0.0,0.0,0.0,,False,baseline_zero
C3_mixed,C0_no_coupon,W0,mandatory_activity_incomplete,3.3,3.3,0.0,0.0,True,
C3_mixed,C0_no_coupon,W0,activity_completion_rate,0.981786,0.981805,1.9e-05,0.001935,True,
C3_mixed,C0_no_coupon,W0,necessary_activity_completion_rate,0.977543,0.977529,-1.4e-05,-0.001432,True,
C3_mixed,C0_no_coupon,W0,walking_mode_share,0.013682,0.013682,0.0,0.0,True,
C3_mixed,C0_no_coupon,W0,bus_mode_share,0.570003,0.559145,-0.010858,-1.904902,True,
C3_mixed,C0_no_coupon,W0,metro_mode_share,0.353858,0.352577,-0.001281,-0.36201,True,
C3_mixed,C0_no_coupon,W0,ride_hailing_mode_share,0.062457,0.074596,0.012139,19.435772,True,
C3_mixed,C0_no_coupon,W0,mean_total_travel_time,62.4603,62.1334,-0.3269,-0.523372,True,
C3_mixed,C0_no_coupon,W0,mean_road_speed_kmh,17.4381,17.6942,0.2561,1.468623,True,
C3_mixed,C0_no_coupon,W0,total_outdoor_exposure_minutes,7348.7754,7305.6962,-43.0792,-0.586209,True,
C3_mixed,C0_no_coupon,W0,total_heat_risk_burden,0.0,0.0,0.0,,False,baseline_zero
C3_mixed,C0_no_coupon,W1,coupon_reached,0.0,195.6,195.6,,False,baseline_zero
C3_mixed,C0_no_coupon,W1,coupon_participated,0.0,128.6,128.6,,False,baseline_zero
C3_mixed,C0_no_coupon,W1,coupon_awarded,0.0,40.0,40.0,,False,baseline_zero
C3_mixed,C0_no_coupon,W1,coupon_redeemed,0.0,9.6,9.6,,False,baseline_zero
C3_mixed,C0_no_coupon,W1,coupon_induced_requests,0.0,5.9,5.9,,False,baseline_zero
C3_mixed,C0_no_coupon,W1,coupon_ineligible_ride_requests,0.0,0.0,0.0,,False,baseline_zero
C3_mixed,C0_no_coupon,W1,coupon_subsidy_yuan,0.0,59.445,59.445,,False,baseline_zero
C3_mixed,C0_no_coupon,W1,ride_hailing_requests,30.6,36.5,5.9,19.281046,True,
C3_mixed,C0_no_coupon,W1,successful_ride_hailing_requests,30.6,36.3,5.7,18.627451,True,
C3_mixed,C0_no_coupon,W1,ride_hailing_failed,0.0,0.2,0.2,,False,baseline_zero
C3_mixed,C0_no_coupon,W1,mean_ride_hailing_wait_minutes_per_request,10.512029,10.340431,-0.171598,-1.632397,True,
