policy,weather_scenario,group,metric,mean,ci95_half_width,seed_count
C2_elder_limited,W1,60+_nondigital_assisted,failed_ride_hailing_requests,0.000000,0.000000,10
C2_elder_limited,W1,60+_nondigital_assisted,coupon_redeemed,0.500000,0.377000,10
C2_elder_limited,W1,60+_nondigital_assisted,total_heat_risk_burden,6574.222070,1217.737494,10
C2_elder_limited,W1,60+_nondigital_unassisted,necessary_activity_completion_rate,1.000000,0.000000,10
C2_elder_limited,W1,60+_nondigital_unassisted,ride_hailing_requests,0.000000,0.000000,10
C2_elder_limited,W1,60+_nondigital_unassisted,failed_ride_hailing_requests,0.000000,0.000000,10
C2_elder_limited,W1,60+_nondigital_unassisted,coupon_redeemed,0.000000,0.000000,10
C2_elder_limited,W1,60+_nondigital_unassisted,total_heat_risk_burden,3093.470857,644.792726,10
C2_elder_limited,W2,18-39,necessary_activity_completion_rate,0.968453,0.014060,10
C2_elder_limited,W2,18-39,ride_hailing_requests,38.100000,4.517083,10
C2_elder_limited,W2,18-39,failed_ride_hailing_requests,0.700000,0.757761,10
C2_elder_limited,W2,18-39,coupon_redeemed,0.000000,0.000000,10
C2_elder_limited,W2,18-39,total_heat_risk_burden,0.000000,0.000000,10
C2_elder_limited,W2,40-59,necessary_activity_completion_rate,0.964663,0.022840,10
C2_elder_limited,W2,40-59,ride_hailing_requests,18.000000,3.034791,10
C2_elder_limited,W2,40-59,failed_ride_hailing_requests,0.500000,0.377000,10
C2_elder_limited,W2,40-59,coupon_redeemed,0.000000,0.000000,10
C2_elder_limited,W2,40-59,total_heat_risk_burden,0.000000,0.000000,10
C2_elder_limited,W2,60+_digital,necessary_activity_completion_rate,1.000000,0.000000,10
C2_elder_limited,W2,60+_digital,ride_hailing_requests,0.800000,0.452400,10
C2_elder_limited,W2,60+_digital,failed_ride_hailing_requests,0.000000,0.000000,10
C2_elder_limited,W2,60+_digital,coupon_redeemed,0.800000,0.452400,10
C2_elder_limited,W2,60+_digital,total_heat_risk_burden,0.000000,0.000000,10
