leg_id,agent_id,date,day,leg_role,activity_id,purpose,origin_zone,destination_zone,departure_time,planned_activity_start_time,earliest_feasible_departure,reliability_buffer_min,expected_arrival_time,actual_arrival_time,arrival_delay_minutes,on_time_arrival,activity_completed,metro_origin_accessible,metro_destination_accessible,origin_feeder_mode,destination_feeder_mode,bus_metro_transfer_count,feeder_bus_time_minutes,feeder_bus_wait_minutes,feeder_bus_access_minutes,feeder_bus_in_vehicle_minutes,feeder_bus_fare_yuan,metro_main_time_minutes,origin_feeder_total_time_minutes,origin_feeder_access_minutes,origin_feeder_wait_minutes,destination_feeder_total_time_minutes,destination_feeder_access_minutes,destination_feeder_wait_minutes,final_attempt_departure_time,primary_mode,primary_failed,primary_failure_reason,fallback_attempted,fallback_succeeded,final_mode,itinerary_pattern,transport_succeeded,wait_minutes,failed_attempt_consumed_minutes,cumulative_wait_minutes,access_time_min,transfer_time_min,in_vehicle_time_min,total_travel_time_min,fare_yuan,final_speed_kmh,scenario_vc,weather_type_at_departure,weather_scenario,day_type,policy,outdoor_exposure_minutes,heat_hazard_dose_c_min,age_vulnerability_weight,heat_risk_burden,rain_exposure_minutes
5-2026-07-11-L02,5,2026-07-11,Saturday,between_activities,activity-5-2026-07-11-007,shopping,Z4,Z4,2026-07-11 17:45:40.670100,2026-07-11 18:30:00,2026-07-11 17:00:00,10.0,2026-07-11 18:20:00,2026-07-11 18:20:00,0.0,True,True,False,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-11 17:45:40.670100,bus,False,,False,False,bus,walk-bus-walk,True,5.714,0.0,5.714,12.0,0.0,16.608,34.322,2.0,15.014,0.944444,extreme_heat,W1,rest_day,P0_no_policy,17.714,188.854,1.0,188.854,0.0
5-2026-07-11-L03,5,2026-07-11,Saturday,return_home,activity-5-2026-07-11-007,return_home,Z4,Z4,2026-07-11 20:00:00,,,8.0,,,,,,False,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-11 20:00:00,ride_hailing,False,,False,False,ride_hailing,walk-ride_hailing-walk,True,10.667,0.0,10.667,2.0,0.0,11.545,24.212,23.04,32.992,0.313889,normal,W1,rest_day,P0_no_policy,10.667,64.002,1.0,64.002,0.0
6-2026-07-11-L01,6,2026-07-11,Saturday,outbound,activity-6-2026-07-11-005,out_of_home_family_activity,Z6,Z6,2026-07-11 15:32:45.966960,2026-07-11 16:30:00,2026-07-11 14:30:00,10.0,2026-07-11 16:20:00,2026-07-11 16:20:00,0.0,True,True,True,True,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-11 15:32:45.966960,bus,False,,False,False,bus,walk-bus-walk,True,10.0,0.0,10.0,12.0,0.0,25.234,47.234,2.0,17.972,0.476667,extreme_heat,W1,rest_day,P0_no_policy,22.0,316.0,1.0,316.0,0.0
6-2026-07-11-L02,6,2026-07-11,Saturday,return_home,activity-6-2026-07-11-005,return_home,Z6,Z6,2026-07-11 18:30:00,,,10.0,,,,,,True,True,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-11 18:30:00,bus,False,,False,False,bus,walk-bus-walk,True,5.714,0.0,5.714,12.0,0.0,30.014,47.728,2.0,15.11,0.945,normal,W1,rest_day,P0_no_policy,17.714,153.426,1.0,153.426,0.0
7-2026-07-11-L01,7,2026-07-11,Saturday,outbound,activity-7-2026-07-11-007,social_leisure,Z1,Z2,2026-07-11 08:34:58.318320,2026-07-11 09:30:00,2026-07-11 07:30:00,10.0,2026-07-11 09:20:00,2026-07-11 09:20:00,0.0,True,True,False,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-11 08:34:58.318320,bus,False,,False,False,bus,walk-bus-walk,True,4.0,0.0,4.0,8.0,0.0,33.028,45.028,2.0,15.03,0.924444,normal,W1,rest_day,P0_no_policy,12.0,64.0,1.0,64.0,0.0
7-2026-07-11-L02,7,2026-07-11,Saturday,between_activities,activity-7-2026-07-11-008,social_leisure,Z2,Z3,2026-07-11 13:39:19.920840,2026-07-11 15:00:00,2026-07-11 13:00:00,10.0,2026-07-11 14:50:00,2026-07-11 14:50:00,0.0,True,True,False,True,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-11 13:39:19.920840,bus,False,,False,False,bus,walk-bus-walk,True,7.0,0.0,7.0,8.0,0.0,55.668,70.668,2.0,17.972,0.476667,extreme_heat,W1,rest_day,P0_no_policy,15.0,229.0,1.0,229.0,0.0
7-2026-07-11-L03,7,2026-07-11,Saturday,return_home,activity-7-2026-07-11-008,return_home,Z3,Z1,2026-07-11 21:00:00,,,10.0,,,,,,False,True,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-11 21:00:00,bus,False,,False,False,bus,walk-bus-walk,True,11.0,0.0,11.0,8.0,0.0,28.009,47.009,2.0,17.996,0.313333,normal,W1,rest_day,P0_no_policy,19.0,83.5,1.0,83.5,0.0
8-2026-07-11-L01,8,2026-07-11,Saturday,outbound,activity-8-2026-07-11-007,social_leisure,Z6,Z6,2026-07-11 09:18:00.874620,2026-07-11 10:30:00,2026-07-11 08:30:00,10.0,2026-07-11 10:20:00,2026-07-11 10:20:00,0.0,True,True,False,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-11 09:18:00.874620,bus,False,,False,False,bus,walk-bus-walk,True,6.857,0.0,6.857,12.0,0.0,43.128,61.985,2.0,15.185,0.684444,normal,W1,rest_day,P0_no_policy,18.857,125.999,1.0,125.999,0.0
8-2026-07-11-L02,8,2026-07-11,Saturday,return_home,activity-8-2026-07-11-007,return_home,Z6,Z6,2026-07-11 22:30:00,,,10.0,,,,,,False,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-11 22:30:00,bus,False,,False,False,bus,walk-bus-walk,True,15.714,0.0,15.714,12.0,0.0,36.392,64.106,2.0,17.996,0.313333,normal,W1,rest_day,P0_no_policy,27.714,78.092,1.0,78.092,0.0
9-2026-07-11-L01,9,2026-07-11,Saturday,outbound,activity-9-2026-07-11-008,shopping,Z7,Z7,2026-07-11 11:18:40.752240,2026-07-11 12:00:00,2026-07-11 10:00:00,10.0,2026-07-11 11:50:00,2026-07-11 11:50:00,0.0,True,True,False,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-11 11:18:40.752240,bus,False,,False,False,bus,walk-bus-walk,True,7.0,0.0,7.0,8.0,0.0,16.321,31.321,2.0,17.972,0.476667,extreme_heat,W1,rest_day,P0_no_policy,15.0,154.0,1.0,154.0,0.0
9-2026-07-11-L02,9,2026-07-11,Saturday,between_activities,activity-9-2026-07-11-009,shopping,Z7,Z7,2026-07-11 13:44:25.408680,2026-07-11 14:30:00,2026-07-11 13:00:00,10.0,2026-07-11 14:20:00,2026-07-11 14:20:00,0.0,True,True,False,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-11 13:44:25.408680,bus,False,,False,False,bus,walk-bus-walk,True,7.0,0.0,7.0,8.0,0.0,20.577,35.577,2.0,17.972,0.476667,extreme_heat,W1,rest_day,P0_no_policy,15.0,229.0,1.0,229.0,0.0
9-2026-07-11-L03,9,2026-07-11,Saturday,between_activities,activity-9-2026-07-11-010,out_of_home_family_activity,Z7,Z7,2026-07-11 19:07:42.900000,2026-07-11 20:00:00,2026-07-11 18:00:00,5.0,2026-07-11 19:55:00,2026-07-11 19:55:00,0.0,True,True,True,True,walk,walk,0,0.0,0.0,0.0,0.0,0.0,47.285,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-11 19:07:42.900000,metro,False,,False,False,metro,walk-metro-walk,True,3.2,0.0,3.2,16.0,0.0,28.085,47.285,5.0,35.0,,normal,W1,rest_day,P0_no_policy,19.2,145.6,1.0,145.6,0.0
9-2026-07-11-L04,9,2026-07-11,Saturday,return_home,activity-9-2026-07-11-010,return_home,Z7,Z7,2026-07-11 22:00:00,,,10.0,,,,,,False,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-11 22:00:00,bus,False,,False,False,bus,walk-bus-walk,True,11.0,0.0,11.0,8.0,0.0,42.001,61.001,2.0,17.996,0.313333,normal,W1,rest_day,P0_no_policy,19.0,64.0,1.0,64.0,0.0
1-2026-07-07-L01,1,2026-07-07,Tuesday,outbound,activity-1-2026-07-07-002,work,Z3,Z1,2026-07-07 08:16:42.811560,2026-07-07 09:30:00,2026-07-07 07:30:00,5.0,2026-07-07 09:25:00,2026-07-07 09:25:00,0.0,True,True,False,False,bus,bus,2,40.694,8.0,16.0,16.694,4.0,17.592,20.347,8.0,4.0,20.347,8.0,4.0,2026-07-07 08:16:42.811560,metro,False,,False,False,metro,walk-bus-walk-metro-walk-bus-walk,True,12.5,0.0,12.5,16.0,10.0,29.786,68.286,8.0,22.031,,heavy_rain,W2,workday,P0_no_policy,28.5,0.0,1.0,0.0,28.5
