weather_scenario,day_type,policy,agent_id,activity_id,activity_purpose,is_mandatory,origin_zone,destination_zone,final_status,weather_cancelled,transport_unmet,completed,transport_succeeded,activity_completed,late_but_reached,mandatory_activity_incomplete,completion_failure_reason,actual_arrival_time,arrival_delay_minutes,on_time_arrival
W2,workday,P0_no_policy,43,activity-43-2026-07-07-004,out_of_home_family_activity,False,Z1,Z3,completed,False,False,True,True,True,False,False,,2026-07-07 19:24:28.112580,0.0,True
W2,workday,P0_no_policy,44,activity-44-2026-07-07-002,work,True,Z5,Z1,reached_but_activity_incomplete,False,False,False,True,False,False,True,maximum_commute_time_exceeded,2026-07-07 09:00:50.190540,0.837,True
W2,workday,P0_no_policy,45,activity-45-2026-07-07-002,work,True,Z7,Z1,completed,False,False,True,True,True,False,False,,2026-07-07 10:24:11.444400,0.0,True
W2,workday,P0_no_policy,46,activity-46-2026-07-07-002,work,True,Z1,Z7,completed,False,False,True,True,True,False,False,,2026-07-07 10:25:00,0.0,True
W2,workday,P0_no_policy,47,activity-47-2026-07-07-003,work,True,Z3,Z6,completed,False,False,True,True,True,False,False,,2026-07-07 08:56:15.146820,0.0,True
W2,workday,P0_no_policy,47,activity-47-2026-07-07-004,visit,False,Z6,Z8,reached_but_activity_incomplete,False,False,False,True,False,True,False,maximum_commute_time_exceeded,2026-07-07 19:50:26.150820,20.436,False
W2,workday,P0_no_policy,48,activity-48-2026-07-07-003,work,True,Z7,Z2,completed,False,False,True,True,True,False,False,,2026-07-07 09:55:21.990720,0.0,True
W2,workday,P0_no_policy,49,activity-49-2026-07-07-002,work,True,Z3,Z1,completed,False,False,True,True,True,False,False,,2026-07-07 07:52:23.249940,0.0,True
W2,workday,P0_no_policy,50,activity-50-2026-07-07-002,work,True,Z9,Z9,completed,False,False,True,True,True,False,False,,2026-07-07 08:17:11.726100,0.0,True
W2,workday,P0_no_policy,51,activity-51-2026-07-07-002,work,True,Z2,Z1,completed,False,False,True,True,True,False,False,,2026-07-07 08:55:00,0.0,True
W2,workday,P0_no_policy,52,activity-52-2026-07-07-002,work,True,Z6,Z3,completed,False,False,True,True,True,False,False,,2026-07-07 10:24:00.849000,0.0,True
W2,workday,P0_no_policy,53,activity-53-2026-07-07-003,work,True,Z2,Z7,completed,False,False,True,True,True,False,False,,2026-07-07 09:55:09.839700,0.0,True
W2,workday,P0_no_policy,54,activity-54-2026-07-07-002,work,True,Z6,Z6,completed,False,False,True,True,True,False,False,,2026-07-07 09:23:46.912080,0.0,True
W2,workday,P0_no_policy,54,activity-54-2026-07-07-003,shopping,False,Z6,Z6,completed,False,False,True,True,True,False,False,,2026-07-07 19:22:34.780800,0.0,True
W2,workday,P0_no_policy,55,activity-55-2026-07-07-002,work,True,Z1,Z2,completed,False,False,True,True,True,False,False,,2026-07-07 08:55:00,0.0,True
W2,workday,P0_no_policy,56,activity-56-2026-07-07-003,work,True,Z2,Z1,completed,False,False,True,True,True,False,False,,2026-07-07 07:51:00.263700,0.0,True
W2,workday,P0_no_policy,57,activity-57-2026-07-07-003,work,True,Z2,Z7,completed,False,False,True,True,True,False,False,,2026-07-07 09:26:27.702900,0.0,True
W2,workday,P0_no_policy,58,activity-58-2026-07-07-002,medical,True,Z7,Z1,completed,False,False,True,True,True,False,False,,2026-07-07 10:25:00,0.0,True
W2,workday,P0_no_policy,59,activity-59-2026-07-07-003,social_leisure,False,Z5,Z5,completed,False,False,True,True,True,False,False,,2026-07-07 10:22:47.361420,0.0,True
W2,workday,P0_no_policy,59,activity-59-2026-07-07-004,social_leisure,False,Z5,Z5,completed,False,False,True,True,True,False,False,,2026-07-07 18:31:19.610700,0.0,True
W2,workday,P0_no_policy,60,activity-60-2026-07-07-003,work,True,Z7,Z7,completed,False,False,True,True,True,False,False,,2026-07-07 08:55:00,0.0,True
W2,workday,P0_no_policy,61,activity-61-2026-07-07-002,work,True,Z5,Z1,reached_but_activity_incomplete,False,False,False,True,False,True,True,maximum_commute_time_exceeded,2026-07-07 10:13:41.563080,13.693,False
W2,workday,P0_no_policy,62,activity-62-2026-07-07-002,work,True,Z4,Z7,completed,False,False,True,True,True,False,False,,2026-07-07 10:25:05.743500,0.0,True
W2,workday,P0_no_policy,62,activity-62-2026-07-07-003,social_leisure,False,Z7,Z7,completed,False,False,True,True,True,False,False,,2026-07-07 20:28:13.633320,0.0,True
W2,workday,P0_no_policy,63,activity-63-2026-07-07-002,work,True,Z2,Z1,completed,False,False,True,True,True,False,False,,2026-07-07 10:22:21.876240,0.0,True
W2,workday,P0_no_policy,64,activity-64-2026-07-07-002,work,True,Z4,Z7,completed,False,False,True,True,True,False,False,,2026-07-07 08:01:01.074480,1.018,True
W2,workday,P0_no_policy,64,activity-64-2026-07-07-003,medical,True,Z7,Z4,completed,False,False,True,True,True,False,False,,2026-07-07 18:26:04.047060,0.0,True
W2,workday,P0_no_policy,64,activity-64-2026-07-07-004,shopping,False,Z4,Z4,completed,False,False,True,True,True,False,False,,2026-07-07 21:22:00.933840,0.0,True
W2,workday,P0_no_policy,65,activity-65-2026-07-07-002,work,True,Z1,Z3,completed,False,False,True,True,True,True,False,,2026-07-07 10:13:26.049000,13.434,False
W2,workday,P0_no_policy,66,activity-66-2026-07-07-003,work,True,Z5,Z7,completed,False,False,True,True,True,False,False,,2026-07-07 09:25:00,0.0,True
W2,workday,P0_no_policy,66,activity-66-2026-07-07-004,social_leisure,False,Z7,Z7,completed,False,False,True,True,True,False,False,,2026-07-07 21:25:00,0.0,True
W2,workday,P0_no_policy,67,activity-67-2026-07-07-003,work,True,Z7,Z7,completed,False,False,True,True,True,False,False,,2026-07-07 08:55:00,0.0,True
W2,workday,P0_no_policy,68,activity-68-2026-07-07-002,out_of_home_family_activity,False,Z6,Z6,completed,False,False,True,True,True,False,False,,2026-07-07 08:53:03.729300,0.0,True
W2,workday,P0_no_policy,68,activity-68-2026-07-07-003,out_of_home_family_activity,False,Z6,Z9,completed,False,False,True,True,True,False,False,,2026-07-07 11:20:04.994700,0.0,True
W2,workday,P0_no_policy,69,activity-69-2026-07-07-002,work,True,Z9,Z9,completed,False,False,True,True,True,False,False,,2026-07-07 07:03:34.246800,0.0,True
W2,workday,P0_no_policy,69,activity-69-2026-07-07-003,visit,False,Z9,Z9,completed,False,False,True,True,True,False,False,,2026-07-07 17:48:37.362300,0.0,True
W2,workday,P0_no_policy,70,activity-70-2026-07-07-002,work,True,Z6,Z6,completed,False,False,True,True,True,False,False,,2026-07-07 10:22:39.413160,0.0,True
W2,workday,P0_no_policy,71,activity-71-2026-07-07-002,work,True,Z5,Z7,completed,False,False,True,True,True,False,False,,2026-07-07 07:52:00,0.0,True
W2,workday,P0_no_policy,71,activity-71-2026-07-07-003,social_leisure,False,Z7,Z5,completed,False,False,True,True,True,False,False,,2026-07-07 18:24:12.045120,0.0,True
W2,workday,P0_no_policy,72,activity-72-2026-07-07-003,work,True,Z8,Z1,completed,False,False,True,True,True,False,False,,2026-07-07 09:25:00,0.0,True
W2,workday,P0_no_policy,73,activity-73-2026-07-07-002,work,True,Z4,Z7,completed,False,False,True,True,True,False,False,,2026-07-07 07:02:10.245960,0.0,True
W2,workday,P0_no_policy,74,activity-74-2026-07-07-003,work,True,Z7,Z1,completed,False,False,True,True,True,False,False,,2026-07-07 08:55:00,0.0,True
W2,workday,P0_no_policy,75,activity-75-2026-07-07-002,work,True,Z4,Z7,completed,False,False,True,True,True,False,False,,2026-07-07 08:55:46.053180,0.0,True
W2,workday,P0_no_policy,76,activity-76-2026-07-07-003,work,True,Z8,Z8,completed,False,False,True,True,True,False,False,,2026-07-07 09:22:39.133080,0.0,True
