source_decision_sequence,source_agent_id,source_leg_id,target_decision_sequence,target_agent_id,target_leg_id,shared_state_key,mechanism,source_flow_contribution_pcu_per_hour,target_probability_delta
10,39,39-2026-07-07-L01,24,142,142-2026-07-07-L01,nine_zone_representative|all|2026-07-07T06:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.015268432, ""metro"": 0.0, ""ride_hailing"": 0.015268432}"
12,85,85-2026-07-07-L01,24,142,142-2026-07-07-L01,nine_zone_representative|all|2026-07-07T06:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.015268432, ""metro"": 0.0, ""ride_hailing"": 0.015268432}"
21,35,35-2026-07-07-L01,24,142,142-2026-07-07-L01,nine_zone_representative|all|2026-07-07T06:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.015268432, ""metro"": 0.0, ""ride_hailing"": 0.015268432}"
10,39,39-2026-07-07-L01,25,71,71-2026-07-07-L01,nine_zone_representative|all|2026-07-07T06:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.002676646, ""metro"": 0.003143983, ""ride_hailing"": -0.000467337}"
12,85,85-2026-07-07-L01,25,71,71-2026-07-07-L01,nine_zone_representative|all|2026-07-07T06:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.002676646, ""metro"": 0.003143983, ""ride_hailing"": -0.000467337}"
21,35,35-2026-07-07-L01,25,71,71-2026-07-07-L01,nine_zone_representative|all|2026-07-07T06:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.002676646, ""metro"": 0.003143983, ""ride_hailing"": -0.000467337}"
10,39,39-2026-07-07-L01,26,38,38-2026-07-07-L01,nine_zone_representative|all|2026-07-07T06:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.01120649, ""metro"": 0.009232353, ""ride_hailing"": 0.001974137}"
12,85,85-2026-07-07-L01,26,38,38-2026-07-07-L01,nine_zone_representative|all|2026-07-07T06:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.01120649, ""metro"": 0.009232353, ""ride_hailing"": 0.001974137}"
21,35,35-2026-07-07-L01,26,38,38-2026-07-07-L01,nine_zone_representative|all|2026-07-07T06:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.01120649, ""metro"": 0.009232353, ""ride_hailing"": 0.001974137}"
10,39,39-2026-07-07-L01,27,56,56-2026-07-07-L01,nine_zone_representative|all|2026-07-07T06:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.011221008, ""metro"": 0.008615585, ""ride_hailing"": 0.002605423}"
12,85,85-2026-07-07-L01,27,56,56-2026-07-07-L01,nine_zone_representative|all|2026-07-07T06:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.011221008, ""metro"": 0.008615585, ""ride_hailing"": 0.002605423}"
21,35,35-2026-07-07-L01,27,56,56-2026-07-07-L01,nine_zone_representative|all|2026-07-07T06:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.011221008, ""metro"": 0.008615585, ""ride_hailing"": 0.002605423}"
10,39,39-2026-07-07-L01,28,94,94-2026-07-07-L01,nine_zone_representative|all|2026-07-07T06:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.011412396, ""metro"": 0.012595901, ""ride_hailing"": -0.001183505}"
12,85,85-2026-07-07-L01,28,94,94-2026-07-07-L01,nine_zone_representative|all|2026-07-07T06:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.011412396, ""metro"": 0.012595901, ""ride_hailing"": -0.001183505}"
21,35,35-2026-07-07-L01,28,94,94-2026-07-07-L01,nine_zone_representative|all|2026-07-07T06:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.011412396, ""metro"": 0.012595901, ""ride_hailing"": -0.001183505}"
39,137,137-2026-07-07-L01,40,139,139-2026-07-07-L01,nine_zone_representative|all|2026-07-07T07:00,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.006225385, ""metro"": 0.002891478, ""ride_hailing"": 0.003333907}"
39,137,137-2026-07-07-L01,41,37,37-2026-07-07-L01,nine_zone_representative|all|2026-07-07T07:00,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.003921187, ""metro"": 0.004703091, ""ride_hailing"": -0.000781904}"
39,137,137-2026-07-07-L01,42,49,49-2026-07-07-L01,nine_zone_representative|all|2026-07-07T07:00,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.005998501, ""metro"": 0.004058471, ""ride_hailing"": 0.00194003}"
39,137,137-2026-07-07-L01,43,117,117-2026-07-07-L01,nine_zone_representative|all|2026-07-07T07:00,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.011446712, ""metro"": 0.007527579, ""ride_hailing"": 0.003919133}"
42,49,49-2026-07-07-L01,43,117,117-2026-07-07-L01,nine_zone_representative|all|2026-07-07T07:00,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.011446712, ""metro"": 0.007527579, ""ride_hailing"": 0.003919133}"
39,137,137-2026-07-07-L01,44,104,104-2026-07-07-L01,nine_zone_representative|all|2026-07-07T07:00,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.000847783, ""bus"": -0.005835558, ""metro"": -7.623e-06, ""ride_hailing"": 0.004995397}"
42,49,49-2026-07-07-L01,44,104,104-2026-07-07-L01,nine_zone_representative|all|2026-07-07T07:00,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.000847783, ""bus"": -0.005835558, ""metro"": -7.623e-06, ""ride_hailing"": 0.004995397}"
46,121,121-2026-07-07-L01,47,196,196-2026-07-07-L01,nine_zone_representative|all|2026-07-07T07:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.001126756, ""metro"": 0.0, ""ride_hailing"": 0.001126756}"
46,121,121-2026-07-07-L01,48,81,81-2026-07-07-L01,nine_zone_representative|all|2026-07-07T07:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.007546882, ""metro"": 0.0, ""ride_hailing"": 0.007546882}"
46,121,121-2026-07-07-L01,49,93,93-2026-07-07-L01,nine_zone_representative|all|2026-07-07T07:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.014788231, ""metro"": 0.0, ""ride_hailing"": 0.014788231}"
48,81,81-2026-07-07-L01,49,93,93-2026-07-07-L01,nine_zone_representative|all|2026-07-07T07:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.014788231, ""metro"": 0.0, ""ride_hailing"": 0.014788231}"
46,121,121-2026-07-07-L01,50,144,144-2026-07-07-L01,nine_zone_representative|all|2026-07-07T07:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": 0.0, ""metro"": 0.000554232, ""ride_hailing"": -0.000554232}"
48,81,81-2026-07-07-L01,50,144,144-2026-07-07-L01,nine_zone_representative|all|2026-07-07T07:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": 0.0, ""metro"": 0.000554232, ""ride_hailing"": -0.000554232}"
49,93,93-2026-07-07-L01,50,144,144-2026-07-07-L01,nine_zone_representative|all|2026-07-07T07:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": 0.0, ""metro"": 0.000554232, ""ride_hailing"": -0.000554232}"
