seed,policy,agent_id,day_type,age_group,digital_access,family_assistance,nondigital_unassisted,coupon_policy,coupon_eligible,coupon_reached,coupon_participated,coupon_awarded,public_coupon_participated,elder_reserve_reached,coupon_pool_type,coupon_allocation_rank,coupon_access_channel,public_participation_probability,public_participation_draw,public_dispatch_rank,elder_reserve_rank,community_phone_covered,community_phone_coverage_draw
47,C0_no_coupon,92,workday,40-59,True,False,False,C0_no_coupon,False,False,False,False,False,False,,,none,0.65,0.6440318712653901,0.2836744986023225,0.6013366808873559,False,0.6858651634342829
47,C0_no_coupon,93,workday,40-59,True,False,False,C0_no_coupon,False,False,False,False,False,False,,,none,0.65,0.5069614314580952,0.2066286684286442,0.17972611650913592,False,0.5486707228781086
47,C0_no_coupon,94,workday,40-59,True,False,False,C0_no_coupon,False,False,False,False,False,False,,,none,0.65,0.9710413530848062,0.5894151330217422,0.5739475253422517,False,0.16985569391020688
47,C0_no_coupon,95,workday,40-59,True,False,False,C0_no_coupon,False,False,False,False,False,False,,,none,0.65,0.6185657469182255,0.39462659714976656,0.5270235396746203,False,0.28826457563465685
47,C0_no_coupon,96,workday,40-59,True,False,False,C0_no_coupon,False,False,False,False,False,False,,,none,0.65,0.9871434358897202,0.009261477261544807,0.6594755253444237,False,0.6609512759902384
47,C0_no_coupon,97,workday,40-59,True,False,False,C0_no_coupon,False,False,False,False,False,False,,,none,0.65,0.7403592144356471,0.3751540840260987,0.10901647417108092,False,0.4463486847451574
47,C0_no_coupon,98,workday,40-59,True,False,False,C0_no_coupon,False,False,False,False,False,False,,,none,0.65,0.1355888661928974,0.2468272742805666,0.8917640408194392,False,0.6828729333979185
47,C0_no_coupon,99,workday,40-59,True,False,False,C0_no_coupon,False,False,False,False,False,False,,,none,0.65,0.9819065406864862,0.4460900063604982,0.07174871073777545,False,0.9951200095287274
47,C0_no_coupon,100,workday,40-59,True,False,False,C0_no_coupon,False,False,False,False,False,False,,,none,0.65,0.8885926048293811,0.1508016518479593,0.1491985688630499,False,0.29015690715158904
47,C0_no_coupon,101,workday,40-59,True,False,False,C0_no_coupon,False,False,False,False,False,False,,,none,0.65,0.34797594513065616,0.839101981933461,0.6198444478642666,False,0.6130687499532921
47,C0_no_coupon,102,workday,40-59,True,False,False,C0_no_coupon,False,False,False,False,False,False,,,none,0.65,0.3289392945331975,0.7474907699126409,0.39234773592060485,False,0.5154761036118817
47,C0_no_coupon,103,workday,40-59,True,False,False,C0_no_coupon,False,False,False,False,False,False,,,none,0.65,0.7763697566641167,0.05192831100740609,0.2625997620356428,False,0.12566987607353386
47,C0_no_coupon,104,workday,40-59,True,False,False,C0_no_coupon,False,False,False,False,False,False,,,none,0.65,0.3264878851549833,0.7269763180015034,0.12294696588742966,False,0.9739853730935988
47,C0_no_coupon,105,workday,40-59,True,False,False,C0_no_coupon,False,False,False,False,False,False,,,none,0.65,0.9735847561927128,0.29447180444921234,0.6325945829047991,False,0.5453123467087002
47,C0_no_coupon,106,workday,40-59,True,False,False,C0_no_coupon,False,False,False,False,False,False,,,none,0.65,0.991357078405572,0.48755240598011546,0.9129860160100561,False,0.11320809161341147
47,C0_no_coupon,107,workday,40-59,True,False,False,C0_no_coupon,False,False,False,False,False,False,,,none,0.65,0.17043390442963816,0.2635637058680893,0.2780027031505181,False,0.6915652377150276
47,C0_no_coupon,108,workday,40-59,True,False,False,C0_no_coupon,False,False,False,False,False,False,,,none,0.65,0.5948584378999799,0.8895999251992062,0.4165984094659339,False,0.6787264185059965
47,C0_no_coupon,109,workday,40-59,True,False,False,C0_no_coupon,False,False,False,False,False,False,,,none,0.65,0.41991739897873526,0.29084128625313754,0.8419402844446672,False,0.8806683754346587
47,C0_no_coupon,110,workday,40-59,True,False,False,C0_no_coupon,False,False,False,False,False,False,,,none,0.65,0.3984148972815721,0.29905704836747166,0.6632226578790007,False,0.8731591280533
47,C0_no_coupon,111,workday,40-59,True,False,False,C0_no_coupon,False,False,False,False,False,False,,,none,0.65,0.5065314057361896,0.8497773389184105,0.35192293284579296,False,0.09852174516144967
47,C0_no_coupon,112,workday,40-59,True,False,False,C0_no_coupon,False,False,False,False,False,False,,,none,0.65,0.6830021589010427,0.30630160109499477,0.311609720429839,False,0.27267156588788904
47,C0_no_coupon,113,workday,40-59,True,False,False,C0_no_coupon,False,False,False,False,False,False,,,none,0.65,0.016032115981278783,0.06936823068612905,0.46322551301421555,False,0.32234314800627223
47,C0_no_coupon,114,workday,40-59,True,False,False,C0_no_coupon,False,False,False,False,False,False,,,none,0.65,0.19229958023615454,0.9265402766891071,0.5754408812252488,False,0.6558521130375699
47,C0_no_coupon,115,workday,40-59,True,False,False,C0_no_coupon,False,False,False,False,False,False,,,none,0.65,0.9065633860119992,0.861322778035315,0.6784879417147684,False,0.7989816281757578
47,C0_no_coupon,116,workday,40-59,True,False,False,C0_no_coupon,False,False,False,False,False,False,,,none,0.65,0.06428683619486932,0.5974784178843282,0.37663525015254185,False,0.34445356829321644
47,C0_no_coupon,117,workday,40-59,True,False,False,C0_no_coupon,False,False,False,False,False,False,,,none,0.65,0.3679127157404725,0.5257951522504088,0.8985715989103025,False,0.8756821952310507
47,C0_no_coupon,118,workday,40-59,True,False,False,C0_no_coupon,False,False,False,False,False,False,,,none,0.65,0.9236457562005816,0.693839636043269,0.004284962186183331,False,0.6229122027865125
47,C0_no_coupon,119,workday,40-59,True,False,False,C0_no_coupon,False,False,False,False,False,False,,,none,0.65,0.6105022819191205,0.6387574789675994,0.08963948154025138,False,0.3096622802172578
47,C0_no_coupon,120,workday,40-59,True,False,False,C0_no_coupon,False,False,False,False,False,False,,,none,0.65,0.0745171455326745,0.5192953625305223,0.35957072124127265,False,0.580025255707473
47,C0_no_coupon,121,workday,40-59,True,False,False,C0_no_coupon,False,False,False,False,False,False,,,none,0.65,0.4230081668557193,0.3555935952173301,0.6266727485078603,False,0.5072524346496244
47,C0_no_coupon,122,workday,40-59,True,False,False,C0_no_coupon,False,False,False,False,False,False,,,none,0.65,0.4633360503115384,0.19171122928461176,0.611678001749571,False,0.8772812767614819
47,C0_no_coupon,123,workday,40-59,True,False,False,C0_no_coupon,False,False,False,False,False,False,,,none,0.65,0.8883314912978326,0.4929374900980408,0.9207428352537249,False,0.12047222604424185
47,C0_no_coupon,124,workday,40-59,True,False,False,C0_no_coupon,False,False,False,False,False,False,,,none,0.65,0.18783171554798805,0.8871438782568966,0.39540524024886814,False,0.15064056017695526
47,C0_no_coupon,125,workday,40-59,True,False,False,C0_no_coupon,False,False,False,False,False,False,,,none,0.65,0.7442524883291852,0.8348771044168025,0.5943257063544367,False,0.8505604011121485
47,C0_no_coupon,126,workday,40-59,True,False,False,C0_no_coupon,False,False,False,False,False,False,,,none,0.65,0.8569740700185046,0.8687235310437449,0.015025368887429977,False,0.20223043395381501
47,C0_no_coupon,127,workday,40-59,True,False,False,C0_no_coupon,False,False,False,False,False,False,,,none,0.65,0.2983793973728351,0.6289936288901296,0.1821961366713392,False,0.3215335194874603
47,C0_no_coupon,128,workday,40-59,True,False,False,C0_no_coupon,False,False,False,False,False,False,,,none,0.65,0.8524616958144425,0.07488048595679458,0.902481802022734,False,0.3945801452591609
47,C0_no_coupon,129,workday,40-59,True,False,False,C0_no_coupon,False,False,False,False,False,False,,,none,0.65,0.16199742143247123,0.7323339607494368,0.7771132291659564,False,0.9791044177888879
